id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2521266433,1,34,16,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-03-18T05:05:31.315Z,2023-03-18T06:27:23Z,4103887929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4103887927,30,"cb0y1hi0ozn1rx00vx6a1xr6x, dhnssdf1iuorniavvla5zbwx6, cap22dno3uid8jyckne737tyi, abfwfqsv8o9xsnkor896869cl, 3zl5ec82f8zebkxkfdz16e3th, bhl2kwvi52osrdsdnbtw45lyi, 1hcnrw2udxcdff6bre73sv1pm, 7nhzkoa6bywrlkj9nc3f5ylii, 11kqna4zthfmc592eudehj3oq, 2h9me0kgogb1ke6327y78hk9h, cl816ciqmvh4bjzm9vjq4wyga, 26vm9o1w3l4behscs3hk4d8x6, bcb8xguyk226cmw4wvkkxpgix, c0p9hlssgk28sutlee99c24t1, uyhh5u2ezau9f095symdh3sa, 4gn22fnshsmgxyayuj2p77v85, da3z6nhhqd45932cy3qi2kout, 6jri9zzc1ccwcof95srv8h4pg",4103887935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4103887933,130,2,4103887931,59,"23, 27, 15, 26, 5, 3, 13, 12, 11, 22, 7, 1, 10, 16, 17, 19, 21, 35",4103887937,194,3zl5ec82f8zebkxkfdz16e3th,4103960367,197,18663,4103887939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521267381,1,34,16,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-18T05:08:08.573Z,2023-03-18T05:57:14Z,4103893217,59,"1, 19, 17, 7, 6, 4, 8, 10, 99, 38, 11, 9, 21, 23, 27, 31, 37, 44",4103893219,130,2,4103959663,197,6265,4103893229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103893227,194,bj77m6u2q7jd9nf67dleq2tp1,4103893215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4103893213,30,"do3hflya9zwcdzxiev0m2cclx, bj77m6u2q7jd9nf67dleq2tp1, f4dbx6c236nuk9f1p2qqi3x79, d9fmhxd6637ihfqc9qvsnmjth, 8alirbm4n482p155zi3174fyt, d2xblktxmr8illac50p2gcmhh, bfw1ktidkogubiuvx2c0qqtbd, ak7gkgt0ysr3p9e5vvq036i8l, dpre9cmklv12i80xbyqnku505, 8sknvoifu8w9wpso5xije0b56, cqwfvlrzbld40ce3s1qmdniz9, 34dwjcubokyikikcect9v4wve, 6f92up63vg0nzl9qqlm0rl6uh, 68z86n999vjdyb7mlj8nnlp05, 30eyww0b75hsid71kihac79pl, ebtm8a499a5btsufuzy7k53sa, 8yyosfgv4yj0g7k2rwk743fft, 6xe2j75i29sgwbu11cp526uad",4103893223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281041,2,32,1,0,0,v046no35g7ebk8lytdjmfb43,1,0,0,2023-03-18T06:01:55.051Z,2023-03-18T19:21:42Z,4103961727,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281045,2,32,1,0,0,7p460lrzt1kmp4rsofqa47eqy,1,0,0,2023-03-18T06:01:55.051Z,2023-03-18T06:01:56Z,4103961733,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281049,3,1,1,0,0,v046no35g7ebk8lytdjmfb43,1,49.8,49.7,2023-03-18T06:01:55.151Z,2023-03-18T06:01:59Z,4103961743,141,60.8,4103961749,279,S,4103961741,140,36.9,4103961747,213,2.6,4103961745,212,15.5,4103961739,56,Back,,,,,,,abfwfqsv8o9xsnkor896869cl,J. O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521301533,425,1,1,0,2,v046no35g7ebk8lytdjmfb43,1,36.2,59.4,2023-03-18T06:01:57.051Z,2023-03-18T06:56:02Z,4104069455,213,4.2,4104069453,212,3.5,4104069447,56,Back,4104069451,141,54.9,4104069449,140,34.5,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281055,4,1,1,0,3,v046no35g7ebk8lytdjmfb43,0,34,55.3,2023-03-18T06:01:58.891Z,2023-03-18T15:29:02Z,4103961777,213,0.1,4103961771,140,96.2,4103961779,1,,4103961769,56,Center,4103961775,212,65.6,4103961773,141,65.1,4105709751,155,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281057,5,43,1,0,7,v046no35g7ebk8lytdjmfb43,1,0,0,2023-03-18T06:02:02.234Z,2023-03-18T06:02:05Z,4103961797,144,5,4103961783,346,0,4103961781,56,Center,,,,,,,,,,,,,,,,3zl5ec82f8zebkxkfdz16e3th,T. Aldred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281059,3,52,1,0,7,7p460lrzt1kmp4rsofqa47eqy,1,4.8,30.4,2023-03-18T06:02:02.698Z,2023-03-18T15:29:16Z,4105712237,376,,,,,,,,,,,,,,,,,,,,,,,do3hflya9zwcdzxiev0m2cclx,J. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521281081,4,1,1,0,9,7p460lrzt1kmp4rsofqa47eqy,1,4.8,30.4,2023-03-18T06:02:04.715Z,2023-03-18T06:02:14Z,4103961865,213,1.3,4103961863,212,35.3,4103961857,56,Back,4103961859,140,13.6,4103961867,1,,4103961861,141,80.5,4103961853,123,,,,,do3hflya9zwcdzxiev0m2cclx,J. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
