id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2530109489,1,34,16,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-04-08T09:00:49.539Z,2023-04-08T09:57:45Z,4171609641,197,17865,4171609635,130,15,4171609633,59,"20, 31, 3, 4, 5, 16, 11, 28, 10, 26, 17, 1, 8, 9, 14, 21, 23, 33",4171609637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4171609643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171609631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4171609629,30,"98blyfvs09u1j6m7ltbqai9xx, 26h572pq2qiac1raqk6g0jvh0, 4rv3p2e0scrkce2l3budvzqol, dxb1r4gqgxkngb0pzvfby9iol, 9iebtrpherpydugn7m9hrcl3p, 3ivpa9dqlbrg7dc71nsmaw1d5, dmj5oe18blqnxozkfd8q5myfp, dreyp9vpkgl8t38erpkrfwsbu, e8iey6bpyyfd0u8lovucrc2xh, pc2pewu255axe28t955qjcnp, 9xqw0h9piwsalgt47y5m6fr2t, af9qi36c0nm8eso8z5ah8yyuh, 6fx6x1x0v02v094w754htlfx1, evh60twv2ab6si0q78fqi9coa, bb4iwletl36hvcn0rthlrm8a2, 2v9zl8rrcoi432p8iy1ngwlt6, 1yqlkot5sh85ot3eemo67djv9, 3n3jrt6gx6o1z1q2nq0qmaxhw",4171609639,194,e8iey6bpyyfd0u8lovucrc2xh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530109553,1,34,16,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-08T09:01:11.042Z,2023-04-08T09:51:10Z,4171609949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4171609945,59,"12, 2, 13, 11, 5, 41, 44, 7, 31, 8, 36, 1, 14, 17, 20, 27, 35, 37",4171609951,194,906itj33c7nzyzhkvxswvaxas,4171609943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4171609953,197,9894,4171609955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171609941,30,"4hdho3gfrydh4fzf3ydggef9x, btyconkxo00p1gkf87mn70lpl, 92ey6tqofzafadpm9y7af2ort, 7gt275zxk4hkh4zvdtmo3xpzp, c3u652s3v8u1q4qid5mkbtyw9, aeoqbtq15nt9ks5cx50vallhw, 44cqwwuueirgp57r8ks0725t5, 4lk250c1xd4xsowjrdi0uuevp, 906itj33c7nzyzhkvxswvaxas, ceea6ndbo2sq5cvucg5j31oq2, czj18cj8t4tx4zvhcsysstcve, 4llft8t2rwgm3uewbwyaq5ckp, 49tycizve9vcx6u78ity42r8q, 6cke7ckocw7epjg5gj6exuytx, cyex7clv49xf8p6j8l3jw1cdl, 6f9jrka1qz3j5mfx4x3a5ubfu, am6xykrxjymw2qpqli6upysq, f3z4grszald48qd1fidjycidw",4171609947,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117639,2,32,1,0,0,7jv344gvcvgqg7oeuc9u554dm,1,0,0,2023-04-08T09:45:15.994Z,2023-04-08T09:45:17Z,4171645791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117635,2,32,1,0,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-04-08T09:45:15.994Z,2023-04-08T09:45:16Z,4171645785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117657,3,1,1,0,0,6h553bwfqkoxayuv80uikkn42,1,50,50,2023-04-08T09:45:16.094Z,2023-04-08T09:45:19Z,4171645869,213,2.9,4171645863,140,34.4,4171645871,279,S,4171645865,141,56.9,4171645867,212,17.0,4171645861,56,Back,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117673,4,1,1,0,3,6h553bwfqkoxayuv80uikkn42,0,39.2,47.2,2023-04-08T09:45:19.118Z,2023-04-08T09:45:22Z,4171645939,213,5.9,4171645937,212,44.4,4171645931,56,Center,4171645941,1,,4171645933,140,78.9,4171645929,155,,4171645935,141,24.7,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117683,3,1,1,0,5,7jv344gvcvgqg7oeuc9u554dm,1,19.9,72,2023-04-08T09:45:21.715Z,2023-04-08T09:45:25Z,4171645993,213,0.6,4171645989,141,83.2,4171645991,212,13.1,4171645987,140,30.0,4171645983,3,,4171645985,56,Back,,,,,,,aeoqbtq15nt9ks5cx50vallhw,O. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117691,4,1,1,0,8,7jv344gvcvgqg7oeuc9u554dm,0,30,83.2,2023-04-08T09:45:24.947Z,2023-04-08T09:45:29Z,4171646017,3,,4171646029,213,0.6,4171646019,168,,4171646027,212,5.1,4171646021,56,Back,4171646025,141,87.7,4171646023,140,33.9,,,,4lk250c1xd4xsowjrdi0uuevp,D. De Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530119255,70,1,1,0,8,7jv344gvcvgqg7oeuc9u554dm,0,32.2,90.3,2023-04-08T09:45:24.964Z,2023-04-08T09:53:25Z,4171653951,140,23.2,4171653957,213,3.7,4171653953,141,81.8,4171653955,212,11.1,4171653947,3,,4171653949,56,Back,,,,,,,czj18cj8t4tx4zvhcsysstcve,A. Auglah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530117709,5,3,1,0,13,6h553bwfqkoxayuv80uikkn42,0,82.2,7.8,2023-04-08T09:45:29.870Z,2023-04-08T09:45:34Z,4171646089,56,Right,4171646169,233,5,4171646091,286,,,,,,,,,,,,,,,,,pc2pewu255axe28t955qjcnp,B. Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
