id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist
2512559709,1,34,16,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-02-26T02:45:19.030Z,2023-02-26T04:03:03Z,4057776581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4057776575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4057776577,59,"20, 2, 3, 14, 5, 21, 7, 8, 10, 22, 11, 6, 16, 18, 19, 23, 24, 30",4057776579,130,8,4057776573,30,"dmxzug2enscx331w5vmdzn2s5, 95sml1vx1fwwhq8p32p60e11x, 2wnqoxtt8xlglpndyjb5rb622, ez47kkcz2wgypddldq97yz2dx, 46acb400oivj94jwu3i3lrxsl, yhkueqgsvvd5fzdffg9nky51, 91lwbi9gd4crrnmt30yld307p, w8u1a5hrtitytfof3jk0zbh1, njzhdtpegev8seam0oe0zpp1, cx8wxcop4vdfapgaboyzqrsvd, c575swutxi9er3j9txklhrzoq, 2nn6berxelojkxb2rjjnqw4id, 2g39f2y5dqwg3q4sw2jf6x6g9, bzzknt1y8qkmcon3vw7hdadp1, cl3z842ngppg6uu3tlusruep5, 63za0395wiu88h3panzx86pxx, 5hylntpne6d7xwey2v9d9lg8a, cd0uffrnjl7wysygus4acsm0a",4057776585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057776583,194,w8u1a5hrtitytfof3jk0zbh1,4057874535,197,18440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512560443,1,34,16,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-02-26T02:50:44.517Z,2023-02-26T04:07:08Z,4057867869,197,874,4057781771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4057781773,194,8wt0rz1iw4aon12zj6axq1sk5,4057781763,30,"8bp03i0tjmh836ud5jekv2aui, 5c2z04q3s8o3p3718hiluxzo5, 8wt0rz1iw4aon12zj6axq1sk5, 2kig0lwusomobls6p3am0l7qi, a5y5w6rclo7jen1tg6xhfgewa, 8t39sfyi8s85bs1ptjymmbd1x, bidqgybf8b93bdsi4t4kzeuhh, 3qwtpnlm38xo5f1u36a30kus5, 6b31g4lw3ste6xrg1kwwn5iol, d3n1fqp2aq9yjtzvwistpecyc, 4j4nenchzzxi4a96o7jqdpgid, c0f9jho2nsyygravyp7f19i3t, 86sqmnbenft8ugq57q2i2wzbp, 9l5seuy6ggcvpqnt5ekxn1pii, 6px2wd7ccjzc56c1h5ag4b52i, evf4z0xf7cd5nidnq6q4x8w7o, 410fzkckxjcw6b02nkcvpvitw, 2c81wahtsfjksewt89ccirris",4057781775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4057781765,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4057781767,59,"46, 21, 11, 6, 41, 3, 26, 8, 9, 55, 10, 1, 4, 13, 23, 35, 47, 66",4057781769,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577321,2,32,1,0,0,6lezh5aazy0xca1800e5dqxwl,1,0,0,2023-02-26T04:00:23.217Z,2023-02-26T04:00:23Z,4057871221,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577323,2,32,1,0,0,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-02-26T04:00:23.217Z,2023-02-26T07:38:12Z,4057871225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577335,3,1,1,0,1,6lezh5aazy0xca1800e5dqxwl,1,50,50,2023-02-26T04:00:24.317Z,2023-02-26T07:38:23Z,4057871283,141,60.9,4057871289,279,S,4057871287,213,2.7,4057871285,212,15.8,4057871281,140,36.7,4057871279,56,Back,,,,,,,d3n1fqp2aq9yjtzvwistpecyc,E. Alagich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577345,4,1,1,0,3,6lezh5aazy0xca1800e5dqxwl,0,36.9,46.4,2023-02-26T04:00:27.009Z,2023-02-26T07:39:46Z,4057871317,140,75.0,4057871329,213,5.8,4057871325,212,45.3,4057871315,56,Right,4057871313,155,,4057871331,1,,4057871321,141,15.0,,,,3qwtpnlm38xo5f1u36a30kus5,Isaías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577365,3,1,1,0,6,9xmhnv6im8h7c9e17oqvcx8gl,0,25.6,92.2,2023-02-26T04:00:29.549Z,2023-02-26T04:00:32Z,4057871435,141,71.4,4057871437,212,26.7,4057871439,213,5.7,4057871429,3,,4057871433,140,47.2,4057871431,56,Back,,,,,,,2wnqoxtt8xlglpndyjb5rb622,Cadete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577375,5,1,1,0,9,6lezh5aazy0xca1800e5dqxwl,0,59.4,29.8,2023-02-26T04:00:32.913Z,2023-02-26T04:14:00Z,4057871473,140,62.5,4057871469,3,,4057871477,212,3.3,4057871479,213,0.1,4057871475,141,30.4,4057871471,56,Center,,,,,,,2kig0lwusomobls6p3am0l7qi,L. D'Arrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577383,4,61,1,0,10,9xmhnv6im8h7c9e17oqvcx8gl,1,45.8,77,2023-02-26T04:00:33.436Z,2023-02-26T04:00:36Z,4057871497,56,Back,,,,,,,,,,,,,,,,,,,,,,cx8wxcop4vdfapgaboyzqrsvd,J. Brimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512577395,6,1,1,0,11,6lezh5aazy0xca1800e5dqxwl,1,59.6,24.3,2023-02-26T04:00:34.785Z,2023-02-26T04:45:26Z,4057871537,56,Back,4057871539,140,33.3,4057871541,141,37.1,4057871545,213,2.8,4057871543,212,29.0,,,,,,,,,,d3n1fqp2aq9yjtzvwistpecyc,E. Alagich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
