id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2514831655,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-04T04:06:12.779Z,2023-03-04T05:02:10Z,4069801081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069801069,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4069801067,30,"8978k9hzej7ocv8ng09i1zcut, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, 51ny01vwhnzkkd50iy4pfyor9, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 61mnri2ox1dao9jdo2ye42i8l, 1bjh7t56w2jg6berm300782c5, 6jdifjaop9haqylognzg3azf9, 70pwpkwjgkp07b4m4jdz1l0fe, 9bvp90vtnqsbq3muka37rm40l, 5s151hcgpbhtuuarwfchd47ze, 2jgby6e91uem5e2dd1b11psoa, ez4fqumbyew4fsvisf0ziml4a, 1av7m3uyhcvjn8jhsegdqypqt, dbx2uc9zyw88drq5w80smpgb9, bj3ve8inko999nctm66s76acp, 9wan49fvimh705r3jjfrlhuc5",4069801073,130,17,4069801075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4069801079,197,13357,4069801077,194,1bjh7t56w2jg6berm300782c5,4069801071,59,"25, 9, 4, 5, 50, 2, 27, 10, 13, 19, 11, 3, 6, 18, 22, 48, 49, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514832449,1,34,16,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-04T04:10:40.326Z,2023-03-04T05:01:43Z,4069805405,59,"1, 25, 15, 20, 35, 5, 11, 8, 9, 13, 14, 3, 6, 7, 16, 21, 22, 50",4069805403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4069805411,194,96dbf20tzfz2751lensfhchk9,4069805415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4069805413,197,14700,4069805401,30,"b67vtycwcw93v5z6zidzsej8p, bj5k9pm3837dxwerp0vy94hgq, 59e2dosv29zg2c146u5v9k02y, aieev8jr470iq7ft2ob005wph, a0h7bps286z0f3sgnbkvpehg5, 7f7rlxtcm93i5p08kci7rzjkl, dhqt17jw4t2yis8p6medgnluy, 96dbf20tzfz2751lensfhchk9, 3tiriwy3k68lw0zi0fj5dx49h, 3n8lo5wm0i7sh0h92abx87hm1, 536qjh4gcmpo5q68ti87e60kq, 73si74r5khd2xih6w3uc72rxl, a24vimk2li0nbswdipoih6gkq, 37fgppizaampk28232bzeqwru, 5r0vvr8ch9wrim11994baqln8, 5x1kq3909or0h3gbe2uu2cp91, 7wzdljgji8khptjqjjj5jwzfu, 5vuhxc4dqq733xjjcnlbudn8p",4069805407,130,8,4069805409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842385,2,32,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-04T05:03:32.732Z,2023-03-06T18:37:00Z,4069859721,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842377,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-04T05:03:32.732Z,2023-03-04T05:03:33Z,4069859671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842403,3,1,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,50.1,50.3,2023-03-04T05:03:32.832Z,2023-03-04T05:03:36Z,4069859813,279,S,4069859809,212,18.9,4069859807,141,45.8,4069859805,140,32.3,4069859811,213,3.3,4069859803,56,Back,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842445,4,1,1,0,3,1f3ehp8p9yi8reamghry4p76t,1,32.3,44,2023-03-04T05:03:36.617Z,2023-03-04T05:08:32Z,4069859979,155,,4069859983,140,61.9,4069859985,141,92.1,4069859989,212,45.1,4069859981,56,Left,4069859995,1,,4069859993,213,0.8,,,,a60hpbc5lfxj5cj82iadif622,D. Okamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842459,5,1,1,0,7,1f3ehp8p9yi8reamghry4p76t,0,61.4,92.7,2023-03-04T05:03:40.632Z,2023-03-04T05:08:42Z,4069860043,56,Center,4069860041,3,,4069860051,213,4.9,4069860045,140,65.4,4069860047,141,64.6,4069860049,212,19.6,,,,,,,f06bxfhvobzkepanw3nm1vzzd,D. Suga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842463,3,43,1,0,9,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-03-04T05:03:42.477Z,2023-03-06T18:39:46Z,4069860065,285,0,4069860063,56,Back,4069860121,233,6,4078928621,144,44,,,,,,,,,,,,,aieev8jr470iq7ft2ob005wph,Y. Shimada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842473,6,43,1,0,9,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-03-04T05:03:42.478Z,2023-03-06T18:39:47Z,4078928641,144,44,4069860113,56,Center,4069860115,286,0,,,,,,,,,,,,,,,,70pwpkwjgkp07b4m4jdz1l0fe,T. Ogashiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514842467,4,1,1,0,10,12tyw9yomy9n5cjd5po2ajx1q,0,31.3,43.5,2023-03-04T05:03:42.763Z,2023-03-04T05:09:01Z,4069860089,213,0.3,4069860085,212,15.1,4069860079,56,Back,4069860083,141,50.9,4069860077,3,,4069860081,140,44.9,,,,,,,aieev8jr470iq7ft2ob005wph,Y. Shimada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
