id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2547611643,1,34,16,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-05-13T05:10:37.687Z,2023-05-13T05:10:38Z,4271754607,130,19,4271754617,197,12765,4271754615,194,8alc0ohhvwzzpv25jxnicfmqd,4271754595,30,"5ai6500e7oug5v5hybnkfzh7t, 3tx6890pt4hfaz45foj1nhey1, 9w0brh9x5ez6yoiinh50g6y5m, 8alc0ohhvwzzpv25jxnicfmqd, 1acnyk8g437ayer0m4e1331pm, etsgyfejyka71co7e2xeq6r55, 59cu40rkqkx1723dfdp50gonp, cpats5brlfpugqtw8hi4vigdm, 4o71xxq6qdkhug58a073fxega, 978z8ejc2jneguyb6yq430g5x, 3mqvpqnv1yixpclmxsvqfoxec, c3co8yb1kyhzxhl5rs55vi3f9, dsf12u0bjuxj3n0s4cvt8b9t6, ec0zzrcibmg2r6apg8a0c81cl, 7kw2rg2vf2sqs486bdasi20ru, c7ukr0stxvyflr3xfod5zkpp0, bdcpptlf4dznvgwq5st8hxwyc, 36dm2avrsyn7dvm0rk7ibnfqi",4271754599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4271754623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271754611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4271754603,59,"1, 3, 26, 22, 4, 2, 14, 15, 18, 7, 13, 8, 9, 20, 25, 29, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547612091,1,34,16,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-13T05:14:51.236Z,2023-05-13T05:14:51Z,4271756375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4271756369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4271756365,59,"1, 9, 4, 5, 50, 2, 27, 10, 19, 18, 14, 3, 6, 7, 25, 32, 45, 49",4271756367,130,17,4271756363,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4271756361,30,"7blan2t3io9iatmzpzazeh9lh, 7de6u27l0rm2y8aigjr2i0ru, f06bxfhvobzkepanw3nm1vzzd, 51ny01vwhnzkkd50iy4pfyor9, a60hpbc5lfxj5cj82iadif622, 8cmqekmxeybrc8c9ml7rwdai2, 61mnri2ox1dao9jdo2ye42i8l, 1bjh7t56w2jg6berm300782c5, 70pwpkwjgkp07b4m4jdz1l0fe, ez4fqumbyew4fsvisf0ziml4a, du14luqzm3al3uw51qs2bzqol, 5s151hcgpbhtuuarwfchd47ze, 2jgby6e91uem5e2dd1b11psoa, bcctcysurrrfw25szzr1pjsnp, 8978k9hzej7ocv8ng09i1zcut, 28wgdmao7y8qbj30feniqnj3e, 2xfo511b4sbt16xpwca2w3uok, bj3ve8inko999nctm66s76acp",4271756373,197,12128,4271756371,194,1bjh7t56w2jg6berm300782c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616255,2,32,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,0,0,2023-05-13T06:03:48.615Z,2023-05-13T06:03:51Z,4271782261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616253,2,32,1,0,0,83d6z6wvkzs3dx9oy3mftixow,1,0,0,2023-05-13T06:03:48.615Z,2023-05-13T06:03:48Z,4271782253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616257,3,1,1,0,0,1f3ehp8p9yi8reamghry4p76t,1,50.1,50.3,2023-05-13T06:03:48.715Z,2023-05-13T06:21:11Z,4271782289,140,33.0,4271782293,141,50.9,4271782287,56,Back,4271782297,213,3.1,4271782295,212,18.0,4271782299,279,S,,,,,,,61mnri2ox1dao9jdo2ye42i8l,T. Arano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616259,4,1,1,0,3,1f3ehp8p9yi8reamghry4p76t,0,34.4,51.3,2023-05-13T06:03:51.881Z,2023-05-13T06:03:53Z,4271782327,141,0.0,4271782329,212,50.0,4271782331,213,5.5,4271782333,1,,4271782325,140,67.3,4271782321,155,,4271782323,56,Right,,,,51ny01vwhnzkkd50iy4pfyor9,A. Fukumori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616263,3,5,1,0,5,83d6z6wvkzs3dx9oy3mftixow,1,31.2,101.6,2023-05-13T06:03:53.829Z,2023-05-13T06:06:13Z,4271782347,347,,4271782357,233,5,4271782345,56,Back,,,,,,,,,,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616261,5,5,1,0,5,1f3ehp8p9yi8reamghry4p76t,0,68.8,-1.6,2023-05-13T06:03:53.829Z,2023-05-13T06:03:56Z,4271782341,347,,4271782339,56,Right,4271782367,233,3,,,,,,,,,,,,,,,,51ny01vwhnzkkd50iy4pfyor9,A. Fukumori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616275,4,1,1,0,12,83d6z6wvkzs3dx9oy3mftixow,1,29.6,100,2023-05-13T06:04:00.750Z,2023-05-13T06:04:04Z,4271782513,141,92.1,4271782511,140,46.1,4271782509,56,Back,4271782515,212,18.4,4271782517,213,5.9,4271782507,107,,,,,,,,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547616277,5,1,1,0,16,83d6z6wvkzs3dx9oy3mftixow,0,46.1,92.1,2023-05-13T06:04:04.720Z,2023-05-13T06:04:05Z,4271782535,140,54.5,4271782539,212,9.0,4271782533,56,Left,4271782531,3,,4271782541,213,0.2,4271782537,141,94.4,,,,,,,4o71xxq6qdkhug58a073fxega,S. Machino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
