id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2542891815,1,34,16,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-05-03T09:02:03.054Z,2023-05-03T09:58:11Z,4246519505,194,aieev8jr470iq7ft2ob005wph,4246519487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4246519489,59,"21, 32, 15, 20, 3, 50, 22, 6, 23, 33, 16, 7, 8, 13, 14, 18, 31, 39",4246519491,130,8,4246519515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246519485,30,"5x1kq3909or0h3gbe2uu2cp91, 4fcpkylbp3ayqaf33370abje1, 59e2dosv29zg2c146u5v9k02y, aieev8jr470iq7ft2ob005wph, 73si74r5khd2xih6w3uc72rxl, 5vuhxc4dqq733xjjcnlbudn8p, 7wzdljgji8khptjqjjj5jwzfu, a24vimk2li0nbswdipoih6gkq, 6yy4eglwmvj6i50st1np97be2, 6lc4nnqxwzi39yz3cd6b7p13p, 5r0vvr8ch9wrim11994baqln8, 37fgppizaampk28232bzeqwru, 96dbf20tzfz2751lensfhchk9, 3n8lo5wm0i7sh0h92abx87hm1, 536qjh4gcmpo5q68ti87e60kq, cqxevrqcel70m41ihup6kyac5, 9uuzy744b3q8i7sbk7hjjntn9, 5zmpse5r3v3ez5ewzreaumas4",4246519495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246519509,197,14560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542892059,1,34,16,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-05-03T09:02:59.711Z,2023-05-03T10:16:54Z,4246520869,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4246520867,30,"70d7ep81lnb6m2flci6s8s5w5, esfnlp56d5kfvxy9518d91gd0, 8bxd61gpgwi9cat8awx4h0n4k, 8lfgk7eqdptu5o53n656vxck5, el9hmsmc1zz7yie7dedfaac8a, 19pcq7pd8fq57z1tgec16o79x, 6m636zjfcq36y7r9hx4c4bi6t, 19m4x5k36kaujvze82qp1ju8l, 9zr0kq2pw4eua1tqo3vsvd9wq, dgex06nxjy9fdvc12o8keg99l, 9uj9vy1lj10nqjncq6d2rd39x, 201ujggt4gi1swlx1c79byig9, f10fu0944yj2tr90vqz88yqga, 31xdzeykcgfe0vyel250sd0q1, a8adq7dy6i0icdu0j2b6jm2g9, 9gqymee6r8xdj6jbvcc6mahg5, 4hpqusnkgyghf16g9pbclkve1, bv59fhjhp11derlzbyro5mkgk",4246520877,194,19pcq7pd8fq57z1tgec16o79x,4246520879,197,14642,4246520881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4246520873,130,10,4246520875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4246520871,59,"49, 33, 26, 27, 2, 22, 50, 4, 7, 18, 6, 13, 19, 20, 21, 25, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910455,2,32,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,0,0,2023-05-03T10:03:46.939Z,2023-05-03T10:03:49Z,4246611211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910451,2,32,1,0,0,12tyw9yomy9n5cjd5po2ajx1q,1,0,0,2023-05-03T10:03:46.939Z,2023-05-03T10:03:47Z,4246611193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910467,3,1,1,0,0,ctm9as17rs95yhuz7qf53wfke,1,49.9,50,2023-05-03T10:03:47.039Z,2023-05-03T10:03:51Z,4246611267,141,57.2,4246611269,212,19.3,4246611263,56,Back,4246611273,279,S,4246611271,213,2.9,4246611265,140,32.1,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910483,4,1,1,0,4,ctm9as17rs95yhuz7qf53wfke,0,31.5,51.9,2023-05-03T10:03:51.261Z,2023-05-03T10:03:54Z,4246611379,212,53.1,4246611377,141,17.9,4246611373,56,Right,4246611381,213,5.8,4246611375,140,77.0,4246611383,1,,4246611371,155,,,,,el9hmsmc1zz7yie7dedfaac8a,B. Nduka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910501,3,1,1,0,8,12tyw9yomy9n5cjd5po2ajx1q,1,20.1,82.9,2023-05-03T10:03:55.120Z,2023-05-03T10:03:57Z,4246611439,56,Back,4246611437,3,,4246611447,213,6.1,4246611443,141,79.9,4246611445,212,8.8,4246611441,140,28.3,,,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910505,4,44,1,0,9,12tyw9yomy9n5cjd5po2ajx1q,1,32.1,83.5,2023-05-03T10:03:56.872Z,2023-05-03T10:03:58Z,4246611465,56,Back,4246611467,285,,4246611499,233,5,,,,,,,,,,,,,,,,5r0vvr8ch9wrim11994baqln8,Y. Komi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910503,5,44,1,0,9,ctm9as17rs95yhuz7qf53wfke,0,67.9,16.5,2023-05-03T10:03:56.873Z,2023-05-03T10:03:58Z,4246611519,233,4,4246611457,56,Right,4246611459,286,,,,,,,,,,,,,,,,,dgex06nxjy9fdvc12o8keg99l,Koki Ogawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910509,5,1,1,0,10,12tyw9yomy9n5cjd5po2ajx1q,0,28.3,79.9,2023-05-03T10:03:57.103Z,2023-05-03T10:03:57Z,4246611473,3,,4246611481,141,78.7,4246611479,140,31.7,4246611477,56,Back,4246611485,213,6.1,4246611483,212,3.7,4246611475,168,,,,,5r0vvr8ch9wrim11994baqln8,Y. Komi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910523,6,44,1,0,12,ctm9as17rs95yhuz7qf53wfke,1,66,15.9,2023-05-03T10:03:59.290Z,2023-05-03T10:04:00Z,4246611543,286,,4246611553,233,6,4246611541,56,Right,,,,,,,,,,,,,,,,19m4x5k36kaujvze82qp1ju8l,Yuri Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910527,6,44,1,0,12,12tyw9yomy9n5cjd5po2ajx1q,0,34,84.1,2023-05-03T10:03:59.291Z,2023-05-03T10:04:00Z,4246611557,233,6,4246611551,285,,4246611549,56,Back,,,,,,,,,,,,,,,,6lc4nnqxwzi39yz3cd6b7p13p,Y. Takagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910531,7,1,1,0,12,ctm9as17rs95yhuz7qf53wfke,0,62.3,14.1,2023-05-03T10:03:59.530Z,2023-05-03T10:04:00Z,4246611575,213,5.7,4246611571,141,8.0,4246611567,56,Right,4246611569,140,68.4,4246611563,3,,4246611573,212,7.6,,,,,,,19m4x5k36kaujvze82qp1ju8l,Yuri Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910533,7,49,1,0,14,12tyw9yomy9n5cjd5po2ajx1q,1,29.4,88,2023-05-03T10:04:01.381Z,2023-05-03T10:04:01Z,,,,,,,,,,,,,,,,,,,,,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910537,8,1,1,0,14,12tyw9yomy9n5cjd5po2ajx1q,0,29.4,88,2023-05-03T10:04:01.528Z,2023-05-03T10:04:04Z,4246611607,141,100.0,4246611611,213,0.3,4246611609,212,36.7,4246611657,157,,4246611603,56,Left,4246611605,140,63.2,4246611613,1,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910543,8,5,1,0,15,ctm9as17rs95yhuz7qf53wfke,1,36.3,-1.5,2023-05-03T10:04:02.876Z,2023-05-03T10:06:19Z,4246611635,347,,4246611633,56,Back,4246611649,233,9,,,,,,,,,,,,,,,,19m4x5k36kaujvze82qp1ju8l,Yuri Lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542910541,9,5,1,0,15,12tyw9yomy9n5cjd5po2ajx1q,0,63.7,101.5,2023-05-03T10:04:02.876Z,2023-05-03T10:04:04Z,4246611629,56,Left,4246611631,347,,4246611655,233,8,,,,,,,,,,,,,,,,59e2dosv29zg2c146u5v9k02y,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
