id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/12/value,qualifier/14/value
2544145785,1,34,16,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-05-06T05:56:43.773Z,2023-05-06T05:56:44Z,4253238467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253238459,30,"any4esejk79yct375aswisyqx, 6lfh7umo99gfk2f23jbg6k3ro, k5yu3cqzlq5jybo9eozy89nt, 2urtsl9xa0plg4w80nr8z9tuy, 50pxsuw6rozz51fqz6phq4r8p, apa928m4vsbgdb20pvxjwdgix, d585rl5n1lyby0pzclz7ywokq, deo8agvy9lyt8xppcisqepxx, 5blgib9feku7hwyfe4qyla85x, 2zgac47mjf4fife5es00y4h9m, 8ig76mb9fsq6r456o42fnactm, bw0h202lprp7jzdtp6hv78ixh, 62cm6wselsnn3az1utbmdual0, 2g53akyz7il91gywan5ebunmc, 524eip47zifw3ed8h7ojnugkq, au0u20e5h1p6yn4gsgcimjcnp, 8hyszjf0ml8xdawytffmdjeok, 22a2q71mkijfu6koscvcmybit",4253238475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253238461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4253238473,197,7783,4253238465,130,13,4253238471,194,deo8agvy9lyt8xppcisqepxx,4253238463,59,"1, 2, 18, 66, 6, 7, 26, 74, 9, 17, 99, 8, 14, 19, 20, 22, 31, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544146047,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-05-06T06:01:59.517Z,2023-05-06T06:01:59Z,4253241015,30,"4cih000f65u36i7fm1sn0fob9, eifui3hrv21plt57hxo8dhl62, 68ipkee8liqja0vaxm5hp3gt1, 8683grc2e0vttdmqococp9iw9, 7g27aztcta6kcxevz44b8lv4l, 53ii8a2tn0kbcxyp0hfqhu02d, 9fg0am5mvsr9u9wu2m4nf9ii1, 5osl9hgarpoek3ici17bq3nqh, 3nicdpsg0eal2r2f4m3oyycb9, aka1ddwszmv6g7etcelkjgup6, 5wa2awnwsayrocgxs9d00p1p1, dfgaeb2ty9rt168zsbru4t3v9, e3n0w0p4dvfax1b6bfk2qlex, f476eflmv1tojfcufu59inf56, 8sc2xigysl1ueogyivxyj0hqt, biv5sbz8pcwic5vb8k0zc3tnt, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",4253241027,197,16779,4253241021,130,8,4253241029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4253241019,59,"21, 66, 13, 24, 44, 19, 11, 6, 9, 29, 10, 1, 15, 17, 18, 22, 26, 27",4253241023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4253241025,194,68ipkee8liqja0vaxm5hp3gt1,4253241017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150905,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-05-06T06:33:43.950Z,2023-05-06T06:33:46Z,4253266633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150903,2,32,1,0,0,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-05-06T06:33:43.950Z,2023-05-11T11:09:50Z,4253266627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150911,3,1,1,0,0,19auwjswq9camwpb4u14a6tp5,1,50.1,49.7,2023-05-06T06:33:44.050Z,2023-05-06T06:38:27Z,4253266651,212,26.4,4253266645,56,Back,4253266655,279,S,4253266653,213,3.6,4253266649,141,33.6,4253266647,140,27.2,,,,,,,d585rl5n1lyby0pzclz7ywokq,Lee Jin-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150913,4,1,1,0,3,19auwjswq9camwpb4u14a6tp5,0,32.1,40,2023-05-06T06:33:47.555Z,2023-05-06T06:38:36Z,4253266661,196,,4253266673,1,,4253266669,212,57.2,4253266659,155,,4253266667,141,100.0,4253266671,213,0.8,4253266663,56,Left,4253266665,140,69.8,apa928m4vsbgdb20pvxjwdgix,Kim Jin-Hyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150919,3,5,1,0,4,86pmsqvfhj3t45uo4osr9hks9,1,28.2,-1,2023-05-06T06:33:48.613Z,2023-05-06T06:55:39Z,4253266701,347,,4253266699,56,Back,4253266703,233,5,,,,,,,,,,,,,,,,68ipkee8liqja0vaxm5hp3gt1,Lee Myung-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150915,5,5,1,0,4,19auwjswq9camwpb4u14a6tp5,0,71.8,101,2023-05-06T06:33:48.613Z,2023-05-06T06:33:52Z,4253266677,347,,4253266713,233,3,4253266675,56,Left,,,,,,,,,,,,,,,,apa928m4vsbgdb20pvxjwdgix,Kim Jin-Hyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150955,4,1,1,0,24,86pmsqvfhj3t45uo4osr9hks9,1,30.6,0,2023-05-06T06:34:08.895Z,2023-05-06T06:34:10Z,4253266901,140,39.5,4253266907,213,0.5,4253266905,212,10.8,4253266903,141,6.8,4253266899,56,Back,4253266897,107,,,,,,,,eifui3hrv21plt57hxo8dhl62,Seol Young-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150957,5,61,1,0,26,86pmsqvfhj3t45uo4osr9hks9,0,39.3,11.8,2023-05-06T06:34:10.720Z,2023-05-06T06:39:00Z,4253266911,56,Back,,,,,,,,,,,,,,,,,,,,,,aka1ddwszmv6g7etcelkjgup6,Hwang Jae-Hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544150961,6,43,1,0,27,19auwjswq9camwpb4u14a6tp5,1,0,0,2023-05-06T06:34:11.747Z,2023-05-06T06:39:25Z,4253272347,144,49,,,,,,,,,,,,,,,,,,,,,,8ig76mb9fsq6r456o42fnactm,Lucas Barcelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
