id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2539744411,1,34,16,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-27T08:47:44.933Z,2023-04-27T08:47:45Z,4227469999,197,6944,4227470001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4227469989,59,"31, 17, 22, 20, 2, 5, 8, 4, 35, 14, 7, 1, 10, 11, 21, 23, 24, 33",4227469991,130,13,4227469983,30,"byv2xgoetylx6ow3yrshm4q2, arjghrkpdudekgjn9ygz1qvvt, 39if24afmrxwterxd4uv665sl, e1dd7mmkckdxq9zv1zlp18out, 54wwllrm62wwim96tte369xp1, 2sds2sehq07afh2cfoctbj651, bf02taewqoelgq18ul1nlkkb9, 2a304ugyodhumio0ytku7hhm2, 1446yq80h9yahbdxxmkje7384, 9ung27ni2ywc2ekdomftu6vbo, mvn1u3p4yeecbjobvsuontp0, 6h3wqtfn2mmenany8bwqeges5, 1ljv0c7ibkdetodpptwowgru1, lfe406p9mh0c4z6sbehkq4fd, 8mzlaxcpow2u6eoi19slmzoix, efi5ryymu8cvxdp3rnrk0gct1, 9gazebtfildz2l6z7vwwabg89, crx4p5le4omhevqn098imdkb8",4227469987,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4227469997,194,2a304ugyodhumio0ytku7hhm2,4227469993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539745503,1,34,16,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-04-27T08:52:56.893Z,2023-04-27T08:52:57Z,4227610695,59,"1, 17, 96, 25, 3, 30, 7, 6, 94, 90, 14, 2, 4, 16, 21, 26, 66, 88",4227610697,130,2,4227610701,194,44zj38pfx1daxdibpl0cpttqt,4227610687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4227610683,30,"a1tqnoo75nm3u94wfjiphnv56, 9gmsma17q21lca5ogboz6a6eh, cspyqj6qtdeymxcnw70b40j55, 6xxhpvf1ac36ox0k06flx9wbt, qbyyhh8m9r2wssat24ic745x, 15lc9nb9h2r2e9qvh4es27q7e, 7djxob0tt6bmyi7hlvc7r81k9, bb0zj4rt5l4vjtdzghhj3n7it, a53x9bb5dk9vgwa8tf0swtm1h, 44zj38pfx1daxdibpl0cpttqt, e6jkkb7xnu0u2m1e7gbfsmggl, 71cb0lxow2w6zx4uf91y8kgkp, c3sp1x0shf2b24rl5ike6v0iy, 5wnt4q34ojngvtxturq18rvmd, lfar3t1safoyi3yfz5yph149, dn6crxzg2siahc43nrb8de9jp, 2tn3v5fed4ounbsh72cful0q1, av2iblvadx7u9cj27qgbm09ka",4227610707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4227610705,197,14611,4227610699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765177,2,32,1,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-04-27T09:44:16.457Z,2023-04-27T09:44:16Z,4227966459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765183,2,32,1,0,0,98uh21utg52famg6x9k7t3s20,1,0,0,2023-04-27T09:44:16.457Z,2023-05-02T14:56:55Z,4227966481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765193,3,1,1,0,0,4dhojk80ifrs6ax05725bala2,1,50,50,2023-04-27T09:44:16.557Z,2023-04-27T09:46:26Z,4227966555,141,50.0,4227966563,213,3.1,4227966567,279,S,4227966551,140,42.3,4227966559,212,8.1,4227966547,56,Back,,,,,,,44zj38pfx1daxdibpl0cpttqt,S. Iljutcenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765207,4,1,1,0,2,4dhojk80ifrs6ax05725bala2,1,39.6,48.4,2023-04-27T09:44:19.406Z,2023-04-27T09:44:21Z,4227966657,212,14.5,4227966653,140,30.9,4227966655,141,31.9,4227966651,56,Back,4227966659,213,4.0,,,,,,,,,,bb0zj4rt5l4vjtdzghhj3n7it,Ki Sung-Yueng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765223,5,1,1,0,4,4dhojk80ifrs6ax05725bala2,1,30,29.2,2023-04-27T09:44:21.423Z,2023-04-27T09:44:23Z,4227966755,212,11.7,4227966749,56,Back,4227966753,141,13.2,4227966757,213,5.1,4227966751,140,34.1,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765255,6,1,1,0,7,4dhojk80ifrs6ax05725bala2,1,34.8,15.8,2023-04-27T09:44:23.470Z,2023-04-27T09:44:26Z,4227966931,56,Back,4227966939,213,2.1,4227966937,212,15.1,4227966933,140,28.0,4227966935,141,35.4,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765277,7,1,1,0,9,4dhojk80ifrs6ax05725bala2,1,32.4,32.4,2023-04-27T09:44:26.366Z,2023-04-27T09:44:30Z,4227967053,213,5.4,4227967049,141,15.5,4227967051,212,14.8,4227967045,56,Back,4227967047,140,41.3,,,,,,,,,,qbyyhh8m9r2wssat24ic745x,Kwon Wan-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539765285,8,1,1,0,13,4dhojk80ifrs6ax05725bala2,1,41.7,16.2,2023-04-27T09:44:30.190Z,2023-04-27T09:44:31Z,4227967097,213,1.0,4227967093,141,27.3,4227967089,56,Back,4227967095,212,9.0,4227967091,140,46.3,,,,,,,,,,9gmsma17q21lca5ogboz6a6eh,Kim Jin-Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
