id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/14/value
2544928927,1,34,16,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-05-07T06:19:33.355Z,2023-05-07T06:47:46Z,4257404341,59,"1, 13, 10, 14, 28, 6, 11, 24, 19, 18, 32, 7, 9, 16, 21, 44, 91, 95",4257404337,30,"mz5s4zs3lw1sg7vv68f49iad, i257idor9l103iarq57i4bft, cn2i9dyn71c4atdtk98umnzd, ebsjcibmg7i93yxf4bhmac5w, 5pafczrcdtbxy8rrgxb277emt, 8hrpj0ialzd2mqug3bxpgnvth, bfb2cvnizvh884eh2i2grqqqd, 6mvgvuh0cz5z71uqb23l3q1re, b0miq9jw3eil023jw8uf60lwp, 1grsruf1j0h1cbgnz82fwc8kq, 18yrfugeehiugiqm7ca91xd78, 20ravs7guc7xweayjndidbnu2, 15ato5bntfatzlnc2pdu1yn3e, bplgavkxvjdsqd8j812pgwh2i, e9a5dm1gjizkuot7nnen5cwkp, 7uykeqo2uz07vju7flufnss89, 7v3gbz56454fadpqntuay5l91, x8xgtcv9s7wgrbc6422hu5wq",4257404345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257404343,130,2,4257404347,194,8hrpj0ialzd2mqug3bxpgnvth,4257404351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257404339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4257404349,197,4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544929303,1,34,16,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-07T06:20:51.241Z,2023-05-07T06:37:52Z,4257406581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257406567,30,"4d3es8ekeal960uto4qtswf6d, 9u3l89365yah3jn79pix0s67e, b94ir5n74j160z90pshd9q6ll, bcdm1l4nif0y2p25kxhyehyw9, 7rr89ju56rla39nujjabmpq3u, 9tiu7146tyw2qyckn8rsgxjsa, cyt00eh5qk5dkzfshamy992j8, un6pufmg35lihl29pqplevop, cdrs0tqwywl6soqu6p8qhkm50, 594aaw8h28nlm7uz6ib9vczc9, 4ewc486q7lv7jho1t7qviprdh, exzcpmt24cwhugpj3b1oi5pii, xxtw55nr7l92n8dpl6xcnahh, 8hqc7b9bv1u8j6jozhxyokno5, 1x0nab8a4vcrn6t4pwzlz7d1x, 2xf5af3fbjhe7g2cyq48ezf11, 6i3hjmgdhx9jv5tsk0ugc0b85, bkkp2lwwkw18o6y333dx2ut3p",4257406579,197,18491,4257406569,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4257406575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257406571,59,"1, 17, 98, 3, 6, 4, 33, 97, 13, 10, 8, 5, 7, 9, 14, 23, 28, 70",4257406577,194,4ewc486q7lv7jho1t7qviprdh,4257406573,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939089,2,32,1,0,0,4oixf5ykhg01zfxpt7gbpn3dq,1,0,0,2023-05-07T06:52:37.956Z,2023-05-07T06:52:38Z,4257461063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939087,2,32,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,0,0,2023-05-07T06:52:37.956Z,2023-05-07T06:52:38Z,4257461057,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939099,3,1,1,0,0,dxrq5ce9fljcf0vrbrz89rp0k,1,49.9,49.4,2023-05-07T06:52:38.056Z,2023-05-07T06:52:40Z,4257461115,56,Back,4257461117,140,39.5,4257461123,213,2.6,4257461119,141,58.7,4257461125,279,S,4257461121,212,12.6,,,,,,,1grsruf1j0h1cbgnz82fwc8kq,Lee Kun-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939141,4,1,1,0,2,dxrq5ce9fljcf0vrbrz89rp0k,1,39.1,60.5,2023-05-07T06:52:40.449Z,2023-05-07T06:52:48Z,4257461331,213,2.0,4257461329,212,26.7,4257461327,141,96.6,4257461323,56,Back,4257461325,140,29.1,,,,,,,,,,6mvgvuh0cz5z71uqb23l3q1re,Lee Kang-Hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939155,5,1,1,0,9,dxrq5ce9fljcf0vrbrz89rp0k,1,41.8,93.3,2023-05-07T06:52:47.937Z,2023-05-07T06:52:50Z,4257461417,56,Back,4257461423,212,15.2,4257461419,140,32.7,4257461421,141,76.0,4257461425,213,4.0,,,,,,,,,,cn2i9dyn71c4atdtk98umnzd,Kim Han-Gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939173,6,1,1,0,12,dxrq5ce9fljcf0vrbrz89rp0k,1,34,73.6,2023-05-07T06:52:50.433Z,2023-05-07T06:52:54Z,4257461519,212,16.2,4257461517,141,87.4,4257461521,213,0.6,4257461513,56,Back,4257461515,140,46.6,,,,,,,,,,8hrpj0ialzd2mqug3bxpgnvth,Ahn Young-Kyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939201,7,1,1,0,16,dxrq5ce9fljcf0vrbrz89rp0k,1,44.6,85.6,2023-05-07T06:52:54.240Z,2023-05-07T06:52:57Z,4257461649,141,96.0,4257461645,56,Left,4257461653,213,0.7,4257461651,212,10.9,4257461647,140,52.5,,,,,,,,,,b0miq9jw3eil023jw8uf60lwp,Ha Seung-Un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939203,8,1,1,0,19,dxrq5ce9fljcf0vrbrz89rp0k,0,52.9,96.5,2023-05-07T06:52:57.425Z,2023-05-07T06:52:58Z,4257461667,140,54.9,4257461671,212,6.3,4257461669,141,87.8,4257461673,213,5.1,4257461665,56,Left,,,,,,,,,,cn2i9dyn71c4atdtk98umnzd,Kim Han-Gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939209,3,8,1,0,20,4oixf5ykhg01zfxpt7gbpn3dq,1,47.1,26.4,2023-05-07T06:52:58.524Z,2023-05-07T06:52:58Z,4257461691,56,Back,,,,,,,,,,,,,,,,,,,,,,4ewc486q7lv7jho1t7qviprdh,Ju Se-Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544939227,4,1,1,0,21,4oixf5ykhg01zfxpt7gbpn3dq,1,45.3,9.2,2023-05-07T06:52:59.442Z,2023-05-07T06:55:10Z,4257461795,140,44.5,4257461801,213,1.7,4257461797,141,18.5,4257461793,56,Back,4257461799,212,6.4,,,,,,,,,,9u3l89365yah3jn79pix0s67e,Lee Hyeon-Sik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
