id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value
2549210001,1,34,16,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-05-15T06:21:26.337Z,2023-05-15T07:43:57Z,4280212049,197,14611,4280212039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4280212051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4280212045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4280212047,194,8ivl7nyl0sp6j834os6ybnmj9,4280212041,59,"1, 17, 88, 5, 4, 30, 94, 26, 50, 9, 14, 3, 6, 7, 16, 18, 90, 96",4280212037,30,"a1tqnoo75nm3u94wfjiphnv56, 9gmsma17q21lca5ogboz6a6eh, av2iblvadx7u9cj27qgbm09ka, 8ivl7nyl0sp6j834os6ybnmj9, c3sp1x0shf2b24rl5ike6v0iy, 15lc9nb9h2r2e9qvh4es27q7e, a53x9bb5dk9vgwa8tf0swtm1h, dn6crxzg2siahc43nrb8de9jp, dj7t9bww1po1nfnro4788qtpl, 116zxf1768eml7icqsiapke8k, e6jkkb7xnu0u2m1e7gbfsmggl, qbyyhh8m9r2wssat24ic745x, bb0zj4rt5l4vjtdzghhj3n7it, 7djxob0tt6bmyi7hlvc7r81k9, 5wnt4q34ojngvtxturq18rvmd, c2kvec9kvl0os9ob5cq1xdvbp, 44zj38pfx1daxdibpl0cpttqt, cspyqj6qtdeymxcnw70b40j55",4280212043,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549210511,1,34,16,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-05-15T06:24:23.418Z,2023-05-15T06:36:47Z,4280215609,197,15311,4280215597,30,"4cih000f65u36i7fm1sn0fob9, eifui3hrv21plt57hxo8dhl62, 68ipkee8liqja0vaxm5hp3gt1, 8683grc2e0vttdmqococp9iw9, 7g27aztcta6kcxevz44b8lv4l, 53ii8a2tn0kbcxyp0hfqhu02d, 4cn12y72opvi21fz6fmd5sc9g, 5osl9hgarpoek3ici17bq3nqh, 3nicdpsg0eal2r2f4m3oyycb9, biv5sbz8pcwic5vb8k0zc3tnt, 5wa2awnwsayrocgxs9d00p1p1, dfgaeb2ty9rt168zsbru4t3v9, 9fg0am5mvsr9u9wu2m4nf9ii1, e3n0w0p4dvfax1b6bfk2qlex, f476eflmv1tojfcufu59inf56, 8sc2xigysl1ueogyivxyj0hqt, 16ibszyes8xs923koupcul08a, df7n0r366r77ujzxdedwcomol",4280215601,59,"21, 66, 13, 24, 44, 19, 30, 6, 9, 22, 10, 1, 11, 15, 17, 18, 26, 27",4280215611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4280215599,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4280215605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4280215607,194,68ipkee8liqja0vaxm5hp3gt1,4280215603,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217787,2,32,1,0,0,4dhojk80ifrs6ax05725bala2,1,0,0,2023-05-15T06:44:48.080Z,2023-05-15T06:44:50Z,4280254095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217783,2,32,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,0,0,2023-05-15T06:44:48.080Z,2023-05-17T18:55:22Z,4280254081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217797,3,1,1,0,0,86pmsqvfhj3t45uo4osr9hks9,1,50.2,50,2023-05-15T06:44:48.180Z,2023-05-15T06:46:05Z,4280254149,141,48.8,4280254153,213,3.2,4280254151,212,14.1,4280254145,56,Back,4280254147,140,36.8,4280254155,279,S,,,,,,,3nicdpsg0eal2r2f4m3oyycb9,M. Ádám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217813,4,1,1,0,2,86pmsqvfhj3t45uo4osr9hks9,1,36.8,45.5,2023-05-15T06:44:50.244Z,2023-05-15T06:46:05Z,4280254257,141,17.6,4280254255,140,32.2,4280254259,212,19.6,4280254261,213,4.5,4280254253,56,Back,,,,,,,,,,5osl9hgarpoek3ici17bq3nqh,Park Yong-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217823,5,1,1,0,4,86pmsqvfhj3t45uo4osr9hks9,1,32.4,19.8,2023-05-15T06:44:52.804Z,2023-05-15T06:46:05Z,4280254311,141,32.1,4280254307,56,Back,4280254315,213,2.2,4280254313,212,10.3,4280254309,140,26.7,,,,,,,,,,eifui3hrv21plt57hxo8dhl62,Seol Young-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217837,6,1,1,0,6,86pmsqvfhj3t45uo4osr9hks9,1,26.1,28.5,2023-05-15T06:44:54.420Z,2023-05-15T06:46:05Z,4280254377,56,Back,4280254383,212,8.2,4280254379,140,26.3,4280254385,213,4.7,4280254381,141,16.5,,,,,,,,,,7g27aztcta6kcxevz44b8lv4l,Kim Kee-Hee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217857,7,1,1,0,7,86pmsqvfhj3t45uo4osr9hks9,1,26.3,16.5,2023-05-15T06:44:55.939Z,2023-05-15T06:46:04Z,4280254443,140,32.0,4280254445,141,29.1,4280254447,212,10.5,4280254449,213,1.0,4280254441,56,Back,,,,,,,,,,eifui3hrv21plt57hxo8dhl62,Seol Young-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549217859,8,1,1,0,8,86pmsqvfhj3t45uo4osr9hks9,0,32,29.1,2023-05-15T06:44:56.380Z,2023-05-15T06:52:30Z,4280254461,140,34.7,4280254467,213,0,4280254465,212,2.8,4280254463,141,29.1,4280254459,56,Back,4280254457,3,,,,,,,,5osl9hgarpoek3ici17bq3nqh,Park Yong-Woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
