id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/19/value
2514956825,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-04T12:12:41.249Z,2023-03-07T14:04:17Z,4070446149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070446151,194,5376r1hbhrywje7cys1vcyb4l,4070446141,30,"exmyiidka52uylmreef9fpn85, cp8kbj12wth398bnglywepk9, 820fen2dxh3d2zmcbn9ak0u6t, cgwl99clcp8j1z4tq5n0bh9ed, 5376r1hbhrywje7cys1vcyb4l, 624uaxchaea87v6na4wsd50x5, 1fypwti6kn4ae12fc9outj845, 9d3t6xtk6bceipt63k6c5rnit, 6yga33ui0heg0zkpe4r3kznmy, evyk938tt0eebkhxrwejaonv9, 5x2mcnjeclk64b5l9o2h4d5g5, 2rdvd4egt9kk7cocies197i6t, 30k7kvnsp7a4gsl43gun7yhyi, g15ldg2cnu1otbiwsm3dppg4, 2j90w131xjmie2ozb2wb6a6p6, deh42a9ovtkyfppy2pmthdre1, 5zwi7f2u6vd88wvc00ynpv209, 5zhllm5im47ot9gywrg0untd6, 970jrhb28ry898d1ocpad6dwp, 465tn4volgmbkntekrvwuvmne",4070446147,130,5,4070593051,197,4263,4070446143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070446153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070446145,59,"30, 4, 13, 6, 15, 3, 2, 10, 11, 17, 7, 8, 14, 12, 20, 24, 32, 33, 38, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514962435,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-04T12:20:19.807Z,2023-03-04T13:10:48Z,4070473463,59,"1, 6, 12, 18, 4, 14, 7, 5, 3, 17, 8, 13, 25, 33, 36, 44, 70, 77, 90, 99",4070473467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070473465,130,8,4070473469,194,8j0yhxinglb5o5dpe2qd232dx,4070473471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070473459,30,"2r3ppks82lf3a7aycih7rc63t, 7msfk3faesnc4ls6893wdhi0a, 92gmexjsv0jv637cxhachstn8, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, 1amphiae52a8rzm2ngpzffu21, 9f8pdf7j05xb111c5lunzgvyt, 2xkudoxz92f1vgbjlsbfum3f9, 8pxv846gct3gjgrknr4glqulm, crx6u6bfmbgw4ivuxa7rwiuc4, 7kbi9qu4y9rhc28x3ogyg5ot1, 2b8fj2xnd2h9rdbg0bkgbizu1, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, 9tg1kuzodiju70sbok4xibbpw, 8ab4hqpw7m6ocphleluf9sicp, 2w4wqxkz8b8ac0v1hzlvn8yz8, de3zx99d8qybnoq7nvlcd7xii",4070473461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070594293,197,11736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987249,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-04T13:01:16.317Z,2023-03-24T18:26:15Z,4070597483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987235,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-04T13:01:16.317Z,2023-03-04T13:01:16Z,4070597379,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987257,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50.5,49.9,2023-03-04T13:01:16.401Z,2023-03-24T21:43:33Z,4070597519,213,3.3,4070597521,279,S,4070597511,56,Back,4070597517,212,19.9,4070597513,140,31.8,4121947797,178,,4070597515,141,45.4,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987275,4,1,1,0,2,o1iwuxbv233ayidxpibbxy59,1,39.5,52.2,2023-03-04T13:01:19.217Z,2023-03-24T21:43:37Z,4070597605,140,28.3,4121947935,178,,4070597603,56,Back,4070597607,141,43.7,4070597611,213,3.6,4070597609,212,13.1,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987291,5,1,1,0,5,o1iwuxbv233ayidxpibbxy59,1,25.9,38.5,2023-03-04T13:01:21.515Z,2023-03-24T21:43:43Z,4070597691,213,6.0,4070597689,212,17.2,4070597685,140,41.4,4121948131,178,,4070597687,141,30.4,4070597683,56,Back,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987315,6,1,1,0,7,o1iwuxbv233ayidxpibbxy59,1,43,26.6,2023-03-04T13:01:24.311Z,2023-03-24T21:43:47Z,4070597821,212,16.3,4121948235,178,,4070597819,141,34.9,4070597815,56,Center,4070597817,140,57.6,4070597823,213,0.4,,,,,,,1amphiae52a8rzm2ngpzffu21,Tareq Abdullah A Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987347,7,1,1,0,9,o1iwuxbv233ayidxpibbxy59,1,53.4,36.3,2023-03-04T13:01:25.475Z,2023-03-24T21:43:59Z,4070597981,56,Back,4070597989,213,3.3,4070597985,141,34.2,4070597983,140,42.4,4121948485,178,,4070597987,212,11.6,,,,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515002971,177,1,1,0,10,o1iwuxbv233ayidxpibbxy59,1,44.6,32,2023-03-04T13:01:26.521Z,2023-03-24T21:44:06Z,4070674009,141,53.8,4070674011,212,16.9,4070674013,213,1.1,4070674007,140,52.4,4121948659,178,,4070674005,56,Center,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
