id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value
2550671259,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-18T15:26:42.823Z,2023-05-18T16:17:51Z,4287952117,30,"8qps88s8g1c8xw5uiz5gyh4ut, 84a84u8p0tc4v0rsnwjtdw8np, 7fjkirlsme7wdpjibaw136s4, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, b21fztzyrqua7i6lkfk7wh979, ciw54ghi1jv1xb5dmtv558xjp, a9xl33f68np358angkw5o606i, 6wto8d6jcd41bo451wwbjng89, c79pr94ulryjygvurdgku45w5, 8po9k5w3ds7hoai833haglrf8, 3a591b3l0o7ucdb8w72vjz4kp, aotysrmw0ffmznm2u4ya487o5, 64122p1l6bayb1x6lfi9w85m2, dr08g6m75jde8h9p96jfwojit, 6rsym2764y5k4vw569ab62x3o, bx7lsguu67h38eanl7xf0hclw, 5fpfdgzit3468e1a04ooetsr9, c7da9wqhoce68v0tvfhb4itjo",4288031217,197,4607,4287952123,130,6,4287952121,59,"1, 28, 27, 4, 17, 6, 74, 76, 80, 88, 49, 2, 3, 9, 13, 23, 24, 29, 87, 90",4287952119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4287952131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4287952129,194,bl117o6ogkgnnbv2gl0ozpn85,4287952125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550672083,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-05-18T15:28:24.369Z,2023-05-18T16:04:17Z,4288028933,194,68cm9uvlgmi1q5xfki3g31i39,4287956641,130,8,4287956643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4288028935,197,686,4287956635,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, dcl1lgczly52fg4f7oh8se6l1, 8sllxmpst47s6c46fgtv1q47p, bepcao7uiozczrxbhc7fjjis5, ytjrtqtximxhs52bfsezogk5, btjt8zqd248l6mk9b2obdsr1l, 3m67z6okk8i52z0b6widofxsl, 68cm9uvlgmi1q5xfki3g31i39, bdtfe5xkr2grbxqkgpntbypjp, 6w77bixcwoy3qlg568od8wr9, bjprfeyv38xb284im3yuu3u21, epumfwql35ruytuh15rozq311, 58f5zmv1f4k6l2o9jkezem0ic, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, buqncwv5n0iy5ff8mjro9mwb8, 2ols4eii5tbcbjbrz9zy942dw, 9e8phbwelzhbdk0bfsuyu4a5m",4287956637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4287956639,59,"18, 27, 24, 15, 23, 4, 8, 89, 71, 10, 13, 6, 9, 12, 34, 35, 16, 26, 50, 88",4287956645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686179,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-05-18T16:00:53.410Z,2023-05-18T16:00:55Z,4288035337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686177,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-05-18T16:00:53.410Z,2023-05-18T16:00:53Z,4288035335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686231,3,1,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,50.2,49.7,2023-05-18T16:00:53.510Z,2023-05-18T16:53:48Z,4288035681,1,,4288035671,56,Back,4288035683,279,S,4288035673,140,27.7,4288035679,213,4.1,4288135805,189,,4288035675,141,4.9,4288035677,212,38.6,6wto8d6jcd41bo451wwbjng89,Alaa Hejji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550704081,410,1,1,0,2,2xl3g56k2mbuwdbre46s29vt4,1,36.6,57.5,2023-05-18T16:00:55.410Z,2023-05-18T16:53:49Z,4288135967,1,,4288135965,213,4.5,4288135957,56,Back,4288135963,212,34.9,4288135961,141,7.9,4288136001,189,,4288135959,140,28.1,,,,ciw54ghi1jv1xb5dmtv558xjp,F. Fajr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686243,4,1,1,0,6,2xl3g56k2mbuwdbre46s29vt4,1,27.8,4.9,2023-05-18T16:01:00.150Z,2023-05-18T16:54:13Z,4288035749,212,16.5,4288035747,141,28.3,4288035745,140,23.8,4288035751,213,1.8,4288035743,56,Back,,,,,,,,,,84a84u8p0tc4v0rsnwjtdw8np,Hamad Al Jayzani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686265,5,1,1,0,8,2xl3g56k2mbuwdbre46s29vt4,1,24,28.8,2023-05-18T16:01:01.670Z,2023-05-18T16:54:13Z,4288035861,140,20.1,4288035863,141,40.4,4288035867,213,2.0,4288035865,212,8.9,4288035859,56,Back,,,,,,,,,,2gwlr4pwk004ck0jrgn7z6ytx,Abdullah Al Hafith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686305,6,1,1,0,10,2xl3g56k2mbuwdbre46s29vt4,1,19.2,44.9,2023-05-18T16:01:04.134Z,2023-05-18T16:01:09Z,4288036039,140,26.7,4288036045,213,1.3,4288036037,56,Back,4288036041,141,83.5,4288036043,212,27.4,,,,,,,,,,bl117o6ogkgnnbv2gl0ozpn85,Waleed Bakshwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550686331,7,1,1,0,15,2xl3g56k2mbuwdbre46s29vt4,1,34.4,73.6,2023-05-18T16:01:09.382Z,2023-05-18T16:01:12Z,4288036211,56,Back,4288036213,140,30.6,4288036215,141,63.3,4288036217,212,8.1,4288036219,213,4.2,,,,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
