id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2517834463,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-10T16:11:57.614Z,2023-03-10T17:44:28Z,4085701451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085701447,130,8,4085871849,197,3483,4085701441,30,"2r3ppks82lf3a7aycih7rc63t, 2b8fj2xnd2h9rdbg0bkgbizu1, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 2xkudoxz92f1vgbjlsbfum3f9, 1amphiae52a8rzm2ngpzffu21, 9f8pdf7j05xb111c5lunzgvyt, cmijbwv0ine68v0y6kf9cuehh, 12dv2sa9xm0aedpb13ivl11wp, 75cibe9m6z4wb8be86hfgvtud, 7msfk3faesnc4ls6893wdhi0a, 8pxv846gct3gjgrknr4glqulm, 92gmexjsv0jv637cxhachstn8, crx6u6bfmbgw4ivuxa7rwiuc4, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",4085701443,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4085701445,59,"1, 33, 31, 18, 4, 14, 17, 5, 3, 10, 7, 2, 6, 8, 12, 13, 36, 44, 77, 99",4085701449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085871847,194,8j0yhxinglb5o5dpe2qd232dx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517835405,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-03-10T16:14:47.453Z,2023-03-10T17:33:10Z,4085706357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085706349,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4085706355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4085706347,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 27jg2mdzgw4bt7l4215hq12sq, 3xtzd4wqoq2b6ak1k2tep9oet, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, 2lkra7wic5b481l7qybjh8lx, d25hyz1ov3mdflbnbyc9okrmd, 6wjktx17kp8g29h9gw27lwez9, 36cdm30lm4hf1t6ajakity8k5, 1jfxkmks9lci345fiz9z2gfl5, 1nrxtmfkuqg2uz7pvgcgwgj4l, p3ebcmbu5i9le8czo76ngm0a, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, hki3chjlidmwubff6srauj56, 14dpnweb51v7re2xa3qkpulex, c4zklinh3sa5kchbvjugn0s0l, 2ibtue1dtek9mwj0fn8cn7jmc, 574pdpfxal0lsopnsnz17ciqd",4085706353,130,8,4085706351,59,"1, 66, 88, 6, 20, 5, 19, 28, 9, 7, 96, 2, 4, 8, 11, 14, 16, 21, 56, 70",4085876965,197,618,4085876963,194,36cdm30lm4hf1t6ajakity8k5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517866989,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2023-03-10T17:30:38.614Z,2023-03-10T17:30:38Z,4085882781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867003,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-03-10T17:30:38.614Z,2023-03-26T10:31:36Z,4085882839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867013,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,50,50,2023-03-10T17:30:38.626Z,2023-03-27T06:29:11Z,4127377913,178,,4085882901,279,S,4085882897,212,11.5,4085882899,213,3.2,4085882891,56,Back,4085882895,141,48.5,4085882893,140,39.1,,,,6wjktx17kp8g29h9gw27lwez9,O. Ighalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867055,4,1,1,0,2,c9swyor08g9pedxpe3n321svu,1,39.1,47.6,2023-03-10T17:30:40.934Z,2023-03-27T06:29:15Z,4127379781,178,,4085883093,141,34.0,4085883095,212,9.8,4085883089,56,Back,4085883091,140,36.0,4085883097,213,4.4,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867073,5,1,1,0,3,c9swyor08g9pedxpe3n321svu,1,35.2,34.2,2023-03-10T17:30:42.360Z,2023-03-27T06:29:19Z,4127380755,178,,4085883161,56,Back,4085883175,213,0.8,4085883173,212,7.5,4085883167,140,40.4,4085883171,141,41.8,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867087,6,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,40.4,42.1,2023-03-10T17:30:43.069Z,2023-03-27T06:29:23Z,4085883253,213,3.9,4085883247,140,35.3,4085883251,212,7.6,4085883249,141,34.2,4127381619,178,,4085883245,56,Back,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867117,7,1,1,0,5,c9swyor08g9pedxpe3n321svu,1,35.3,34.2,2023-03-10T17:30:43.927Z,2023-03-27T06:29:26Z,4085883401,56,Back,4085883405,141,63.6,4085883403,140,26.7,4085883407,212,21.9,4085883409,213,2.0,4127382137,178,,,,,,,,d25hyz1ov3mdflbnbyc9okrmd,Mohammed Kanno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517867161,8,1,1,0,7,c9swyor08g9pedxpe3n321svu,1,26.6,67,2023-03-10T17:30:46.141Z,2023-03-27T06:29:29Z,4085883599,212,16.4,4085883595,140,30.9,4085883593,56,Back,4127382727,178,,4085883597,141,90.2,4085883601,213,1.3,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
