id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2460539227,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-09-16T14:28:57.520Z,2022-09-16T15:59:56Z,3783197381,197,11736,3783134135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783134131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783134129,130,7,3783134133,194,8j0yhxinglb5o5dpe2qd232dx,3783134123,30,"2r3ppks82lf3a7aycih7rc63t, 1amphiae52a8rzm2ngpzffu21, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, cmijbwv0ine68v0y6kf9cuehh, 9f8pdf7j05xb111c5lunzgvyt, cm8m8mytnpgldxvoi9or35a09, 8pxv846gct3gjgrknr4glqulm, 7msfk3faesnc4ls6893wdhi0a, 9etkdqceb3wo5zh0oktt0r85w, 2xkudoxz92f1vgbjlsbfum3f9, 6up21v3m8ws3veg1rh1r1ygpg, 7kbi9qu4y9rhc28x3ogyg5ot1, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",3783134127,59,"1, 5, 31, 18, 4, 14, 7, 10, 3, 24, 8, 6, 9, 17, 20, 25, 36, 44, 77, 99",3783134125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460541037,1,34,16,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-09-16T14:52:24.068Z,2022-09-16T15:47:06Z,3783145639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783145627,30,"exmyiidka52uylmreef9fpn85, 465tn4volgmbkntekrvwuvmne, 820fen2dxh3d2zmcbn9ak0u6t, cgwl99clcp8j1z4tq5n0bh9ed, 5376r1hbhrywje7cys1vcyb4l, 624uaxchaea87v6na4wsd50x5, 5yrugwes9msd3cd5hhrluivah, evyk938tt0eebkhxrwejaonv9, 8cfopdu7tyfve6iu3sinme1gp, 1fypwti6kn4ae12fc9outj845, 5x2mcnjeclk64b5l9o2h4d5g5, cp8kbj12wth398bnglywepk9, 2rdvd4egt9kk7cocies197i6t, 6yga33ui0heg0zkpe4r3kznmy, bx6o57idb4mbv2xo70l9gkfs9, 2j90w131xjmie2ozb2wb6a6p6, paq60rfkhm8gy9412w5tuo0k, 12aymg9roti0joastjxyswzqh, 5zwi7f2u6vd88wvc00ynpv209, dcv72l1n3nkz6aybcnqwfu5g4",3783197515,197,4263,3783145637,194,5376r1hbhrywje7cys1vcyb4l,3783145629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783145635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783145631,59,"30, 40, 13, 6, 15, 3, 49, 17, 9, 2, 7, 4, 8, 11, 19, 20, 22, 23, 32, 99",3783145633,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550621,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-09-16T15:50:32.484Z,2022-09-23T09:06:58Z,3783200099,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550627,2,32,1,0,0,4djrvao40r1vgr4psfl5dzc80,1,0,0,2022-09-16T15:50:32.484Z,2022-09-16T15:50:33Z,3783200105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550631,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50.2,49.9,2022-09-16T15:50:32.581Z,2022-09-23T11:07:12Z,3783200129,279,S,3783200127,213,3.1,3783200121,140,43.7,3783200125,212,6.8,3783200119,56,Back,3798690035,178,,3783200123,141,49.9,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550639,4,1,1,0,3,o1iwuxbv233ayidxpibbxy59,1,43.7,49.9,2022-09-16T15:50:35.553Z,2022-09-23T11:07:12Z,3783200183,213,2.1,3783200181,212,23.6,3783200179,141,79.3,3783200177,140,31.8,3783200175,56,Back,3798690055,178,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550657,5,1,1,0,7,o1iwuxbv233ayidxpibbxy59,1,31.9,78.7,2022-09-16T15:50:39.494Z,2022-09-23T11:07:13Z,3783200273,140,41.8,3798690063,178,,3783200277,212,15.3,3783200275,141,95.3,3783200271,56,Back,3783200279,213,0.8,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550669,6,1,1,0,11,o1iwuxbv233ayidxpibbxy59,1,56.9,95.7,2022-09-16T15:50:43.695Z,2022-09-23T11:07:13Z,3783200359,212,13.1,3798690071,178,,3783200361,213,5.6,3783200353,56,Left,3783200355,140,66.6,3783200357,141,83.6,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550671,7,1,1,0,12,o1iwuxbv233ayidxpibbxy59,0,66.6,83.6,2022-09-16T15:50:44.533Z,2022-09-23T11:08:37Z,3783200365,56,Left,3783200367,140,62.3,3783200373,213,1.9,3783200371,212,12.9,3798691375,178,,3793860571,155,,3783200369,141,100.0,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550713,3,5,1,0,14,4djrvao40r1vgr4psfl5dzc80,1,34.1,-1.7,2022-09-16T15:50:46.643Z,2022-09-23T11:08:42Z,3783200563,56,Back,3783200565,347,,3783200579,233,8,,,,,,,,,,,,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550673,8,5,1,0,14,o1iwuxbv233ayidxpibbxy59,0,65.9,101.7,2022-09-16T15:50:46.643Z,2022-09-23T11:08:43Z,3783200595,233,3,3783200377,347,,3783200375,56,Left,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550727,4,1,1,0,26,4djrvao40r1vgr4psfl5dzc80,1,31.7,0,2022-09-16T15:50:59.464Z,2022-09-23T11:08:58Z,3783200647,212,16.3,3783200645,141,3.2,3783200641,56,Back,3783200643,140,46.9,3783200639,107,,3783200649,213,0.2,,,,,,,465tn4volgmbkntekrvwuvmne,Hassan Al Shamrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550729,5,61,1,0,28,4djrvao40r1vgr4psfl5dzc80,1,46.9,3.1,2022-09-16T15:51:00.739Z,2022-09-23T11:09:07Z,3783200653,56,Back,3798691647,178,,,,,,,,,,,,,,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550733,6,61,1,0,28,4djrvao40r1vgr4psfl5dzc80,1,46.8,3.8,2022-09-16T15:51:00.901Z,2022-09-23T11:09:20Z,3798691739,178,,3783200673,56,Back,,,,,,,,,,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550741,7,1,1,0,29,4djrvao40r1vgr4psfl5dzc80,0,46.1,2.8,2022-09-16T15:51:02.289Z,2022-09-23T11:09:29Z,3783200715,212,1.1,3783200711,140,47.1,3783200717,213,0.1,3783200713,141,2.9,3783200709,56,Back,3798691835,178,,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550735,9,61,1,0,30,o1iwuxbv233ayidxpibbxy59,1,41.8,93.6,2022-09-16T15:51:02.489Z,2022-09-23T11:09:37Z,3783200675,56,Back,3798691917,178,,,,,,,,,,,,,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550745,10,49,1,0,30,o1iwuxbv233ayidxpibbxy59,1,40,90.9,2022-09-16T15:51:02.981Z,2022-09-23T12:04:15Z,,,,,,,,,,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463494189,853,83,1,0,32,4djrvao40r1vgr4psfl5dzc80,1,54.7,8.7,2022-09-16T15:51:04.836Z,2022-09-23T12:03:33Z,3798771673,399,165796,,,,,,,,,,,,,,,,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550749,11,1,1,0,32,o1iwuxbv233ayidxpibbxy59,1,40,90.9,2022-09-16T15:51:05.361Z,2022-09-23T11:10:11Z,3783200743,56,Back,3783200745,140,26.2,3798692347,178,,3783200747,141,85.9,3783200751,213,3.4,3783200749,212,14.9,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550753,12,1,1,0,35,o1iwuxbv233ayidxpibbxy59,1,26.2,85.9,2022-09-16T15:51:08.126Z,2022-09-23T11:10:18Z,3783200759,56,Back,3783200763,141,82.7,3798692451,178,,3783200761,140,31.1,3783200765,212,5.6,3783200767,213,5.9,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550759,13,1,1,0,37,o1iwuxbv233ayidxpibbxy59,1,31.1,82.7,2022-09-16T15:51:09.498Z,2022-09-23T11:10:26Z,3783200799,56,Back,3783200807,213,1.2,3798692543,178,,3783200805,212,8.7,3783200801,140,34.1,3783200803,141,94.7,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550763,14,1,1,0,39,o1iwuxbv233ayidxpibbxy59,0,33.9,95.3,2022-09-16T15:51:12.380Z,2022-09-23T11:10:33Z,3798692633,178,,3783200817,141,94.8,3783200819,212,1.3,3783200815,140,35.1,3783200849,236,,3783200855,286,,3783200851,233,8,3783200813,56,Back,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,3783200821,213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
