id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2454436863,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-09-02T15:17:15.687Z,2022-09-02T15:58:30Z,3750649097,59,"1, 40, 23, 30, 4, 19, 10, 8, 9, 11, 75, 3, 6, 15, 18, 24, 32, 44, 45, 7",3750649095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750649101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750649093,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, 8y6x61qorr95ai62ko6yo6cr8, 3hzwwygv4u0vn68g4z3taqj1l, bodbz7zwlae3zytzhmbk5ncwk, bkpoy149cdahszf7g50fdox04, 8tvytrvm8g922nxp2sjc7lxp1, 7ieikgigejp7rmvrsra8mj1lh, egk2nnpvvup731trr0x2kj696, f0fot1juj3i62tt8i2vybnjdh, 9i2vkt05nwdi1v6iqiyv3hl91, 37ozmigs9h3hachibcihs8t05, a8tgq32yvdrxup21s75ktvtw4, 4d1vfcib03lv7y3dbpv2b8usp, 2ff2szax8e6tod2rts23ok9re, 22nbr9lhehz7zxfpml2cdfx4a, 2j2uxep3rot3fwdq27b2im9qt, d0hq3mzumz2pvhkx2cxvalqsp, 2zayusqc1wlmawb2kojmtsmad, 3s3rnrrv8i4rb0x7vaa5mhvpx",3750649099,130,8,3750649105,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750701569,197,3316,3750649103,194,f0fot1juj3i62tt8i2vybnjdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454438467,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-09-02T15:27:43.752Z,2022-09-02T16:22:35Z,3750658229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750658231,59,"1, 11, 8, 19, 2, 5, 70, 17, 9, 27, 10, 71, 3, 7, 14, 16, 22, 23, 24, 77",3750658227,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3od5vsqck7ir6xf4kk2f5wbth, vgyj638vzzteqqyxcdte3sgl, ewpdng8x72853r8jkxv5z949h, c3ly1ivtw40f1rjqbbk9ublqt, 7cnb8jhbmd4n9ibdcuxym24fd, 98nbel31pgxlifu6s4wqqxjv9, 9n2zj5201b83mmcm7oomygacq, 9857q6zg63yro4ia9txv2l9pm, si3wcnvnhiukn1novyv1su6t, 2x6zibds9jmaex2mq4o6mj9hx, 91e6dbk9uxyui5vbe47zdj6jt, aonc1y49ulmolyc47knpwtrtg, 15o6hxjc62wgd0ej4dxtxczpx, 4w7c7a9rw5id7f0wikw02orth, 1hf93j1aaylparuteybdwded, 3km030r7hwsxw849nv0qpaql0, 99h9ihbi9zj82ubnt4pqr3s9h, 6nwftpkqtitqtvk9c8gtxkut",3750740999,197,6655,3750658235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750658237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750658449,194,3od5vsqck7ir6xf4kk2f5wbth,3750658233,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446621,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-09-02T16:00:45.540Z,2022-09-02T16:00:48Z,3750704777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446607,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-09-02T16:00:45.540Z,2022-09-19T08:54:40Z,3750704735,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446623,3,1,1,0,0,f0zsn74nz0o01gr30weun240i,1,50,50,2022-09-02T16:00:45.672Z,2022-09-19T09:55:30Z,3750704793,279,S,3793541057,178,,3750704783,56,Back,3750704789,212,7.3,3750704787,141,45.0,3750704785,140,43.8,3750704791,213,3.6,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446629,4,1,1,0,1,f0zsn74nz0o01gr30weun240i,1,43.8,45,2022-09-02T16:00:47.279Z,2022-09-19T09:55:33Z,3750704825,140,54.7,3750704827,141,52.5,3750704823,56,Center,3750704829,212,12.5,3750704831,213,0.4,3793541085,178,,,,,,,,7ieikgigejp7rmvrsra8mj1lh,Dener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446645,5,1,1,0,3,f0zsn74nz0o01gr30weun240i,1,54.7,52.5,2022-09-02T16:00:49.151Z,2022-09-19T09:55:37Z,3793541139,178,,3750704929,212,25.5,3750704923,56,Left,3750704931,213,1.7,3750704925,140,51.4,3750704927,141,89.6,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446663,6,1,1,0,9,f0zsn74nz0o01gr30weun240i,1,57.1,95.1,2022-09-02T16:00:54.897Z,2022-09-19T09:55:39Z,3750705021,141,82.9,3750705017,56,Back,3750705023,212,20.2,3750705019,140,39.6,3750705025,213,3.6,3793541183,178,,,,,,,,8y6x61qorr95ai62ko6yo6cr8,Nawaf Al Qamiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446669,7,1,1,0,13,f0zsn74nz0o01gr30weun240i,1,37.8,75,2022-09-02T16:00:58.931Z,2022-09-19T09:55:43Z,3750705075,1,,3750705067,212,32.4,3793541233,178,,3750705057,140,38.9,3750705061,141,27.4,3750705071,213,4.7,3750705051,56,Back,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454446701,8,1,1,0,17,f0zsn74nz0o01gr30weun240i,1,41.5,26,2022-09-02T16:01:03.331Z,2022-09-19T09:55:51Z,3750705703,154,,3750705249,56,Center,3750705701,210,15,3750705247,155,,3750705251,140,83.8,3750705259,1,,3750705253,141,45.8,3793541277,178,,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,1,3750705255,212,46.4,3750705257,213,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
