id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2500951929,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-01-27T16:16:37.375Z,2023-01-27T17:36:57Z,3996726869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996727075,194,6y9gieuehyt2l41jeh0cucrmd,3996726871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996826861,197,9632,3996726861,30,"26dlb4txygf7qzukjikr23mxh, 2h2r99zztgquxzs5it347aitx, 7tct6lamqw703ndfo60ruh6fp, 6b717wlx0q8d73hsbgsp90no5, eznzwuryd9khv90y1it9dey1h, 6y9gieuehyt2l41jeh0cucrmd, cee8klv6kur6xp1v57uikihg5, 3qjdcqc4mo21w0au4rveeenkl, 3a2ef34105eqoes4s6zu1310p, aqe0o77dv6114gsbpw3t1iymt, emt3e6x1c9howgtee0hr1hucp, 4oiynjwt22nwpmy0oyx5q6jh0, d9pwgddm81gw3caq3njscahud, 5nixubl71qpjdgsba0q0wmiac, 30dor76ut58qzf8ah4sgeqj1l, jzdzefumhn1ch49i21rc2385, chedaa8t6qan96a525uhvo8wk, 73sjrd456fd075zz1gmoutpuc, 6c553nvfijiwgxysc69p1747o, cvlg8sqmyklrh34h1dbad8s9g",3996726865,59,"1, 27, 25, 6, 24, 17, 28, 16, 9, 11, 7, 3, 14, 15, 18, 26, 77, 83, 88, 99",3996726863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996726867,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500954215,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-01-27T16:27:07.874Z,2023-01-27T17:42:33Z,3996739547,30,"64122p1l6bayb1x6lfi9w85m2, dr08g6m75jde8h9p96jfwojit, 7fjkirlsme7wdpjibaw136s4, bl117o6ogkgnnbv2gl0ozpn85, 2gwlr4pwk004ck0jrgn7z6ytx, a9yimyxegu9sx46hqvwswjs2d, c7da9wqhoce68v0tvfhb4itjo, 5fpfdgzit3468e1a04ooetsr9, b21fztzyrqua7i6lkfk7wh979, c79pr94ulryjygvurdgku45w5, 2tuivjaotzbx9jv83wi7d5rrp, 8po9k5w3ds7hoai833haglrf8, et956pmx883y3lica15q6zxii, aotysrmw0ffmznm2u4ya487o5, 62djy11vo0hkzbi61dedtfkes, bx7lsguu67h38eanl7xf0hclw, e4xmidcd1j7rhwwglaxpp3h1w, 308e1wizusqzn9l0kbf5kzjmc, 3hyvs17yubhqv97m863xlduj9, a9xl33f68np358angkw5o606i",3996739553,130,8,3996739555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996739549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996825039,197,4607,3996739559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996739551,59,"13, 23, 27, 4, 17, 6, 90, 87, 74, 49, 10, 2, 7, 9, 15, 29, 42, 57, 66, 80",3996739557,194,bl117o6ogkgnnbv2gl0ozpn85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968729,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2023-01-27T17:30:14.440Z,2023-02-16T09:45:09Z,3996820261,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968737,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-01-27T17:30:14.440Z,2023-01-27T17:36:35Z,3996820279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500969921,3,4,1,5,55,aekjg4wbxaixtwu4aicmiju92,1,72,73.8,2023-01-27T17:36:09.440Z,2023-02-16T11:21:52Z,3996826017,56,Center,3996826025,286,,3996826023,265,,3996826015,13,,3996826021,152,,3996826139,233,3,,,,,,,emt3e6x1c9howgtee0hr1hucp,Ayman Al Khulaif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500969941,3,4,1,5,55,2xl3g56k2mbuwdbre46s29vt4,0,28,26.2,2023-01-27T17:36:09.441Z,2023-02-16T11:21:52Z,3996826121,265,,4035339731,178,,3996826115,13,,3996826119,152,,3996826143,233,3,3996826123,285,,3996826117,56,Back,,,,c7da9wqhoce68v0tvfhb4itjo,Hazzaa Ahmed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970207,4,1,1,6,55,aekjg4wbxaixtwu4aicmiju92,0,71.9,80.9,2023-01-27T17:37:09.444Z,2023-02-16T11:22:00Z,4005506635,223,,3996827415,140,92.3,4035340005,178,,3996827421,213,5.4,4005506637,20,,3996827419,212,35.1,3996827417,141,40.1,3996827423,1,,emt3e6x1c9howgtee0hr1hucp,Ayman Al Khulaif,3996827413,56,Center,3996827405,2,3996827409,155,3996827411,152,3996827407,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970219,4,12,1,6,56,2xl3g56k2mbuwdbre46s29vt4,1,3.3,55.7,2023-01-27T17:37:11.088Z,2023-02-16T11:22:19Z,3996827537,15,,3996827509,141,37.0,3996827511,212,14.8,3996827507,140,10.5,4035340645,388,,3996827505,56,Back,3996827513,213,5.2,,,,2gwlr4pwk004ck0jrgn7z6ytx,Abdullah Al Hafith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970231,5,15,1,6,59,aekjg4wbxaixtwu4aicmiju92,1,88.8,65.7,2023-01-27T17:37:13.464Z,2023-02-16T11:22:24Z,4035340789,178,,3996827803,233,5,3996829113,231,52.3,3996829105,458,,3996829107,146,91.9,3996829111,230,98.6,3996827785,24,,3996827585,64,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,3996829103,328,,3996829099,103,3996827787,72,3996827587,56,3996827791,82,19,Center,3996829101,108,3996829109,147,61.0,3996829095,78,3996829097,102,48.6,,,,,,,,,,,,,,
2500970237,5,10,1,6,59,2xl3g56k2mbuwdbre46s29vt4,1,8.3,38.3,2023-01-27T17:37:13.480Z,2023-02-16T11:22:31Z,3996827621,94,,3996827623,56,Back,3996827811,233,5,4035340967,178,,,,,,,,,,,,,,dr08g6m75jde8h9p96jfwojit,Amiri Kurdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
