id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,assist,qualifier/15/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2530168147,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-04-08T12:05:46.020Z,2023-04-08T12:05:46Z,4171897181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171897177,59,"1, 20, 3, 6, 15, 2, 47, 11, 10, 16, 8, 4, 5, 9, 12, 14, 21, 22, 23, 25",4171897185,197,10418,4171897175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171897187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171897173,30,"nchbnx9d19b7p899usbyfr2t, eekz2ott1frktykurkd5tmy2, 6co35kabo4cg0o796clfc9z6y, c8rh8b925j9iq99ri9z4jqfx0, 2iq4fns3hb778wgkmsa2c9zze, 2gbfwdmpk5gfmcc979aqfkyxh, bd52544djk7t61roc813rewdm, 9ajfpzjfipsub15tats3mo2j9, au1328z9bxkwrtv9y2dczkwk5, emu9b7x0mtz4rp5p1fvd9wm39, 991l8wbi9cfhm2pmyid7cle22, 6vil8gpscw3z5hpoynir9i295, 613kkjtvfyf7mbvrqt9pcizmd, 3j10i32az64qfnkrjuiz2n4t0, ec6qqle54cq9gck2jhnbpjzs9, 6ynddvrfay02kkirltpn68s4q, 7dkzh4tqb9wrcw8gkx5k1x9t5, 2nduymuxduqebf1wyf0bjxgtm, 46ups8z9vhv73u0op2ld07wus, 52d84j3zno9y0po641urvjmqd",4171897179,130,13,4171897183,194,9ajfpzjfipsub15tats3mo2j9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530168867,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0,0,2023-04-08T12:06:47.287Z,2023-04-08T12:55:56Z,4171900781,194,9g2ih9necaprsrtqfmul1bumt,4171900785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171900777,130,23,4171900771,30,"e2bwgf3vzvv1rrfz39amdyrit, 52a5br8e27u4mj5f4m3djjkd1, e2a1ocfsgxbeofbyn6ff83ydx, 9j6wrg04o32zuepsj675m104p, 9g2ih9necaprsrtqfmul1bumt, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, 1xsy3m0bzicto5ogxsd026bmy, 1j1fgb6yydw3ck6uaz42rohd5, 74rqympe5uuab87psxt8y5mcq, 1oxiwrp4v3e7j5v5vz9fe31lh, atxo9oz3czimyk1t4xigfrkrt, c530mxbnk10671ogb1j4kr4r9, 7skwiyuh8kd7mswnwbin2glwp, 9bmo8w8t7slkzbb5owilyoqju, cpjieadlcw20wrqn2uo02lyol, c3jxdm8s5meuohhv6hthhdy0a, 7q001jk9hk2ylv31sv48fv7dg, 7tsyahwlovx41jov2quanu8lw, 274bm1z19bvboucn9xt36b9ck",4171900775,59,"1, 17, 2, 8, 4, 3, 6, 10, 9, 30, 24, 11, 12, 14, 15, 16, 18, 19, 20, 27",4171900773,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171900779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171900783,197,10629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197551,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0,0,2023-04-08T13:00:32.181Z,2023-04-08T13:00:32Z,4172039697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197569,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-04-08T13:00:32.181Z,2023-04-09T09:07:07Z,4172039819,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197575,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50,50,2023-04-08T13:00:32.281Z,2023-04-08T13:06:53Z,4172039873,213,3.1,4172039867,140,28.6,4172039871,212,22.5,4172039869,141,50.3,4172039865,56,Back,4172039875,279,S,,,,,,,1oxiwrp4v3e7j5v5vz9fe31lh,Amir Al Ammari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197591,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,1,24.2,56.7,2023-04-08T13:00:35.633Z,2023-04-08T13:07:10Z,4172039967,212,18.8,4172039963,140,25.6,4172039969,213,1.5,4172039961,56,Back,4172039965,141,84.3,,,,,,,,,,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197605,5,1,1,0,6,6i936isoyj6d0uuxdj537uc97,0,24.9,82,2023-04-08T13:00:38.592Z,2023-04-08T13:07:16Z,4172040045,140,70.8,4172040041,155,,4172040053,1,,4172040047,141,42.1,4172040049,212,55.3,4172040051,213,5.8,4172040043,56,Center,,,,e2a1ocfsgxbeofbyn6ff83ydx,T. Boakye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197617,3,1,1,0,12,46yo78zak2j7kaxc5ak1fnm60,0,25.9,62.5,2023-04-08T13:00:44.358Z,2023-04-08T13:07:33Z,4172040157,212,22.0,4172040149,3,,4172040151,56,Back,4172040155,141,36.7,4172040153,140,38.6,4172040159,213,5.4,,,,,,,c8rh8b925j9iq99ri9z4jqfx0,O. Wallin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197631,6,1,1,0,13,6i936isoyj6d0uuxdj537uc97,1,60.5,67.6,2023-04-08T13:00:45.920Z,2023-04-08T13:07:39Z,4172040239,141,80.5,4172040225,3,,4172040241,212,11.6,4172040233,140,53.2,4172040243,213,2.3,4172040229,56,Left,,,,,,,1oxiwrp4v3e7j5v5vz9fe31lh,Amir Al Ammari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197653,7,1,1,0,14,6i936isoyj6d0uuxdj537uc97,0,52.5,82.1,2023-04-08T13:00:47.024Z,2023-04-08T13:07:55Z,4172040339,213,5.6,4172064025,1,,4172040335,141,55.7,4172064023,157,,4172040329,56,Center,4172040333,140,75.1,4172040337,212,29.8,,,,e2a1ocfsgxbeofbyn6ff83ydx,T. Boakye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197647,4,44,1,0,17,46yo78zak2j7kaxc5ak1fnm60,1,26.8,46.6,2023-04-08T13:00:49.251Z,2023-04-08T13:00:51Z,4172040415,233,8,4172040311,285,,4172040309,56,Back,,,,,,,,,,,,,,,,2iq4fns3hb778wgkmsa2c9zze,S. Korač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197661,8,44,1,0,17,6i936isoyj6d0uuxdj537uc97,0,73.2,53.4,2023-04-08T13:00:49.252Z,2023-04-08T13:00:51Z,4172040363,56,Center,4172040453,233,4,4172040365,286,,,,,,,,,,,,,,,,,1j1fgb6yydw3ck6uaz42rohd5,Viktor Granath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197665,5,1,1,0,17,46yo78zak2j7kaxc5ak1fnm60,0,23.2,42.5,2023-04-08T13:00:49.931Z,2023-04-08T13:08:02Z,4172040373,56,Back,4172040377,141,55.4,4172040381,213,0.6,4172040375,140,34.4,4172040371,3,,4172040379,212,14.7,,,,,,,2iq4fns3hb778wgkmsa2c9zze,S. Korač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197703,9,1,1,0,19,6i936isoyj6d0uuxdj537uc97,0,68.6,52.5,2023-04-08T13:00:51.904Z,2023-04-08T13:08:14Z,4172040561,213,1.3,4172040553,56,Left,4172040557,141,85.4,4172040551,155,,4172040559,212,23.5,4172040555,140,75.6,,,,,,,edzj7i715cpyuuumcttajkc0l,J. Allansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197719,6,49,1,0,24,46yo78zak2j7kaxc5ak1fnm60,1,30.3,17.7,2023-04-08T13:00:56.545Z,2023-04-08T13:00:56Z,,,,,,,,,,,,,,,,,,,,,,,,,eekz2ott1frktykurkd5tmy2,E. Bouzaiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197731,7,1,1,0,24,46yo78zak2j7kaxc5ak1fnm60,1,30.3,17.7,2023-04-08T13:00:56.756Z,2023-04-08T13:00:58Z,4172040697,155,,4172040709,1,,4172040703,141,33.1,4172040705,212,32.3,4172040701,140,59.4,4172040707,213,0.3,4172040699,56,Center,,,,eekz2ott1frktykurkd5tmy2,E. Bouzaiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197735,8,61,1,0,26,46yo78zak2j7kaxc5ak1fnm60,0,59.4,32.8,2023-04-08T13:00:58.427Z,2023-04-08T13:00:58Z,4172040721,56,Center,,,,,,,,,,,,,,,,,,,,,,au1328z9bxkwrtv9y2dczkwk5,D. Vukojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197751,10,49,1,0,28,6i936isoyj6d0uuxdj537uc97,1,46.4,57,2023-04-08T13:01:00.241Z,2023-04-08T13:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,9g2ih9necaprsrtqfmul1bumt,Andreas Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197777,11,1,1,0,28,6i936isoyj6d0uuxdj537uc97,0,46.4,57,2023-04-08T13:01:00.481Z,2023-04-08T13:01:05Z,4172040943,157,,4172040955,1,,4172040949,141,75.0,4172040951,212,36.1,4172040953,213,0.3,4172040947,140,78.7,4172040945,56,Center,,,,9g2ih9necaprsrtqfmul1bumt,Andreas Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197769,9,44,1,0,30,46yo78zak2j7kaxc5ak1fnm60,1,22.6,26.9,2023-04-08T13:01:02.523Z,2023-04-08T13:01:05Z,4172041013,233,12,4172040905,285,,4172040901,56,Back,,,,,,,,,,,,,,,,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197783,12,44,1,0,30,6i936isoyj6d0uuxdj537uc97,0,77.4,73.1,2023-04-08T13:01:02.524Z,2023-04-08T13:01:06Z,4172040977,286,,4172041035,233,9,4172040975,56,Center,,,,,,,,,,,,,,,,74rqympe5uuab87psxt8y5mcq,Alexander Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197785,10,1,1,0,31,46yo78zak2j7kaxc5ak1fnm60,1,23.9,29.2,2023-04-08T13:01:03.203Z,2023-04-09T09:08:10Z,4172040989,141,8.2,4172040991,212,14.9,4172040983,3,,4172040993,213,5.0,4172040985,56,Back,4172040987,140,28.0,,,,,,,2gbfwdmpk5gfmcc979aqfkyxh,G. Granath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197793,11,49,1,0,32,46yo78zak2j7kaxc5ak1fnm60,1,29.1,8.2,2023-04-08T13:01:04.860Z,2023-04-08T13:01:05Z,,,,,,,,,,,,,,,,,,,,,,,,,eekz2ott1frktykurkd5tmy2,E. Bouzaiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
