id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2540603289,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-04-29T12:09:01.314Z,2023-04-29T12:09:01Z,4234341567,197,7821,4234341557,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234341563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234341561,130,12,4234341569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234341559,59,"1, 14, 26, 15, 5, 29, 7, 8, 16, 11, 22, 3, 4, 6, 9, 10, 12, 17, 28, 35",4234341565,194,czfitwajt0sayki90i3fk5n85,4234341555,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 1rkikvibo6lmhhtyfbg21jtp0, 4kmd502s272vf5wgkx8hk4vl5, as6coaak724tr7igyz1wwlfc9, 3vescyd2jf8wxx19q0kfedx0q, 93qjy2eilbuufwu2kbwpfng7p, d58ji96mcnebbci6skc46x9uc, dgxqp83lhb316dec1rpi5op62, bv57jiquzqjnzuxzw5r663aad, czfitwajt0sayki90i3fk5n85, akuyf0uf6ev1es1zjhs9fss89, f3tl93wfzx0pywpyrh7huipzo, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, b2ki48qnm9uycjpme5g6envf9, cu4fx7oa7rkoeqcgr619puok5, 9hg51o20uf6u2bjgshjax9soa, 8r01e6ums2gs8ita3toy3zm6s, bomd9wl2cnqwck46ctwjqju1h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540604933,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0,0,2023-04-29T12:10:44.470Z,2023-04-29T12:52:44Z,4234349639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234349651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234349649,197,5167,4234349645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234349641,59,"30, 13, 23, 10, 8, 4, 28, 6, 11, 19, 7, 16, 17, 18, 21, 22, 25, 29, 31, 2",4234349637,30,"9hl2v867qfg6nzsdadb8wu7e1, 18m0hkgbsvq0axzflltkyylsl, 2d1dh619cfgvel4bv7tpfxjo5, 7sz8doeyg28ddueulae0phisq, 6legryh9z8lvc4bq4s456m09h, 6on1coqb8yeebnwqyazkooa1, 32bvga34o0hleev3duw2342ui, 2mawaijd9czgtd5jh9myk434l, xctg7y5ks41cjjnerqkia38p, 3ohbqdzgocvaipgik7plvzpwp, 4s3dvpdloqr1hpl9svn8rk222, 57sb1ucemao2x9b7zsvzb3i8k, eyn7izezzer5izneismz7dm8l, 5gs941kssav1ie8ss2q99tizu, 5h0by2ot7i2z6daqdqj6nyiqy, 1a112nxaob06fjynlat625u96, 2hismnis73ehqkk5hv0pd7wq2, 85mzxov9sqq8gec4e0wwt8h78, 2trecv075gi4o78mfuyh4xiol, 94e7xh7d38gbt8zw2u4clb4ve",4234349643,130,4,4234349647,194,18m0hkgbsvq0axzflltkyylsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642667,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-04-29T13:00:33.920Z,2023-04-30T15:59:23Z,4234539535,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642673,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0,0,2023-04-29T13:00:33.920Z,2023-04-29T13:00:36Z,4234539553,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642703,3,1,1,0,1,spvvjmk37iid7hsky9g3nce7,1,50.2,50.3,2023-04-29T13:00:35.020Z,2023-04-30T16:00:11Z,4234539729,279,S,4234539727,213,3.3,4234539725,212,22.6,4234539719,56,Back,4234539721,140,28.9,4234539723,141,45.2,,,,,,,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642753,4,1,1,0,3,spvvjmk37iid7hsky9g3nce7,0,29.3,41.3,2023-04-29T13:00:37.620Z,2023-04-29T13:00:40Z,4234540015,1,,4234540009,141,24.7,4234540005,56,Center,4234540007,140,80.0,4234540003,155,,4234540011,212,54.4,4234540013,213,6.1,,,,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642799,3,12,1,0,6,1939bnru25svvgv15k2c7tw2y,1,18.7,77,2023-04-29T13:00:40.828Z,2023-04-29T13:00:45Z,4234540457,15,,4234540255,213,1.6,4234540251,141,100.0,4234540459,167,,4234540253,212,17.0,4234540249,140,18.8,4234540245,56,Back,,,,6on1coqb8yeebnwqyazkooa1,G. Henriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642809,4,5,1,0,9,1939bnru25svvgv15k2c7tw2y,0,14.8,101.8,2023-04-29T13:00:43.306Z,2023-04-29T13:01:04Z,4234541605,233,6,4234540289,56,Back,4234540291,347,,,,,,,,,,,,,,,,,6on1coqb8yeebnwqyazkooa1,G. Henriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643037,6,5,1,0,9,spvvjmk37iid7hsky9g3nce7,1,85.2,-1.8,2023-04-29T13:00:43.306Z,2023-04-29T13:54:08Z,4234541575,233,4,4234541529,56,Right,4234541533,347,,,,,,,,,,,,,,,,,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540642843,5,43,1,0,12,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-04-29T13:00:45.932Z,2023-04-29T13:06:31Z,4234540473,56,Right,4234567019,144,56,,,,,,,,,,,,,,,,,,,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
