id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value
2541572309,1,34,16,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-30T12:12:13.547Z,2023-04-30T13:21:56Z,4239456547,59,"1, 18, 5, 39, 40, 3, 21, 8, 17, 14, 11, 4, 7, 10, 12, 20, 29, 36, 38, 45",4239456551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239456557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239456545,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239456555,197,7846,4239456543,30,"b20ropdfff7oj1us6nliccamt, 1dbt7rghmrochy28w24ro9hhx, uw1y94hwwthwor4cohho58gk, 80mvshlrrlu5vt41gkruwn8fe, 2wasw4729h0il5c90z5nna9nu, 8hfaq7u5l18azxpig0vlv1exh, 40xz5b2qkj6qw867twakfkne2, 174tz9lh744fhcxzabu00746h, bsx2ppp4b3zuxftscqwcxj59m, 2097lnalyp5iq6vxvmbsnbhuc, 1b0rwzo6ph64v5c00yajvgjmy, 2p9y93r7xfjb71d1bfckcs53p, 29eky9s3vfmjomuzwfwi1cmad, ez7xc7vakt4fmabtp61w72yju, 1wg15zg0fffyoag6owdh35vkk, 142z7063thl0i1suzjq7kzr9x, bqg4zg2z0wyr0cc1v1xutifo5, c9bgfg99tu0cltgp036y27lgq, 6hg7vuwjkywi1c66zggzmj5jp, bz5stocchmjbtwzd35qd2be5m",4239456553,194,1b0rwzo6ph64v5c00yajvgjmy,4239456549,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541574861,1,34,16,0,0,bqtquhot4yruw677rkc607lk6,1,0,0,2023-04-30T12:14:38.203Z,2023-04-30T13:14:45Z,4239469529,197,14830,4239469519,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4239469523,130,11,4239469531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239469525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4239469517,30,"cj7aybqox4kzoicnzea7b64t1, ah01wimesmr2z3ngqdeme6k15, 4naiwvedctzccxar76woznfqi, 7e6fwgkn6qykqzldw1i1e4bf9, cq3y184r3wicnhyzbfr2slv4l, 4r8xqhcqxugg2wk1g2n4x1at, b6uj13lah92mxcmbs45ujr9p1, a0dcnofzjvroty4idvyxfaggl, 91suopiz6irxqevhzv8lx76ne, 9469qatlpe6rdqko8c6ha4out, cm6h40v4lws2jjbslwjjlvd1x, lh30ckelpek3u7jbzotxuvze, 3aoh34sqan7y34c2qa1d6xkyy, 40do9cllxtllu7xafttmno3dg, 8aj9c2doiu9g4hd573mq0mms5, 51ueifp5nxythezmo0e7jiwwk, 28237r26dj8uck2dsnecsrlnu, 78ev8z8b1houtb722o2f9okwl, bi8ahffozsvj2jwiakg7lidjo",4239469527,194,cj7aybqox4kzoicnzea7b64t1,4239469521,59,"1, 2, 26, 3, 6, 39, 11, 29, 9, 22, 21, 13, 14, 16, 23, 25, 28, 30, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612329,2,32,1,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-30T13:00:44.326Z,2023-05-01T06:20:15Z,4239660883,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612323,2,32,1,0,0,bqtquhot4yruw677rkc607lk6,1,0,0,2023-04-30T13:00:44.326Z,2023-04-30T13:00:44Z,4239660845,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612357,3,1,1,0,0,bqtquhot4yruw677rkc607lk6,1,49.9,49.9,2023-04-30T13:00:44.426Z,2023-05-01T06:20:23Z,4239661053,140,32.4,4239661061,212,19.1,4239661065,279,S,4239661049,56,Back,4239661063,213,3.4,4239661057,141,42.2,,,,,,,b6uj13lah92mxcmbs45ujr9p1,S. Skrabb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612457,4,1,1,0,3,bqtquhot4yruw677rkc607lk6,0,32.3,41,2023-04-30T13:00:47.483Z,2023-04-30T13:00:52Z,4239661547,56,Left,4239661557,1,,4239661553,212,79.4,4239661551,141,89.0,4239661545,155,,4239661549,140,100.0,4239661555,213,0.4,,,,4r8xqhcqxugg2wk1g2n4x1at,L. Sætra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612475,3,5,1,0,8,4mo3tith28qu9za01e8siplsn,1,-1.4,23.5,2023-04-30T13:00:52.438Z,2023-04-30T13:37:03Z,4239661649,56,Back,4239661665,233,5,4239661651,346,,,,,,,,,,,,,,,,,2097lnalyp5iq6vxvmbsnbhuc,O. Alfonsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612461,5,5,1,0,8,bqtquhot4yruw677rkc607lk6,0,101.4,76.5,2023-04-30T13:00:52.438Z,2023-04-30T13:00:54Z,4239661581,56,Center,4239661583,346,,4239661695,233,3,,,,,,,,,,,,,,,,4r8xqhcqxugg2wk1g2n4x1at,L. Sætra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612953,4,1,1,0,30,4mo3tith28qu9za01e8siplsn,0,4.9,37.9,2023-04-30T13:01:14.595Z,2023-04-30T13:01:19Z,4239664151,1,,4239664141,56,Center,4239664147,212,55.9,4239664155,74,,4239664145,141,34.6,4239664143,140,58.1,4239664149,213,6.2,4239664139,124,,b20ropdfff7oj1us6nliccamt,D. Olsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541612931,6,44,1,0,33,bqtquhot4yruw677rkc607lk6,1,38.4,65.3,2023-04-30T13:01:17.540Z,2023-04-30T13:01:20Z,4239664029,285,,4239664027,56,Back,4239664285,233,5,,,,,,,,,,,,,,,,4r8xqhcqxugg2wk1g2n4x1at,L. Sætra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
