id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2454487895,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-09-02T17:39:23.271Z,2022-09-02T18:28:01Z,3750924637,59,"1, 29, 11, 25, 22, 5, 6, 14, 27, 33, 8, 3, 7, 10, 13, 16, 18, 26, 35, 37",3750924641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750939481,194,cm8po8ez5w9ms01gid6w3kwk5,3750924639,130,12,3750924643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750924633,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 6yhylu5q0y924amgv7vlodkgl, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 57c808184l80uuuv7z3flcu6t, 5pousbiuqbus68yekd0mhc5pl, ew18qvvupaejxubhqmxmbd39x, e8ekkg0yayhhmmhinl0v9une, f3v95yyj6j7h7qpprxm4zlre1, shbxc528h0udd6rdf3ax2itx, 9dnrpl2c7n769i8nbfnboq2tx, e9c0v3ik308t91njildxzc6vp, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, c1nt67z429kirthuhkdxouor9, 5neiwdz7rtkhzj0cneic4xcoa, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6",3750924635,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3751088921,197,3794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454487915,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-09-02T17:39:25.923Z,2022-09-02T18:33:58Z,3750924791,130,5,3750924789,59,"1, 24, 17, 22, 15, 4, 19, 11, 20, 6, 43, 7, 10, 18, 23, 25, 30, 33, 36",3751088987,197,2698,3750924785,30,"9rjd95oqotnalxmv56v7p1r6d, bb6glt8n0ar47cmhmj6gnfiz9, 5irixhhyayq9yl7sb2kohjrv9, e83ula4wockmc2xid7185kcq2, cd6i7khi5wgsfsg19c9tcjydx, d5mck7rf48chzersephpx29d5, f4qcgzveslklfi8601tep77x1, btzfq6521zl3q5uqus8ltov6d, 4lcyjhvtwieshr4r3a6104qtx, emvi36y613e4lqlat3wfdih9l, c2mwg1uhug0pbgl72uf9b927e, 2we9yak4ipkr1ljigj20puv6y, 3y9nm18as1wxhizq3fyazb2t, eguzzwxdm0fwocax6srpck48a, 7lai6ovwsl01gonutejt4mms5, 4vy3j1o829f561jf4fqum7ob9, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, 4rtps64cca8vrscv80bgyvjf8",3750924795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750924787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3750939271,194,btzfq6521zl3q5uqus8ltov6d,3750924793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454520935,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-09-02T18:31:24.402Z,2022-09-02T23:11:18Z,3751099855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454520929,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-09-02T18:31:24.402Z,2022-09-02T18:31:24Z,3751099835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454520997,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50,50,2022-09-02T18:31:24.674Z,2022-09-02T23:23:35Z,3751100207,56,Center,3751100213,212,6.0,3751100215,213,6.1,3751100209,140,55.6,3751806845,178,,3751100217,279,S,3751100211,141,48.2,,,,57c808184l80uuuv7z3flcu6t,G. Prömel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521005,4,1,1,0,2,4l9mrqzmajz5crzlz50mtbt6x,1,55.8,44.3,2022-09-02T18:31:27.176Z,2022-09-02T23:23:39Z,3751100253,213,4.0,3751806885,178,,3751100243,140,44.8,3751100237,56,Back,3751100247,141,26.2,3751100249,212,16.9,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521041,5,1,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,44.8,26.2,2022-09-02T18:31:29.819Z,2022-09-02T23:23:44Z,3751100417,212,17.6,3751100411,56,Back,3751100413,140,34.2,3751100419,213,2.3,3751100415,141,46.2,3751806939,178,,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521061,6,1,1,0,8,4l9mrqzmajz5crzlz50mtbt6x,1,34.6,45.3,2022-09-02T18:31:33.329Z,2022-09-02T23:23:49Z,3751100525,56,Back,3751100529,141,17.2,3751100531,212,19.2,3751100533,213,4.8,3751806991,178,,3751100527,140,36.5,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521097,7,1,1,0,11,4l9mrqzmajz5crzlz50mtbt6x,1,36.6,17,2022-09-02T18:31:35.523Z,2022-09-02T23:23:57Z,3751100695,212,11.2,3751100693,141,4.3,3751100691,140,43.4,3751807197,178,,3751100689,56,Back,3751100697,213,5.4,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521111,8,1,1,0,12,4l9mrqzmajz5crzlz50mtbt6x,0,43.4,4.3,2022-09-02T18:31:36.468Z,2022-09-02T23:24:03Z,3751100771,212,23.3,3751100765,56,Right,3751100769,141,17.2,3751807295,178,,3751100767,140,64.0,3751100773,213,0.4,,,,,,,arwidogdfccsjv8fxa1veezf9,R. Skov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521095,3,49,1,0,13,dt4pinj0vw0t0cvz7za6mhmzy,1,35.2,77.9,2022-09-02T18:31:38.013Z,2022-09-02T23:24:15Z,,,,,,,,,,,,,,,,,,,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521121,4,1,1,0,13,dt4pinj0vw0t0cvz7za6mhmzy,1,35.4,78.2,2022-09-02T18:31:38.037Z,2022-09-02T23:24:13Z,3751100821,140,41.2,3751100827,212,6.1,3751807473,178,,3751100825,141,78.5,3751100817,56,Back,3751100829,213,0.0,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454521131,5,1,1,0,14,dt4pinj0vw0t0cvz7za6mhmzy,1,41.3,78.4,2022-09-02T18:31:38.769Z,2022-09-02T23:24:19Z,3751100885,213,3.9,3751100881,141,69.9,3751807607,178,,3751100877,56,Back,3751100879,140,35.7,3751100883,212,8.2,,,,,,,emvi36y613e4lqlat3wfdih9l,S. Özcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
