id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/13/value,qualifier/17/value,qualifier/16/value,qualifier/18/value
2455093865,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-09-03T15:39:13.274Z,2022-09-03T15:44:01Z,3754133409,194,3tb27261f8mpzpq3prpv8ng0l,3754133403,130,18,3754133397,30,"3tb27261f8mpzpq3prpv8ng0l, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 9prtaifv6stlujgywgq4wd08a, eapihgte8ydc4g6hzygsx2e39, 95gjm3yk75rmwyneb350zoktm, 1qthvf5krys0pzk24h8wtr9at, axj39lx25teh62rih6uv9qor9, 4gq1u1mqg0qzekh1u5djleeax, 1j0a3ml1zglc9s31yentfckb9, 2pjr6yz65f4uqvwniy4vphn85, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, avh60ensgiwz1qalvn1bbqkfd, dhhmffih4gl51nlu92hfctqs5, axcrcuv22693vn0a887samsph, 4qkv71pjmzw66crfaktr6tihh, 1s1v1tweyx8wxc9hj2jrnaggl, dyigvzjpa74cw4urhh7fwzs2d, 8zmj7mo9zxsoo5trhmmgmgb56",3754133401,59,"1, 39, 22, 32, 4, 2, 27, 44, 7, 18, 11, 8, 10, 17, 19, 21, 23, 24, 37, 38",3754133413,197,7074,3754133421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754133407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754133399,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455102259,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-09-03T15:43:14.281Z,2022-09-03T16:53:02Z,3754575641,194,78e1qvft3ser2tyayjlmemdp1,3754179765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754179757,30,"7obuhegyo1qcoikt23egcsr85, a3ib09ji7qsz6cgj3vmz5qort, 3qy1qlzezgfkxeom5n1r9h13p, 7cdiijsvnfc7tafy0zkf4uz9, bd4p670s36cp1dh4fadv84qcq, efzokrggje7s9wc6hg75yc6ax, 5ph2ln91ycq1qlq03cnqqs9re, 78e1qvft3ser2tyayjlmemdp1, g3fgd752o63acmmuahdvppm1, eqtsanns36za56h4pfqhbnh05, az15xx7m923srf9gdbwmiyga1, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, 2x5f35hk2urqlgoito1vgb3yt, 8kqmsuo668wpuzoyyxf4o2vo5, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, f5lfo1hz7u5bk494w53arcacq, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",3754179761,59,"1, 6, 25, 8, 35, 2, 29, 17, 9, 27, 15, 5, 11, 19, 20, 21, 22, 26, 36, 40",3754179759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3754179763,130,8,3754179767,197,16259,3754179769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455156927,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-09-03T16:32:24.078Z,2022-09-04T07:11:01Z,3754468373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455156915,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-09-03T16:32:24.078Z,2022-09-03T16:32:24Z,3754468341,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455156983,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,49.7,50,2022-09-03T16:32:24.103Z,2022-09-04T07:30:39Z,3754468693,213,3.0,3754468689,141,53.3,3756934033,178,,3754468683,56,Back,3754468695,279,S,3754468691,212,12.9,3754468687,140,37.6,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157029,4,1,1,0,2,9gefq4dz9b2hl8rqrxwrlrzmp,1,37.4,53.9,2022-09-03T16:32:26.767Z,2022-09-04T07:30:40Z,3754468917,212,15.3,3754468911,56,Back,3756934041,178,,3754468915,141,75.3,3754468919,213,1.9,3754468913,140,32.9,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157049,5,1,1,0,4,9gefq4dz9b2hl8rqrxwrlrzmp,1,29.6,75,2022-09-03T16:32:28.268Z,2022-09-04T07:30:40Z,3754469043,212,13.3,3756934057,178,,3754469045,213,4.5,3754469039,140,27.0,3754469041,141,55.8,3754469037,56,Back,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157087,6,1,1,0,7,9gefq4dz9b2hl8rqrxwrlrzmp,1,26.9,56.1,2022-09-03T16:32:31.798Z,2022-09-04T07:30:40Z,3754469243,213,1.6,3754469235,140,25.9,3754469239,212,14.9,3754469233,56,Back,3754469237,141,77.9,3756934065,178,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157177,7,1,1,0,11,9gefq4dz9b2hl8rqrxwrlrzmp,1,21.1,75.7,2022-09-03T16:32:35.088Z,2022-09-04T07:30:41Z,3754469687,141,51.9,3754469679,56,Back,3754469691,213,4.0,3756934089,178,,3754469689,212,21.1,3754469683,140,8.2,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157289,8,1,1,0,16,9gefq4dz9b2hl8rqrxwrlrzmp,1,9.3,49.7,2022-09-03T16:32:40.451Z,2022-09-04T07:30:41Z,3754470237,140,12.6,3754470247,212,14.6,3754470251,213,1.3,3754470243,141,70.6,3756934097,178,,3754470231,56,Back,,,,,,,3tb27261f8mpzpq3prpv8ng0l,P. Gulácsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157333,9,1,1,0,20,9gefq4dz9b2hl8rqrxwrlrzmp,1,14,69.3,2022-09-03T16:32:44.643Z,2022-09-04T07:30:42Z,3754470507,140,5.5,3756934105,178,,3754470505,56,Back,3754470509,141,50.9,3754470511,212,15.4,3754470515,213,4.1,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157441,10,1,1,0,23,9gefq4dz9b2hl8rqrxwrlrzmp,1,7.3,51.2,2022-09-03T16:32:47.913Z,2022-09-04T07:30:42Z,3756934125,178,,3754471027,140,11.4,3754471031,212,23.7,3754471025,56,Back,3754471029,141,85.4,3754471033,213,1.4,,,,,,,3tb27261f8mpzpq3prpv8ng0l,P. Gulácsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
