id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500319493,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-01-24T18:33:01.896Z,2023-01-24T18:36:28Z,3993432393,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 980t379w5cp7umv1eltwlfca1, elh8kttxq9xfpoqfmpxv9jr2t, shbxc528h0udd6rdf3ax2itx, 3rj7x05qx17n925xfpcrl0jpx, 7hnmtyfmurizitwz1whecjnmy, bkbmygo5f1glcs6xssawl26z9, 5pousbiuqbus68yekd0mhc5pl, ew18qvvupaejxubhqmxmbd39x, bpprd2haoafk6y0rjans4iytx, 4rrnad6qnutl60z8e1quup6tx, e9c0v3ik308t91njildxzc6vp, 8um4xh0ekvr4q6uti3ksld8q2, 64ux2tbb35i36qf6oij2263qi, 6yhylu5q0y924amgv7vlodkgl, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o",3993436203,197,3794,3993432399,130,17,3993432401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993432397,59,"1, 29, 11, 34, 22, 3, 16, 13, 9, 14, 27, 19, 4, 10, 20, 24, 25, 35, 37, 39",3993432403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993432395,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993435975,194,cm8po8ez5w9ms01gid6w3kwk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500320091,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-01-24T18:36:43.395Z,2023-01-24T18:37:20Z,3993436335,59,"1, 2, 28, 16, 5, 21, 32, 3, 9, 14, 10, 4, 8, 11, 15, 20, 22, 25, 33, 39",3993436337,130,4,3993436339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993436331,30,"5bzowvtg5vhntcx1w3roriehh, 3uqn1adw8rarez1gpen9vng7p, 1en0bgq0u842snszevlkscxk9, a4p1m3cqm6z2p1bw97s6k46ad, 5l8wtw156meo2vrtrgasif6jt, 8p2yagsx6ujdbmeonkd3u4c89, 9dnne0ny6o6d5c6w3ayoo4vvu, 3kti58d195gmtzwrjh5nprx05, bmrdtenqr84jt4gmw6i7wez11, 9fd19beamnr8qmhqdvzr7fcyy, 9ic8hvnkzj9p0ikh6bwaeoqju, bibz1qxakmbflq73marmo4nop, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, 4nn6rxyzy97wl4ppqqnhhxyax, 3havaatbnk8p6gc9srgajc25l, 80nniieqtuwjhomwjcebnxyzu, 62gct49oglcdzxafhrfucrb2t, b5mpbec03n9qatneviazigfvu",3993436343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993436969,197,16195,3993436341,194,3kti58d195gmtzwrjh5nprx05,3993436333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336445,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-01-24T19:30:17.325Z,2023-01-25T09:10:06Z,3993518071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336453,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-01-24T19:30:17.325Z,2023-01-24T19:30:18Z,3993518093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336483,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50,50,2023-01-24T19:30:17.445Z,2023-01-25T09:27:52Z,3994195783,178,,3993518239,212,4.4,3993529457,278,,3993518237,141,53.6,3993518235,140,53.5,3993518241,213,0.6,3993518233,56,Center,3993518243,279,S,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336493,4,1,1,0,1,4l9mrqzmajz5crzlz50mtbt6x,1,56.1,58.8,2023-01-24T19:30:19.168Z,2023-01-25T09:27:56Z,3993518305,141,69.0,3993518307,212,7.3,3993518309,213,1.2,3993518301,56,Center,3994196115,178,,3993518303,140,58.3,,,,,,,5pousbiuqbus68yekd0mhc5pl,C. Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500352093,241,1,1,0,2,4l9mrqzmajz5crzlz50mtbt6x,1,59.5,70.2,2023-01-24T19:30:19.747Z,2023-01-25T09:28:01Z,3993592349,213,3.6,3994196185,178,,3993592339,56,Center,3993592345,212,7.4,3993592343,141,65.2,3993592341,140,53.2,,,,,,,7hnmtyfmurizitwz1whecjnmy,A. Stiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336501,5,1,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,55.3,67.8,2023-01-24T19:30:22.444Z,2023-01-25T09:28:04Z,3993518349,212,20.0,3993518347,141,95.4,3993518351,213,1.2,3994196257,178,,3993518345,140,61.9,3993518343,56,Left,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336517,6,1,1,0,6,4l9mrqzmajz5crzlz50mtbt6x,1,61.9,95.4,2023-01-24T19:30:23.494Z,2023-01-25T09:29:17Z,3993518451,140,46.0,3993518453,141,88.3,3993518449,56,Back,3994197603,178,,3993518457,213,3.4,3993518455,212,17.4,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336529,7,1,1,0,9,4l9mrqzmajz5crzlz50mtbt6x,1,46,88.3,2023-01-24T19:30:26.967Z,2023-01-25T09:29:20Z,3993518491,56,Back,3993518493,140,38.8,3994197659,178,,3993518495,141,75.6,3993518497,212,11.5,3993518499,213,4.0,,,,,,,980t379w5cp7umv1eltwlfca1,S. Nsoki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
