id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2475625877,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-22T15:48:22.199Z,2022-10-22T16:31:39Z,3863250777,59,"1, 26, 25, 2, 6, 35, 15, 8, 9, 29, 27, 5, 11, 17, 18, 19, 21, 22, 33, 40",3863250783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863250775,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863250773,30,"7obuhegyo1qcoikt23egcsr85, f5lfo1hz7u5bk494w53arcacq, 3qy1qlzezgfkxeom5n1r9h13p, efzokrggje7s9wc6hg75yc6ax, a3ib09ji7qsz6cgj3vmz5qort, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, 78e1qvft3ser2tyayjlmemdp1, abuvjv3bhb402yf8p92kucez9, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, d7xdtkzw3h749ngi4sobn6kmh, f2ibn3ej2doay3b4u8ezeix62",3863438285,197,16259,3863250779,130,17,3863303875,194,7obuhegyo1qcoikt23egcsr85,3863250781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475626061,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-22T15:48:27.893Z,2022-10-22T16:32:54Z,3863251753,59,"21, 29, 25, 17, 5, 30, 13, 8, 10, 6, 14, 7, 19, 20, 22, 24, 27, 34, 38, 41",3863251755,130,8,3863251749,30,"slsd8022q9s3uugsafaqt2ol, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, ckjid5lfgbx8tdyoi32vbwn9x, 8k5c8po5gx3vnxx36viq08xqt, 9bdxi3mvkftmqts59jptqq76d, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 1mkbxdrj3myvt6jm4tx8sywgl, 7tj7eobo7kmk8egcbfrabe8d1, l8bphgwl3llcckvf9zr6ptqt, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, 87kc5hjp3ry2z624wty5h7g4q, dwx1vmtmeiiokfqv18g7cb1lh, bc5vmdnoyshdi5hcgu8dgqxyi, dn3zu7kyql966v0fqi1sikpyi, 2fadtqb0v2zreactvdosbxy50, 8dq80nkl6nbdejj2ti0mb2w6i",3863251757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863251759,194,9bdxi3mvkftmqts59jptqq76d,3863251761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863251751,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863459511,197,11723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665409,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-22T16:31:20.292Z,2022-10-22T16:31:22Z,3863452021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665381,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-22T16:31:20.292Z,2022-10-23T05:02:01Z,3863451909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665435,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,49.9,49.8,2022-10-22T16:31:20.442Z,2022-10-23T05:53:12Z,3863452149,212,9.9,3863452153,279,S,3863452145,140,40.5,3863452151,213,3.2,3865365535,178,,3863452143,56,Back,3863452147,141,49.3,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665483,4,1,1,0,1,go76xxm0xyfgqt1h6tcrtimm,1,40.3,55.5,2022-10-22T16:31:22.237Z,2022-10-23T05:53:13Z,3863452303,140,40.3,3863452305,141,95.0,3863452307,212,26.9,3863452309,213,1.6,3865365539,178,,3863452301,56,Back,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665505,5,1,1,0,4,go76xxm0xyfgqt1h6tcrtimm,1,39.3,95,2022-10-22T16:31:25.180Z,2022-10-23T05:53:13Z,3863452463,140,25.6,3863452465,141,77.7,3863452467,212,18.6,3865365545,178,,3863452469,213,3.8,3863452461,56,Back,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665549,6,1,1,0,7,go76xxm0xyfgqt1h6tcrtimm,1,26.6,74.6,2022-10-22T16:31:27.578Z,2022-10-23T05:53:14Z,3863452721,140,23.2,3863452729,213,4.6,3863452717,56,Back,3863452727,212,24.2,3865365557,178,,3863452723,141,39.4,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665571,7,1,1,0,10,go76xxm0xyfgqt1h6tcrtimm,1,24.5,51,2022-10-22T16:31:30.468Z,2022-10-23T05:53:15Z,3865365573,178,,3863452863,212,18.5,3863452865,213,1.3,3863452857,56,Back,3863452861,141,77.4,3863452859,140,28.7,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665593,8,1,1,0,12,go76xxm0xyfgqt1h6tcrtimm,1,30.8,78.9,2022-10-22T16:31:32.638Z,2022-10-23T05:53:15Z,3863452989,213,0,3863452981,56,Back,3865365577,178,,3863452983,140,42.2,3863452985,141,78.9,3863452987,212,12.0,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
