id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/19/value
2468766483,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-10-08T12:44:20.068Z,2022-10-08T13:46:22Z,3826849317,194,4baqlwfu312pctopy1cx6s2c5,3826849315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826849311,59,"27, 30, 3, 19, 42, 20, 6, 7, 11, 9, 31, 1, 4, 5, 8, 10, 16, 21, 37, 44",3826849319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826849309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826849313,130,12,3826849307,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, 6u47fsriz3ejlf72hxtsew5bd, ernbjicg113inzsubzrfm8fyt, 6uurhe88nry4hyelll8ifzd91, az7owi5t4bclkamjsjuyxzv1l, bwqqecmqm76v5b83v1cz891p1, 4rgz5z372h6sbwhpxl69cb6c5, dzolxp2oixtakcrqfyibpu76d, d608s0948uh3owqee7t0en7px, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, cjok1odm3twxo7sqye3hua6eh, l469vtpe0jbgg5sq1v2e67e1, d9q12xp4h8nhtjxl5il3vufh1, bvifdvoxv9e8nq8qe37c0gvrp, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y, alp8twr3g2rmfmnguffsfovtg",3827005899,197,11885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468769167,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-08T12:47:15.765Z,2022-10-08T13:35:31Z,3826862523,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 4qkv71pjmzw66crfaktr6tihh, 7o3fumeufgigw092b7i5n4f6x, eapihgte8ydc4g6hzygsx2e39, dyigvzjpa74cw4urhh7fwzs2d, ckox9w95duwhmt72xxk7lt2vp, 1s1v1tweyx8wxc9hj2jrnaggl, 2pjr6yz65f4uqvwniy4vphn85, 1j0a3ml1zglc9s31yentfckb9, avh60ensgiwz1qalvn1bbqkfd, 95gjm3yk75rmwyneb350zoktm, 8l0am8k4pg2s9g9qbkhwte6dx, dhhmffih4gl51nlu92hfctqs5, 2uz1cmslnjjzsgfcgji26kqg9, 9prtaifv6stlujgywgq4wd08a, dg4xtfca5bvigpvhahsijl756, 8zmj7mo9zxsoo5trhmmgmgb56, axj39lx25teh62rih6uv9qor9",3827006151,197,16394,3826862527,59,"21, 39, 23, 8, 4, 37, 10, 24, 11, 18, 17, 2, 9, 19, 22, 32, 34, 38, 44",3826862533,194,eapihgte8ydc4g6hzygsx2e39,3826862531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3826862535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826862525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3826862529,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468800963,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-08T13:33:36.228Z,2022-10-08T13:33:37Z,3827030247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468800935,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-10-08T13:33:36.228Z,2022-10-08T23:28:36Z,3827030139,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801007,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,50.1,50.3,2022-10-08T13:33:36.278Z,2022-10-09T01:03:18Z,3827030437,279,S,3827030433,212,25.3,3827030427,56,Back,3827030431,141,50.1,3827030435,213,3.1,3830061121,178,,3827030429,140,26.0,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801047,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,0,26.3,51.2,2022-10-08T13:33:39.501Z,2022-10-09T01:03:23Z,3827030657,155,,3827030673,1,,3827030663,141,41.8,3827030659,56,Center,3830061187,178,,3827030669,213,6.1,3827030665,212,47.9,3827030661,140,71.5,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801137,3,1,1,0,5,9gefq4dz9b2hl8rqrxwrlrzmp,0,34,57.1,2022-10-08T13:33:41.896Z,2022-10-09T01:03:29Z,3827031099,1,,3827031095,212,50.8,3827031087,157,,3827031091,140,73.1,3830061327,178,,3827031093,141,100.0,3827031097,213,0.6,3827031089,56,Left,dyigvzjpa74cw4urhh7fwzs2d,A. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801151,4,5,1,0,10,9gefq4dz9b2hl8rqrxwrlrzmp,0,72.8,101.4,2022-10-08T13:33:47.207Z,2022-10-09T01:03:37Z,3827032333,233,5,3827031141,347,,3827031139,56,Left,,,,,,,,,,,,,,,,dyigvzjpa74cw4urhh7fwzs2d,A. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801379,5,5,1,0,10,1c7qokc1j5z50cjj4tcu32haa,1,27.2,-1.4,2022-10-08T13:33:47.207Z,2022-10-09T01:03:37Z,3827032297,347,,3827032303,233,4,3827032295,56,Back,,,,,,,,,,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801431,6,1,1,0,23,1c7qokc1j5z50cjj4tcu32haa,1,30.8,0,2022-10-08T13:33:59.839Z,2022-10-09T01:03:43Z,3827032515,141,14.9,3827032511,56,Right,3827032519,213,0.4,3827032521,1,,3827032517,212,27.1,3827032513,140,54.4,3827032509,107,,,,,4baqlwfu312pctopy1cx6s2c5,S. Widmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801457,7,1,1,0,26,1c7qokc1j5z50cjj4tcu32haa,0,54.4,14.9,2022-10-08T13:34:03.188Z,2022-10-09T01:03:44Z,3827032653,212,7.7,3827032647,56,Right,3827032643,3,,3827032649,140,61.7,3827032645,168,,3827032651,141,15.2,3827032655,213,0.0,3830061709,388,,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801449,5,44,1,0,27,9gefq4dz9b2hl8rqrxwrlrzmp,1,37,82,2022-10-08T13:34:03.728Z,2022-10-09T07:11:52Z,3827032617,285,,3827032615,56,Back,3827032825,233,8,,,,,,,,,,,,,,,,dyigvzjpa74cw4urhh7fwzs2d,A. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801473,8,44,1,0,27,1c7qokc1j5z50cjj4tcu32haa,0,63,18,2022-10-08T13:34:03.729Z,2022-10-09T01:03:49Z,3827032771,286,,3827032769,56,Right,3827032841,233,5,,,,,,,,,,,,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801475,6,1,1,0,27,9gefq4dz9b2hl8rqrxwrlrzmp,0,34.3,79.3,2022-10-08T13:34:03.823Z,2022-10-09T07:11:53Z,3830061873,178,,3827032779,141,79.3,3827032775,56,Back,3827032777,140,34.9,3827032785,213,0.0,3827032781,212,0.6,3827032773,3,,,,,dyigvzjpa74cw4urhh7fwzs2d,A. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468805917,52,61,1,0,27,1c7qokc1j5z50cjj4tcu32haa,1,62.8,22,2022-10-08T13:34:03.826Z,2022-10-09T01:04:18Z,3827055241,56,Center,3830062507,178,,,,,,,,,,,,,,,,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801493,7,1,1,0,30,9gefq4dz9b2hl8rqrxwrlrzmp,1,34.5,96.6,2022-10-08T13:34:06.335Z,2022-10-09T01:04:27Z,3827032873,140,35.7,3830062753,388,,3827032877,212,2.9,3827032869,3,,3827032879,213,5.2,3827032875,141,92.8,3827032871,56,Back,,,,4qkv71pjmzw66crfaktr6tihh,M. Halstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801499,8,49,1,0,30,9gefq4dz9b2hl8rqrxwrlrzmp,1,35.7,92.8,2022-10-08T13:34:07.180Z,2022-10-09T01:04:44Z,,,,,,,,,,,,,,,,,,,,,,,,,7o3fumeufgigw092b7i5n4f6x,A. Haidara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801529,9,1,1,0,31,9gefq4dz9b2hl8rqrxwrlrzmp,1,44.6,86.4,2022-10-08T13:34:07.230Z,2022-10-09T01:04:50Z,3827033043,56,Left,3827033053,1,,3827033047,141,81.0,3827033051,213,6.1,3830063323,388,,3827033045,140,62.4,3827033041,157,,3827033049,212,19.0,7o3fumeufgigw092b7i5n4f6x,A. Haidara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801545,10,1,1,0,33,9gefq4dz9b2hl8rqrxwrlrzmp,1,62.8,81,2022-10-08T13:34:09.384Z,2022-10-09T01:04:58Z,3830063567,178,,3827033121,156,,3827033107,3,,3827033111,140,60.3,3827033115,212,3.8,3827033109,56,Left,3827033113,141,85.1,3827033117,213,2.3,2pjr6yz65f4uqvwniy4vphn85,T. Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801579,11,1,1,0,34,9gefq4dz9b2hl8rqrxwrlrzmp,1,61.9,81.7,2022-10-08T13:34:10.931Z,2022-10-09T01:05:12Z,3830063959,178,,3827033277,213,3.8,3827033273,141,75.3,3827033275,212,7.2,3827033271,140,56.4,3827033269,56,Center,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468801595,12,1,1,0,36,9gefq4dz9b2hl8rqrxwrlrzmp,1,56.8,69.7,2022-10-08T13:34:12.806Z,2022-10-09T01:05:22Z,3827033347,140,61.4,3827033353,213,5.7,3830064247,178,,3827033345,56,Center,3827033349,141,64.5,3827033351,212,6.0,,,,,,,1j0a3ml1zglc9s31yentfckb9,C. Nkunku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
