id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,keyPass,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500539919,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-01-25T16:33:08.916Z,2023-01-25T17:42:15Z,3994611483,194,4baqlwfu312pctopy1cx6s2c5,3994557443,130,12,3994557447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994557441,59,"1, 30, 3, 19, 20, 25, 4, 7, 11, 9, 8, 17, 5, 6, 10, 16, 21, 32, 42, 43",3994557445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994557437,30,"d2gbcc336c4zatpiif4cvm2fp, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, dnt7ahwfj8endqngxwfll1tjp, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, 4rgz5z372h6sbwhpxl69cb6c5, dzolxp2oixtakcrqfyibpu76d, l469vtpe0jbgg5sq1v2e67e1, am0pcyvtaws1i69jt09dgnsnp, cjok1odm3twxo7sqye3hua6eh, az7owi5t4bclkamjsjuyxzv1l, d9q12xp4h8nhtjxl5il3vufh1, bvifdvoxv9e8nq8qe37c0gvrp, amd4rodp6senk2c1mmlsqozpx, 3wsyacqj7ci0ga9bzb988v7qh, ernbjicg113inzsubzrfm8fyt, 90wsjxdc3ibvah5gm9tnsjwbu",3994557439,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994611485,197,11885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500540955,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-01-25T16:37:36.534Z,2023-01-25T17:36:52Z,3994563025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994563019,130,8,3994563021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994563023,194,4vy3j1o829f561jf4fqum7ob9,3994611777,197,2698,3994563017,59,"1, 26, 13, 6, 25, 4, 27, 23, 18, 19, 21, 7, 8, 9, 15, 17, 20, 30, 33, 43",3994563013,30,"9rjd95oqotnalxmv56v7p1r6d, cl6720rdjeubt0bc3su0qg3qh, 6ie5meimavc8kwohr6lrdyket, emvi36y613e4lqlat3wfdih9l, 4vy3j1o829f561jf4fqum7ob9, d5mck7rf48chzersephpx29d5, ebj6t5jqzixrnww1z7qofznu2, 7lai6ovwsl01gonutejt4mms5, eguzzwxdm0fwocax6srpck48a, f4qcgzveslklfi8601tep77x1, 7q96z3aaee5jyccb8pjthi8kp, 2we9yak4ipkr1ljigj20puv6y, 2nqhczrkd45rdu5fcmq1wjo45, cy0lv5u16obr2ne4xiins43x1, cd6i7khi5wgsfsg19c9tcjydx, 5irixhhyayq9yl7sb2kohjrv9, 4lcyjhvtwieshr4r3a6104qtx, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, c2mwg1uhug0pbgl72uf9b927e",3994563015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549763,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-01-25T17:31:37.522Z,2023-01-25T17:31:37Z,3994613097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549769,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-01-25T17:31:37.522Z,2023-01-26T03:50:54Z,3994613129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549773,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,50.1,50,2023-01-25T17:31:37.622Z,2023-01-26T04:39:42Z,3994613145,279,S,3994613139,141,58.2,3995236607,178,,3994613141,212,14.7,3994613143,213,2.8,3994613137,140,37.1,3994613135,56,Back,,,,eguzzwxdm0fwocax6srpck48a,Y. Moukoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549781,4,1,1,0,1,dt4pinj0vw0t0cvz7za6mhmzy,1,37.1,58.2,2023-01-25T17:31:38.573Z,2023-01-26T04:39:45Z,3994613177,56,Back,3994613185,213,3.9,3994613179,140,34.8,3994613181,141,54.5,3995236615,178,,3994613183,212,3.5,,,,,,,emvi36y613e4lqlat3wfdih9l,S. Özcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549797,5,1,1,0,2,dt4pinj0vw0t0cvz7za6mhmzy,1,34.8,54.5,2023-01-25T17:31:39.706Z,2023-01-26T04:39:49Z,3994613275,56,Back,3995236623,178,,3994613277,140,37.2,3994613283,213,1.5,3994613279,141,92.2,3994613281,212,25.8,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549805,6,1,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,1,44.2,93.6,2023-01-25T17:31:45.521Z,2023-01-26T04:39:55Z,3994613315,141,82.9,3994613311,56,Back,3994613317,212,7.3,3994613313,140,44.9,3994613319,213,4.8,3995236671,178,,,,,,,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549821,7,1,1,0,8,dt4pinj0vw0t0cvz7za6mhmzy,1,44.9,82.9,2023-01-25T17:31:46.368Z,2023-01-26T04:39:57Z,3994613393,213,2.9,3994613389,141,87.6,3994613391,212,12.6,3994613387,140,33.3,3995236693,178,,3994613385,56,Back,,,,,,,emvi36y613e4lqlat3wfdih9l,S. Özcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549839,8,1,1,0,12,dt4pinj0vw0t0cvz7za6mhmzy,1,32.6,81.6,2023-01-25T17:31:50.266Z,2023-01-26T04:40:01Z,3994613459,140,25.3,3995236697,178,,3994613457,56,Back,3994613463,212,28.5,3994613465,213,4.4,3994613461,141,41.3,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
