id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/13/value
2543935205,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-05-05T17:34:11.885Z,2023-05-05T18:28:36Z,4252117029,194,ci1nu5z8aiiikco8af0zk1lud,4252277771,197,11885,4252117021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4252117027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4252117025,130,17,4252117023,59,"27, 21, 3, 20, 16, 25, 8, 31, 17, 9, 7, 1, 4, 11, 19, 36, 37, 42, 44",4252117019,30,"ci1nu5z8aiiikco8af0zk1lud, amd4rodp6senk2c1mmlsqozpx, eh9sh9aa10zrp80l6e4l0c7h1, 6uurhe88nry4hyelll8ifzd91, bvifdvoxv9e8nq8qe37c0gvrp, dnt7ahwfj8endqngxwfll1tjp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, am0pcyvtaws1i69jt09dgnsnp, dzolxp2oixtakcrqfyibpu76d, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, 4rgz5z372h6sbwhpxl69cb6c5, 6u47fsriz3ejlf72hxtsew5bd, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",4252117031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543936207,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-05-05T17:35:49.385Z,2023-05-05T18:28:44Z,4252121885,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, w2jovd0ta6to004lvlri5gtm, 9taxidttdt94nmvc3mqhqq0ut, 58ixsja4yf7pskmshzo7ohwfe, bjjll8tgbxink1ly3gmw5w4ph, at2rbigl1d8bsjw2u6lhfcatx, dgysidzshgxqm3jegaihwi5wq, 9xl238e13utd2ondzqi51ka1h, bax0ggbhejk7kpcezkyg3hai2, 6b7p3ncup75mpop91n0u1mw2d, 8kydif03gk6apce8xwl9w3ht5, 4fvtwbl1hrxgs9lg957rxladx, 8n0dskalmx94ofiq6jewa22tx, 6oaqk4pdojnlefa3zubsysmvp, 8prrhz0d1i4vxkhgro8p42bxl, 7lohomjw8xbl5eymcqhrtytw5, ex7y8oe78ewwmibz41qbmwhxx, cub8yovn04qjhs35k7wuwt7th, 8czesxhh2bedy0ukqb95rk82d",4252121897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252121891,130,8,4252121889,59,"13, 27, 41, 30, 5, 35, 19, 6, 9, 10, 11, 2, 4, 8, 18, 20, 24, 26, 34, 40",4252278161,197,17624,4252121887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252121893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252121895,194,9xl238e13utd2ondzqi51ka1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967109,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-05-05T18:30:16.911Z,2023-05-05T18:30:21Z,4252282021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967099,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-05-05T18:30:16.911Z,2023-05-06T00:09:01Z,4252281957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967141,3,1,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,49.7,49.9,2023-05-05T18:30:17.074Z,2023-05-06T01:18:11Z,4252282157,140,34.5,4252282159,141,53.4,4252282161,212,16.1,4253037643,178,,4252282165,279,S,4252282155,56,Back,4252282163,213,3.0,,,,9taxidttdt94nmvc3mqhqq0ut,A. Král,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967173,4,1,1,0,3,cz4a6wmzx2obyisadhgaccx7b,0,26.5,52.4,2023-05-05T18:30:20.154Z,2023-05-06T01:18:18Z,4253037777,178,,4252282321,141,81.7,4252282315,155,,4252282327,1,,4252282317,56,Left,4252282325,213,0.5,4252282323,212,41.8,4252282319,140,61.5,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967197,3,1,1,0,6,1c7qokc1j5z50cjj4tcu32haa,1,31.4,33.8,2023-05-05T18:30:23.565Z,2023-05-06T01:18:23Z,4252282397,56,Back,4252282399,140,46.1,4252282405,213,0.5,4252282403,212,17.2,4253037863,388,,4252282395,3,,4252282401,141,44.9,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967213,4,61,1,0,8,1c7qokc1j5z50cjj4tcu32haa,0,45.6,40.1,2023-05-05T18:30:24.918Z,2023-05-06T01:18:30Z,4252282457,56,Back,4253038039,21,,4253038041,178,,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967299,5,3,1,0,9,cz4a6wmzx2obyisadhgaccx7b,1,52.2,66.4,2023-05-05T18:30:26.530Z,2023-05-06T01:18:33Z,4252806647,464,,4253038107,178,,4252282819,286,,4252282817,56,Center,4252282847,233,5,,,,,,,,,,bax0ggbhejk7kpcezkyg3hai2,R. Zalazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967235,5,45,1,0,9,1c7qokc1j5z50cjj4tcu32haa,0,47.8,33.6,2023-05-05T18:30:26.530Z,2023-05-06T01:18:33Z,4252282857,233,5,4252282517,56,Back,4252282519,285,,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967319,6,1,1,0,15,cz4a6wmzx2obyisadhgaccx7b,1,52.8,40.9,2023-05-05T18:30:32.158Z,2023-05-06T01:18:39Z,4252282895,56,Back,4252282903,213,4.3,4252282901,212,20.4,4252282899,141,13.9,4252282897,140,44.3,4253038321,178,,,,,,,,bax0ggbhejk7kpcezkyg3hai2,R. Zalazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967345,7,1,1,0,17,cz4a6wmzx2obyisadhgaccx7b,1,41.9,13.9,2023-05-05T18:30:34.399Z,2023-05-06T01:18:46Z,4252283025,140,20.3,4252283023,56,Back,4252283031,213,2.6,4253038555,178,,4252283027,141,36.1,4252283029,212,27.2,,,,,,,f3xm12deg7xf3g2n3yk11npat,C. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967379,8,1,1,0,19,cz4a6wmzx2obyisadhgaccx7b,1,20.3,36.3,2023-05-05T18:30:36.880Z,2023-05-06T01:18:51Z,4252283219,213,2.1,4252283211,56,Back,4252283217,212,16.3,4252283215,141,57.3,4252283213,140,12.9,4253038715,178,,,,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967435,9,1,1,0,22,cz4a6wmzx2obyisadhgaccx7b,1,11.9,59.9,2023-05-05T18:30:39.513Z,2023-05-06T01:18:55Z,4253038755,178,,4252283483,56,Back,4252283505,213,1.2,4252283497,141,92.9,4252283503,212,24.2,4252283489,140,20.5,,,,,,,dvo2f7d0yosn404wsrsgeprdh,A. Schwolow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967463,10,1,1,0,25,cz4a6wmzx2obyisadhgaccx7b,0,20.5,92.9,2023-05-05T18:30:42.384Z,2023-05-06T01:18:58Z,4252283655,140,85.4,4252283663,1,,4252283653,56,Center,4253038833,178,,4252283659,212,69.4,4252283651,155,,4252283661,213,6.1,4252283657,141,73.6,bjjll8tgbxink1ly3gmw5w4ph,M. Kamiński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967467,6,52,1,0,30,1c7qokc1j5z50cjj4tcu32haa,1,12.1,30.2,2023-05-05T18:30:47.788Z,2023-05-06T01:19:07Z,4253039067,178,,4252806733,376,,,,,,,,,,,,,,,,,,,,ci1nu5z8aiiikco8af0zk1lud,R. Zentner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967603,7,1,1,0,38,1c7qokc1j5z50cjj4tcu32haa,1,8.9,42.2,2023-05-05T18:30:55.733Z,2023-05-06T01:19:13Z,4252284307,140,16.1,4252284309,141,80.3,4252284311,212,27.0,4252284313,213,1.3,4252284305,56,Back,4253039245,178,,4252284303,123,,,,,ci1nu5z8aiiikco8af0zk1lud,R. Zentner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
