id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2533548965,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-15T12:36:30.504Z,2023-04-15T13:45:22Z,4189859221,194,3kti58d195gmtzwrjh5nprx05,4190203135,197,16195,4189859213,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189859223,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189859217,130,17,4189859215,59,"33, 4, 24, 2, 23, 5, 16, 3, 9, 8, 22, 1, 7, 10, 11, 14, 15, 17, 25, 31",4189859219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189859211,30,"62gct49oglcdzxafhrfucrb2t, bibz1qxakmbflq73marmo4nop, e9u7cmvaem5p7x9px3yq9f179, 3uqn1adw8rarez1gpen9vng7p, 4xhnmoqgxoheel005ek6ckfs9, 5l8wtw156meo2vrtrgasif6jt, a4p1m3cqm6z2p1bw97s6k46ad, 3kti58d195gmtzwrjh5nprx05, bmrdtenqr84jt4gmw6i7wez11, d1gc59ozyrrnl82rog6fbm0dm, 3havaatbnk8p6gc9srgajc25l, 5bzowvtg5vhntcx1w3roriehh, 5eym30brgmujovaeyb6dhhgfe, 9ic8hvnkzj9p0ikh6bwaeoqju, 49epln99aa2797cs2zq3al1t6, 9fd19beamnr8qmhqdvzr7fcyy, 7gzdg0j9usc3yq0dd1ad57sgl, 254i1zsifi2er9rvuxgi9katx, 80nniieqtuwjhomwjcebnxyzu, 2tdxcr1wkubis5n81sg4pzyz9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533552395,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-15T12:39:56.785Z,2023-04-15T13:33:28Z,4189877203,130,7,4189877199,59,"1, 26, 13, 6, 23, 15, 21, 22, 9, 19, 27, 7, 8, 11, 17, 18, 20, 33, 43, 44",4189877205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189877209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189877195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189877189,30,"9rjd95oqotnalxmv56v7p1r6d, cl6720rdjeubt0bc3su0qg3qh, 6ie5meimavc8kwohr6lrdyket, emvi36y613e4lqlat3wfdih9l, 7lai6ovwsl01gonutejt4mms5, cd6i7khi5wgsfsg19c9tcjydx, 7q96z3aaee5jyccb8pjthi8kp, e83ula4wockmc2xid7185kcq2, cy0lv5u16obr2ne4xiins43x1, f4qcgzveslklfi8601tep77x1, ebj6t5jqzixrnww1z7qofznu2, 2we9yak4ipkr1ljigj20puv6y, 2nqhczrkd45rdu5fcmq1wjo45, btzfq6521zl3q5uqus8ltov6d, 5irixhhyayq9yl7sb2kohjrv9, eguzzwxdm0fwocax6srpck48a, 4lcyjhvtwieshr4r3a6104qtx, 2jrntrq2x714pviioh3jnkted, c2mwg1uhug0pbgl72uf9b927e, 1ltc40nsr2fkx99i5hf7i3mga",4189877207,194,cd6i7khi5wgsfsg19c9tcjydx,4190106387,197,2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599267,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-15T13:32:06.352Z,2023-04-15T13:32:09Z,4190127421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599203,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-15T13:32:06.352Z,2023-04-16T05:30:30Z,4190127117,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599281,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,0,50,50,2023-04-15T13:32:06.465Z,2023-04-16T06:23:10Z,4190127475,213,3.0,4190127477,279,S,4190127471,141,50.7,4190127469,140,46.8,4194050965,178,,4190127467,56,Back,4190127473,212,3.4,,,,d1gc59ozyrrnl82rog6fbm0dm,E. Millot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599321,4,49,1,0,1,dt4pinj0vw0t0cvz7za6mhmzy,1,55.2,47.3,2023-04-15T13:32:07.901Z,2023-04-16T06:23:35Z,,,,,,,,,,,,,,,,,,,,,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599313,3,43,1,0,3,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-15T13:32:09.989Z,2023-04-15T13:34:34Z,4190141043,144,7,4190127649,56,Center,4190127651,285,0,,,,,,,,,,,,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599331,5,3,1,0,3,dt4pinj0vw0t0cvz7za6mhmzy,0,53.8,46.2,2023-04-15T13:32:10.181Z,2023-04-16T06:24:18Z,4192384663,464,,4190127719,286,,4190127717,56,Center,4194051293,178,,4190128025,233,4,,,,,,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599373,4,7,1,0,3,3dwlvz6cl4lcavvrg0y2dycrt,1,46.2,53.8,2023-04-15T13:32:10.197Z,2023-04-16T06:24:25Z,4194052113,178,,4190127911,285,,4190127993,233,5,4190127909,56,Back,4192384959,383,,,,,,,,,,,d1gc59ozyrrnl82rog6fbm0dm,E. Millot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599387,5,49,1,0,5,3dwlvz6cl4lcavvrg0y2dycrt,1,43.7,68.8,2023-04-15T13:32:11.897Z,2023-04-16T06:24:31Z,,,,,,,,,,,,,,,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599467,6,1,1,0,7,3dwlvz6cl4lcavvrg0y2dycrt,1,43.7,68.8,2023-04-15T13:32:14.034Z,2023-04-16T06:24:38Z,4190128371,213,2.9,4190128363,56,Back,4194052279,178,,4190128367,141,74.2,4190128365,140,27.4,4190128369,212,17.5,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599507,7,1,1,0,10,3dwlvz6cl4lcavvrg0y2dycrt,1,27.7,74.1,2023-04-15T13:32:16.388Z,2023-04-16T06:24:42Z,4190128515,56,Back,4190128519,141,38.3,4190128523,213,4.7,4190128517,140,28.5,4190128521,212,24.4,4194052407,178,,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599533,8,1,1,0,12,3dwlvz6cl4lcavvrg0y2dycrt,1,28.5,38.3,2023-04-15T13:32:18.807Z,2023-04-16T06:24:46Z,4190128591,141,12.8,4190128587,56,Back,4190128589,140,33.8,4190128595,213,5.0,4190128593,212,18.2,4194052453,178,,,,,,,,4xhnmoqgxoheel005ek6ckfs9,D. Zagadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599593,9,1,1,0,14,3dwlvz6cl4lcavvrg0y2dycrt,1,33.8,12.8,2023-04-15T13:32:20.992Z,2023-04-16T06:24:50Z,4190128883,213,5.8,4190128877,140,41.6,4190128879,141,5.9,4190128875,56,Back,4194052537,178,,4190128881,212,9.4,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599621,10,1,1,0,17,3dwlvz6cl4lcavvrg0y2dycrt,1,40.8,10,2023-04-15T13:32:24.072Z,2023-04-16T06:24:53Z,4194052613,178,,4190129033,212,14.6,4190129029,140,33.5,4190129027,56,Back,4190129035,213,2.1,4190129031,141,28.3,,,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599689,11,1,1,0,18,3dwlvz6cl4lcavvrg0y2dycrt,1,33.5,28.3,2023-04-15T13:32:24.901Z,2023-04-16T06:24:57Z,4190129343,213,4.0,4190129333,56,Back,4190129337,140,21.7,4190129339,141,8.3,4190129341,212,18.4,4194052697,178,,,,,,,,3kti58d195gmtzwrjh5nprx05,W. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599723,12,1,1,0,22,3dwlvz6cl4lcavvrg0y2dycrt,1,21.7,8.3,2023-04-15T13:32:29.351Z,2023-04-16T06:25:09Z,4190129491,141,4.0,4194052893,178,,4190129489,140,31.2,4190129495,213,6.0,4190129485,56,Back,4190129493,212,10.4,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599753,13,1,1,0,25,3dwlvz6cl4lcavvrg0y2dycrt,1,31.2,4,2023-04-15T13:32:31.573Z,2023-04-16T06:25:14Z,4194052995,178,,4190129643,212,6.3,4190129639,140,37.1,4190129645,213,0.2,4190129637,56,Back,4190129641,141,5.9,,,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599785,14,1,1,0,26,3dwlvz6cl4lcavvrg0y2dycrt,1,37.1,5.9,2023-04-15T13:32:32.596Z,2023-04-16T06:25:20Z,4190129805,56,Back,4190129817,213,2.8,4190129809,141,10.4,4190129807,140,30.0,4190129813,212,8.1,4194053103,178,,,,,,,,d1gc59ozyrrnl82rog6fbm0dm,E. Millot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599817,15,1,1,0,28,3dwlvz6cl4lcavvrg0y2dycrt,1,29.9,13.8,2023-04-15T13:32:34.431Z,2023-04-16T06:25:25Z,4190129983,141,18.9,4190129979,56,Back,4190129985,212,7.4,4190129987,213,0.5,4194053183,178,,4190129981,140,36.1,,,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599861,16,1,1,0,28,3dwlvz6cl4lcavvrg0y2dycrt,1,36.3,18.6,2023-04-15T13:32:35.322Z,2023-04-16T06:25:29Z,4194053231,178,,4190130203,212,6.8,4190130197,56,Back,4190130199,140,32.1,4190130205,213,4.0,4190130201,141,10.9,,,,,,,a4p1m3cqm6z2p1bw97s6k46ad,A. Karazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599911,17,1,1,0,29,3dwlvz6cl4lcavvrg0y2dycrt,1,32.1,10.9,2023-04-15T13:32:36.343Z,2023-04-16T06:25:36Z,4190130437,1,,4190130423,155,,4190130435,213,1.7,4194053321,178,,4190130431,141,92.6,4190130427,56,Back,4190130425,196,,4190130433,212,55.8,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,4190130429,140,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533599965,18,1,1,0,35,3dwlvz6cl4lcavvrg0y2dycrt,1,28.9,92.3,2023-04-15T13:32:41.785Z,2023-04-16T06:25:41Z,4190130697,56,Back,4190130699,140,33.9,4190130703,212,13.8,4190130705,213,5.1,4194053353,178,,4190130701,141,73.5,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600049,19,1,1,0,38,3dwlvz6cl4lcavvrg0y2dycrt,1,33.9,73.5,2023-04-15T13:32:44.481Z,2023-04-16T06:25:45Z,4190131119,155,,4194053399,178,,4190131139,1,,4190131135,213,0.2,4190131123,140,70.8,4190131131,212,40.0,4190131121,56,Left,4190131127,141,88.0,3kti58d195gmtzwrjh5nprx05,W. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600063,20,61,1,0,41,3dwlvz6cl4lcavvrg0y2dycrt,0,70.8,88,2023-04-15T13:32:47.432Z,2023-04-16T06:26:07Z,4194053767,388,,4190131187,56,Left,,,,,,,,,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600045,6,49,1,0,44,dt4pinj0vw0t0cvz7za6mhmzy,1,11.9,8.3,2023-04-15T13:32:50.452Z,2023-04-16T06:26:19Z,,,,,,,,,,,,,,,,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600143,7,61,1,0,44,dt4pinj0vw0t0cvz7za6mhmzy,0,11.6,9.5,2023-04-15T13:32:50.767Z,2023-04-16T06:26:30Z,4194054205,178,,4190131641,56,Back,,,,,,,,,,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600173,21,3,1,0,45,3dwlvz6cl4lcavvrg0y2dycrt,0,79.3,88.2,2023-04-15T13:32:52.044Z,2023-04-16T06:26:37Z,4190614153,233,445,4190613117,286,,4194054355,178,,4190131779,56,Left,4192404231,464,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693495,445,7,1,0,45,dt4pinj0vw0t0cvz7za6mhmzy,0,20.7,11.8,2023-04-15T13:32:52.096Z,2023-04-16T06:26:42Z,4190614089,233,21,4194054443,178,,4192404419,385,,4190614039,285,,4190613717,56,Back,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600219,22,49,1,0,47,3dwlvz6cl4lcavvrg0y2dycrt,1,79.3,80.5,2023-04-15T13:32:54.033Z,2023-04-16T06:26:59Z,,,,,,,,,,,,,,,,,,,,,,,,,3havaatbnk8p6gc9srgajc25l,C. Führich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
