id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2461878313,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-09-18T12:31:50.200Z,2022-09-18T12:54:01Z,3790198159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790198151,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, 4sd2zs6d5cd4d9n3oo54lglat, en0a6a574x1yvnk8kdxwub949, 3es8fg7y59lckypu11i68q6s5, embn1jhcly07i6pjcvcdiavo5, ec04djw7dspowrm7h7wr6e5ed, 2mwe6l0eu1tisri3eu26fx8x6, fr9ac60188vlmtbrcddhxii1, 53ozrqkupvt2iyi2xg0swf7px, b7cso5zljdvzfila9zd4fz4ve, 6384gzzxuxs6pvmrn8qx4d7u1, bjhgmcai5irlexe7oa1g0e5sl, d2ykrr75737c8bzlwhjj90vkl, b8if5dg0k9prjik99aiutewh5, 2dxsntw3djezptdjqzu0oxi7e",3790198155,59,"1, 20, 6, 27, 4, 5, 32, 38, 7, 10, 14, 2, 3, 12, 16, 22, 29, 31, 33, 40",3790198163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790198161,194,acxwc7xxrtyssiy390t859kgl,3790310619,197,8139,3790198157,130,15,3790198153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461882965,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-18T12:36:25.418Z,2022-09-18T12:54:10Z,3790220807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790220811,130,12,3790220815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790220805,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, emtrl7rrhp3ybsibf1f89kyj9, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, d3xe46be1ajvxzxzboiaoy385, f0x3pa532agezdjdzcsp94l49, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 87jamhsc8ps9kh5432u36kjc9, cl6720rdjeubt0bc3su0qg3qh, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 254i1zsifi2er9rvuxgi9katx, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t",3790311237,197,16256,3790220809,59,"1, 28, 23, 4, 31, 25, 13, 19, 45, 27, 8, 2, 3, 6, 11, 14, 17, 24, 32, 37",3790236343,194,52t6t7cdsr0fjs9ukmwo9y7rp,3790220817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461941861,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-09-18T13:30:16.989Z,2022-09-18T13:30:17Z,3790522059,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461941887,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-18T13:30:16.989Z,2022-09-18T21:15:27Z,3790522137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461941941,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,50,50,2022-09-18T13:30:17Z,2022-09-18T21:20:46Z,3790522401,279,S,3790522397,212,23.7,3790522393,140,28.0,3790522395,141,41.9,3790522391,56,Back,3792520931,178,,3790522399,213,3.4,,,,3es8fg7y59lckypu11i68q6s5,L. Waldschmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461941987,4,1,1,0,2,a8l3w3n0j99qjlsxj3jnmgkz1,1,28.9,43,2022-09-18T13:30:19.820Z,2022-09-18T21:20:54Z,3790522603,56,Center,3790522619,1,,3790522611,212,48.6,3790522615,213,0.4,3790522605,140,71.1,3790522601,155,,3792521183,178,,3790522609,141,72.3,7e7w34imugzsufvytjxytupd5,M. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461941999,5,44,1,0,6,a8l3w3n0j99qjlsxj3jnmgkz1,1,74.1,73.6,2022-09-18T13:30:23.005Z,2022-09-19T11:28:08Z,3790522659,286,,3790522657,56,Center,3790522715,233,3,,,,,,,,,,,,,,,,embn1jhcly07i6pjcvcdiavo5,L. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942001,3,44,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,0,25.9,26.4,2022-09-18T13:30:23.006Z,2022-09-18T21:21:04Z,3790522751,233,5,3790522661,56,Back,3790522665,285,,,,,,,,,,,,,,,,,d3xe46be1ajvxzxzboiaoy385,T. Baumgartl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942019,6,1,1,0,6,a8l3w3n0j99qjlsxj3jnmgkz1,0,71.1,72.3,2022-09-18T13:30:23.061Z,2022-09-19T11:28:08Z,3790522773,213,1.1,3790522763,3,,3790522767,140,72.1,3790522765,56,Center,3792521965,388,,3790522769,141,75.1,3790522771,212,2.2,,,,embn1jhcly07i6pjcvcdiavo5,L. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942017,4,61,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,1,22.9,25.2,2022-09-18T13:30:23.119Z,2022-09-18T21:22:00Z,3792522703,388,,3792522701,15,,3790522761,56,Back,,,,,,,,,,,,,,,,d3xe46be1ajvxzxzboiaoy385,T. Baumgartl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
