id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2516552917,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-03-06T18:11:02.069Z,2023-03-06T18:59:46Z,4078958631,197,451,4078888083,59,"39, 5, 4, 17, 2, 33, 7, 14, 9, 35, 26, 6, 8, 10, 11, 21, 23, 24, 28, 30, 34, 45",4078888085,130,8,4078888091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078888079,30,"a8fr8gzw2n7gyl4kb58xjtknp, b1zeqxuwoyzx1eukf18ptdgq, 8z4wdv767cv7ddqgrkz5txsrt, b4a2wu8fdbrh5sirpv34hoewa, 5dxleurgfe6483pe7qvyc00es, 5n5otf2ldw9w4nbm8zjabnd1x, 4nz928h6p0nl8p161dxg55pn8, 7a1f6wedz8jtcvn58d5pomm8k, b1yxo0olp9c2ufh1l1qxsef9x, eybrr6zz7x6d1ftc7u4vphn85, 12y6tmd1yr04c0ed2klslpwb9, 9knokmhy9zckjq0gv7txx9zsa, cp732f8tqz91xeahijtd35rd, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, 7fhe8ij85yc4gz6v3zuq62l05, axhjtqfa2xxud2tdle8zfxrkl, dineetneurorxpx1yv0v8tega, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 9l5hp0tmizix8z6h5b5vqvhm1, 1hpmrfb0mbmevf9edj0o0bv56",4078888089,194,8z4wdv767cv7ddqgrkz5txsrt,4078888087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078888081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516553397,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-06T18:12:46.194Z,2023-03-06T18:59:54Z,4078891083,130,8,4078891085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078891077,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, afdwdm1rkz1ir3c0tukfh3jhm, ip62fljz9ng6sil4krcq8dm1, etwawuknprhxhmjk1tyq38e6t, sbxnlkg50itbqkpuh8wnwk45, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, akfbttkeqfd8pzhe93ra674kp, 8loz5cz4zynb8plfusi3ewd79, bmbzc4jvazdiuddsbnceyauei, dqey55v1t24jngquk81aii8lw, g0s22zvneqmryewunetlsbje, arrbpgnwbguhyumc8c1u4jsut, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, 49zitlyt01houmqy6hk04x36y",4078891087,194,ip62fljz9ng6sil4krcq8dm1,4078891081,59,"1, 5, 12, 17, 6, 21, 11, 15, 33, 10, 29, 2, 4, 7, 8, 9, 14, 18, 22, 23, 26, 28, 39",4078958793,197,486,4078891079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078891089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565867,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-03-06T19:01:58.982Z,2023-03-06T19:01:59Z,4078962989,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565863,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-06T19:01:58.982Z,2023-03-06T19:01:59Z,4078962973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565901,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50,2023-03-06T19:01:59.082Z,2023-03-06T19:58:48Z,4078963211,213,2.8,4078963207,141,66.0,4078963209,212,29.0,4078963203,56,Back,4078963205,140,24.3,4078963213,279,S,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565927,4,1,1,0,4,dac758ef858jbq7pcb3gfwite,1,25.4,62.7,2023-03-06T19:02:03.185Z,2023-03-06T19:02:06Z,4078963375,140,27.7,4078963373,56,Back,4078963381,213,4.8,4078963377,141,32.9,4078963379,212,20.4,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565957,5,1,1,0,7,dac758ef858jbq7pcb3gfwite,1,31.4,33.5,2023-03-06T19:02:06.385Z,2023-03-06T19:02:10Z,4078963535,56,Back,4078963541,212,25.9,4078963539,141,71.5,4078963537,140,33.0,4078963543,213,1.5,,,,,,,,,,afdwdm1rkz1ir3c0tukfh3jhm,S. Cestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565979,6,1,1,0,11,dac758ef858jbq7pcb3gfwite,1,42.8,70.9,2023-03-06T19:02:10.585Z,2023-03-06T19:52:42Z,4078963671,213,0.0,4078963665,140,68.0,4078963663,56,Center,4078963669,212,26.5,4078963667,141,71.3,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516565981,7,61,1,0,12,dac758ef858jbq7pcb3gfwite,0,68,71.3,2023-03-06T19:02:11.322Z,2023-03-06T19:52:46Z,4078963677,56,Center,,,,,,,,,,,,,,,,,,,,,,bzf3k4wvqvx1tl1mx960wjv85,A. Ouahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566055,3,5,1,0,15,e8hiwrw6ocxm5iht6sp7jiv19,1,30.2,-1.8,2023-03-06T19:02:14.224Z,2023-03-06T19:02:21Z,4078964049,233,8,4078964041,56,Back,4078964043,347,,,,,,,,,,,,,,,,,4nz928h6p0nl8p161dxg55pn8,X. Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
