id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2465109323,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-09-30T17:14:35.445Z,2022-09-30T18:00:07Z,3807325345,30,"4xjwsmhvtnq3f2bgyd4mjqq96, b1zeqxuwoyzx1eukf18ptdgq, dineetneurorxpx1yv0v8tega, 7fhe8ij85yc4gz6v3zuq62l05, 5dxleurgfe6483pe7qvyc00es, 9oajgqqc9gkgbcz090it0tlhw, 4nz928h6p0nl8p161dxg55pn8, 9knokmhy9zckjq0gv7txx9zsa, b1yxo0olp9c2ufh1l1qxsef9x, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, axhjtqfa2xxud2tdle8zfxrkl, cp732f8tqz91xeahijtd35rd, eybrr6zz7x6d1ftc7u4vphn85, 7a1f6wedz8jtcvn58d5pomm8k, f49vqdy6topqx2b3ku5cixd2i, 408icqrc0uwh4ln5e3xl7fbe2, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, 9l5hp0tmizix8z6h5b5vqvhm1, 9tru2a7pof2r37s8ro29uv3dh, 1hpmrfb0mbmevf9edj0o0bv56",3807325349,59,"1, 5, 24, 21, 2, 25, 7, 6, 9, 10, 11, 23, 8, 35, 14, 20, 26, 28, 30, 33, 34, 42, 45",3807325355,194,b1yxo0olp9c2ufh1l1qxsef9x,3807325351,130,8,3807389015,197,451,3807325347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3807325353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807325357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465111035,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-30T17:20:04.673Z,2022-09-30T17:59:53Z,3807333415,194,4iurx3g3hajlatv5gcxsqwm7e,3807333411,130,4,3807333407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3807388693,197,7233,3807333417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807333413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3807333409,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 20, 18, 22, 17, 14, 15, 23, 19, 16",3807333405,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, 7b0vbfxlv3uiozb19fcj2vsyy, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, cvbasfoccmz0tijnkxyf57n8q, d785q9rpqlyuyswv8f9fx4cno, 8npu0cbqjrhwv5km1w29kh016, 7uwe0kxpzg271d8ocms7l2kno, 8tukt8jsmzkblxxs5w85x4dii, 2x0hbry9gpcq5cbujdee5u904, wlltloe6hbe8hin3hix0366s, 94h1esmbnvlcvdeq9ohs11boq, ix6hcbfujuw3mgefzpsnp2zu, 8mkrj5bnkyhx8kutc4656cy96, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys, 3bepi58wwope38a478y7jwlxw, eola3wwbcxl6yeigrj16a3otm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122597,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-09-30T18:02:07.954Z,2022-09-30T18:02:08Z,3807391777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122601,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-09-30T18:02:07.954Z,2022-09-30T18:02:10Z,3807391791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122653,3,1,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,49.9,50,2022-09-30T18:02:08.054Z,2022-09-30T18:02:13Z,3807392059,141,40.9,3807392055,56,Back,3807392061,212,31.6,3807392065,279,S,3807392057,140,20.4,3807392063,213,3.3,,,,,,,9knokmhy9zckjq0gv7txx9zsa,D. Klas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122681,4,1,1,0,5,e8hiwrw6ocxm5iht6sp7jiv19,1,20.4,39.5,2022-09-30T18:02:13.172Z,2022-09-30T18:02:15Z,3807392173,157,,3807392177,140,57.9,3807392185,1,,3807392181,212,49.1,3807392183,213,0.6,3807392175,56,Left,3807392179,141,82.6,,,,5dxleurgfe6483pe7qvyc00es,T. Asante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122703,5,1,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,1,57.9,82.6,2022-09-30T18:02:15.891Z,2022-09-30T18:02:18Z,3807392311,213,2.1,3807392303,56,Left,3807392307,141,96.0,3807392305,140,52.8,3807392309,212,10.6,,,,,,,,,,b1yxo0olp9c2ufh1l1qxsef9x,T. Verheydt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122735,6,1,1,0,10,e8hiwrw6ocxm5iht6sp7jiv19,1,53.2,96,2022-09-30T18:02:18.675Z,2022-09-30T18:02:22Z,3807392457,213,3.2,3807392451,140,27.9,3807392455,212,26.7,3807392453,141,92.1,3807392449,56,Back,,,,,,,,,,dineetneurorxpx1yv0v8tega,A. Absalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122771,7,1,1,0,14,e8hiwrw6ocxm5iht6sp7jiv19,1,28.3,90,2022-09-30T18:02:22.467Z,2022-09-30T18:02:26Z,3807392621,141,35.2,3807392625,213,4.6,3807392627,1,,3807392623,212,37.7,3807392619,140,22.6,3807392617,56,Back,,,,,,,9oajgqqc9gkgbcz090it0tlhw,F. van Breemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465122809,8,1,1,0,18,e8hiwrw6ocxm5iht6sp7jiv19,1,23.1,34.9,2022-09-30T18:02:26.547Z,2022-09-30T18:02:30Z,3807392851,213,1.4,3807392845,140,25.3,3807392849,212,18.8,3807392843,56,Back,3807392847,141,62.3,,,,,,,,,,5dxleurgfe6483pe7qvyc00es,T. Asante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
