id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/9/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2490339353,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-12-11T12:46:29.021Z,2022-12-11T13:37:27Z,3940682565,130,8,3940797607,197,16350,3940682563,59,"1, 20, 23, 28, 4, 22, 11, 18, 9, 14, 10, 5, 6, 8, 19, 21, 26, 34, 37, 38, 39, 46, 40",3940682571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940682559,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, d1dq7upxtawnps3wljz6wf9jo, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, bdtti3sckhcppilsisgu7well, a49001euf7xwpx5wodembjbo5, bs14utcyx2am6s46cuv52nf56, dmtsvsqvdoqqtmrset0uz0and, ccmmsnrfn58gwi1petlp08f3e, c46xp363o8m76eswzfmlsel4a, ab8p14hbfeph28j3ig36nzob9, dgio69i8qj7x1dzd7q6y7168l, 2c8alz6gmphvy6aqpgykva0yy, f1as17wqpj44gihtvw936lofd, 9vu68zcajmrqmkkchmpdrebu2, 4qcx1ql4jxov8vncghnqud5d6, 63h1tm6at6eqbicao9ro3y8h6, 9o41me3111mj3zl4lxqqhvod0, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",3940682567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940682569,194,6ylzm57bvpufg3cenadtv7qhh,3940682561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490339967,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-12-11T12:48:01.712Z,2022-12-11T13:43:16Z,3940685847,59,"1, 21, 24, 25, 33, 2, 11, 35, 30, 42, 7, 3, 6, 8, 10, 14, 17, 22, 23, 28, 34, 45",3940685845,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940685843,30,"4xjwsmhvtnq3f2bgyd4mjqq96, 7fhe8ij85yc4gz6v3zuq62l05, dineetneurorxpx1yv0v8tega, 9oajgqqc9gkgbcz090it0tlhw, 5n5otf2ldw9w4nbm8zjabnd1x, 5dxleurgfe6483pe7qvyc00es, 5l4fkm9a0pvfi9qiy6gipf71m, eybrr6zz7x6d1ftc7u4vphn85, 7c58hgy3g9gntpuqf5w5hpvu2, 9tru2a7pof2r37s8ro29uv3dh, 4nz928h6p0nl8p161dxg55pn8, brpt79b4v36wx3kj3joyjjjkl, 9knokmhy9zckjq0gv7txx9zsa, cp732f8tqz91xeahijtd35rd, bdpso3uk915bg1tr1d7s0p7je, 7a1f6wedz8jtcvn58d5pomm8k, b4a2wu8fdbrh5sirpv34hoewa, 79pqhm8r572k3lqz38kfl4x9m, axhjtqfa2xxud2tdle8zfxrkl, 17oeipaq6y7pvs42fpx9oy9uy, 9l5hp0tmizix8z6h5b5vqvhm1, 1hpmrfb0mbmevf9edj0o0bv56",3940685851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940685849,130,18,3940685853,194,7fhe8ij85yc4gz6v3zuq62l05,3940685855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940797733,197,16592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360223,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-12-11T13:31:58.016Z,2022-12-11T13:32:00Z,3940799393,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360219,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-12-11T13:31:58.016Z,2022-12-11T13:31:58Z,3940799389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360235,3,1,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,49.8,50.1,2022-12-11T13:31:58.116Z,2022-12-11T13:32:01Z,3940799461,212,31.9,3940799457,140,21.9,3940799459,141,31.5,3940799465,279,S,3940799463,213,3.5,3940799455,56,Back,,,,,,,9tru2a7pof2r37s8ro29uv3dh,M. Bilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360249,4,1,1,0,3,e8hiwrw6ocxm5iht6sp7jiv19,1,21.9,31.5,2022-12-11T13:32:01.261Z,2022-12-11T13:32:06Z,3940799601,141,11.3,3940799603,212,26.3,3940799599,140,43.3,3940799605,213,5.7,3940799597,56,Back,,,,,,,,,,5dxleurgfe6483pe7qvyc00es,T. Asante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360251,3,45,1,0,7,1fttb31hnskynpku8qd09yhm8,0,46.1,84.7,2022-12-11T13:32:05.918Z,2022-12-11T13:32:07Z,3940799667,233,5,3940799609,56,Back,3940799611,285,,,,,,,,,,,,,,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360255,5,3,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,1,53.9,15.3,2022-12-11T13:32:05.918Z,2022-12-11T13:32:07Z,3940799631,286,,3940799641,233,3,3940799629,56,Right,,,,,,,,,,,,,,,,4nz928h6p0nl8p161dxg55pn8,X. Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360257,6,50,1,0,8,e8hiwrw6ocxm5iht6sp7jiv19,1,53.9,15.3,2022-12-11T13:32:06.444Z,2022-12-11T13:32:10Z,3940799731,233,4,3940799633,56,Right,3940799635,286,,,,,,,,,,,,,,,,,4nz928h6p0nl8p161dxg55pn8,X. Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360269,4,7,1,0,8,1fttb31hnskynpku8qd09yhm8,1,46.1,84.7,2022-12-11T13:32:06.445Z,2022-12-11T13:32:10Z,3940799721,56,Back,3940799727,233,6,3940799723,285,,,,,,,,,,,,,,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360271,5,49,1,0,11,1fttb31hnskynpku8qd09yhm8,1,26.6,85.6,2022-12-11T13:32:09.735Z,2022-12-11T13:32:10Z,,,,,,,,,,,,,,,,,,,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360279,6,1,1,0,12,1fttb31hnskynpku8qd09yhm8,1,26.6,85.6,2022-12-11T13:32:10.103Z,2022-12-11T15:35:25Z,3940799779,212,28.9,3940799775,140,2.2,3940799781,213,3.6,3940799773,56,Back,3940799777,141,66.0,,,,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360299,7,1,1,0,14,1fttb31hnskynpku8qd09yhm8,1,4.4,66.3,2022-12-11T13:32:12.887Z,2022-12-11T13:32:18Z,3940799899,56,Back,3940799901,140,18.8,3940799905,212,25.0,3940799903,141,37.1,3940799907,213,5.4,,,,,,,,,,6q72mpmc478hlf4f7ths9ez56,N. Bakker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
