id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2519864561,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-03-13T18:16:21.381Z,2023-03-13T19:31:44Z,4096522359,197,2124,4096446679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096446671,59,"1, 22, 28, 6, 4, 20, 11, 23, 17, 14, 33, 16, 18, 21, 24, 25, 27, 29, 31, 32, 37, 44, 45",4096446667,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 62ft9dfhds3wn0dv650d4gkph, 969cpy2geokwer9gjapk7zj3e, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, 1n0syrrxf9x7neh3tn19sc89h, cglskkkycbja9rjybhui9hdrd, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, 56i6rp74me1bdnqz1hzilzyfo, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju, ck7e2h6thujvs1j9663xsy6ms, 8jm8a7w3a5b5nzikcom7cvf2s, 7dj1tr37jtrr32cyw6r1dukus",4096446675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096446677,194,abgzge9xy445z8rdwa2mcapqt,4096446673,130,8,4096446669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519866201,1,34,16,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-03-13T18:21:14.167Z,2023-03-13T19:03:47Z,4096455545,194,bspl2le99ugt2ug4tcqsvp1w5,4096455539,59,"1, 22, 11, 15, 36, 2, 30, 6, 4, 8, 9, 16, 3, 7, 14, 17, 20, 23, 24, 31, 33, 41, 45",4096455543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096455547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096455535,30,"cetavjue5femoxid9fmcd0zjd, 2f3j5qchxzh11u4bi2mb8dslw, 29s8wk0a2m66rebsfx1jfuuh, idvh0ac1f8wv39640pyl4esp, dmrznrol8qp7yk53r6ajhnkt0, bspl2le99ugt2ug4tcqsvp1w5, 1rd0zzpp3dn0y7qtxwc57g7h1, a339o11ut8s1o9odm6ybc4pka, eds7hz8z52qf06c3oug7nivv9, b77p0um20y057708bx6on4d4a, 2esbyi3i7rtsdkxe6a917rsnp, 9ktfzp9jbzxod3116b4xql6ju, 8fqnvz74z901a2h0kgk1zezje, 3a89nlkh1p3l3qi6o70uzp5ud, asn8og4yn5gj4it0qe6vulhat, cnqxbvy77blk2ulx06t65it49, by85t8ssyumcjcks1jx3v96vo, 3y7w3ngh3kby9mehxe5q7glpl, 73wkaux439sdodxdjhn1152sq, ebr52ne9bo6xyh2vhr6nhfhbe, 7gwm8sjtl2vyfeh6mio8ve9ec, sk7z843dcqvmdf1tkoaoysr8, 6ferzqtsot04cucvdh1cjex62",4096455537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096455541,130,13,4096522493,197,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878559,2,32,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,0,0,2023-03-13T19:02:48.310Z,2023-03-13T19:02:48Z,4096525477,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878565,3,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-03-13T19:02:48.310Z,2023-03-13T19:02:50Z,4096525493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878593,3,1,1,0,0,2uuh2bir8ktof0uxfo06lb4ox,1,49.6,50.7,2023-03-13T19:02:48.410Z,2023-03-13T19:02:51Z,4096525593,56,Back,4096525597,141,65.4,4096525599,212,25.8,4096525595,140,26.9,4096525603,279,S,4096525601,213,2.7,,,,,,,eds7hz8z52qf06c3oug7nivv9,H. Medunjanin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878623,4,1,1,0,3,2uuh2bir8ktof0uxfo06lb4ox,0,26.9,65.4,2023-03-13T19:02:51.770Z,2023-03-13T19:02:55Z,4096525765,212,50.3,4096525767,213,5.7,4096525763,141,26.5,4096525757,155,,4096525769,1,,4096525761,140,67.7,4096525759,56,Center,,,,idvh0ac1f8wv39640pyl4esp,S. Kersten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878617,4,44,1,0,5,xcevba75jfkrg4s6tl89zl3y,1,37.8,75.1,2023-03-13T19:02:53.909Z,2023-03-13T19:03:15Z,4096525735,285,,4096525733,56,Back,4096525819,233,5,,,,,,,,,,,,,,,,7flz5rsy2e31gbd8udiqg14gl,L. Kaak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878629,5,44,1,0,5,2uuh2bir8ktof0uxfo06lb4ox,0,62.2,24.9,2023-03-13T19:02:53.910Z,2023-03-13T19:02:56Z,4096525825,233,4,4096525793,286,,4096525789,56,Center,,,,,,,,,,,,,,,,b77p0um20y057708bx6on4d4a,D. Huiberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878649,5,1,1,0,5,xcevba75jfkrg4s6tl89zl3y,1,43.4,76.7,2023-03-13T19:02:54.290Z,2023-03-13T19:03:18Z,4096525873,3,,4096525883,213,6.2,4096525877,140,49.8,4096525875,56,Back,4096525881,212,6.8,4096525879,141,75.6,,,,,,,7flz5rsy2e31gbd8udiqg14gl,L. Kaak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878651,6,1,1,0,8,xcevba75jfkrg4s6tl89zl3y,0,49.8,75.6,2023-03-13T19:02:56.932Z,2023-03-13T19:02:57Z,4096525895,212,10.0,4096525887,3,,4096525893,141,79.3,4096525897,213,0.3,4096525889,56,Left,4096525891,140,59.0,,,,,,,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878687,6,1,1,0,10,2uuh2bir8ktof0uxfo06lb4ox,0,37,15.5,2023-03-13T19:02:59.177Z,2023-03-13T19:03:00Z,4096526027,212,5.1,4096526021,56,Back,4096526023,140,41.8,4096526025,141,14.1,4096526029,213,6.1,,,,,,,,,,dmrznrol8qp7yk53r6ajhnkt0,T. Beelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519878681,7,49,1,0,11,xcevba75jfkrg4s6tl89zl3y,1,60.5,95.4,2023-03-13T19:02:59.795Z,2023-03-13T19:02:59Z,,,,,,,,,,,,,,,,,,,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
