id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/1/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2463579921,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-09-23T18:28:35.671Z,2022-09-24T11:29:34Z,3799235923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799235915,30,3799235927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799272663,197,8970,3799235919,59,"12, 32, 5, 8, 31, 2, 7, 11, 10, 16, 9, 1, 14, 15, 17, 22, 23, 24, 26, 27, 28, 30",3799235921,130,2,3799235925,194,epkss1rj7z6duqd3axbcm8l0q,3799235917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463579933,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-09-23T18:28:44.399Z,2022-09-23T19:20:55Z,3799235991,194,8zsx2ykxkcusmsvbj8bsjk445,3799235985,59,3799235981,30,"7j7stqaomy8pnmzangrsyfahh, c3dzl73x1uypbb71x5dwf98iy, cjuzhcgsj4mwwr4evn823hivp, 31u2tk3aha04kwphoucf4ze5m, 8zsx2ykxkcusmsvbj8bsjk445, 4d9yng69t6qbzfukdhcp0j1ii, 6gzpefxqcz2v4z95bnecilfpx, dsgea9ruo8blm2ppu19y1vod0, 70qjuubp69zw3d3p0hvunmi8l, cktdin60q1omaa4gmjp08o76y, 1tmihr54maqj0h7785cg9ez56, f5pgdha5h37xytbk1zq8q710, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, 7kntrrc80dcadt8umvqf6qfe2, 37gw14qso08iq31lr2gerhb84, 1id5av4i7p6tmhf1vuigvlmvo, 7plnzzirl3q10vucy37p7b6ui, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 27lnkbiy8l5008e6792mp4qy2, 1evsz02au0pu4a1tmzn5s27hm",3799235989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799272569,197,1696,3799235987,130,17,3799235993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3799235983,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5","1, 12, 28, 14, 21, 6, 10, 8, 9, 11, 20, 3, 4, 5, 7, 13, 18, 19, 23, 24, 25, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587115,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-09-23T19:00:23.366Z,2022-09-23T19:00:23Z,3799276065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587131,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-09-23T19:00:23.366Z,2022-09-23T19:00:25Z,3799276137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587157,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,50.1,50,2022-09-23T19:00:23.466Z,2022-09-23T19:00:27Z,3799276247,212,25.8,3799276243,140,3799276249,213,2.7,3799276241,56,Back,3799276245,141,66.4,3799276251,279,S,,,,,,,27.9,3usiruyhxf6p9lkiz5qeytze2,M. Remans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587171,4,1,1,0,4,bqm1bnp1bh2apyudlz1o1whr3,0,27.9,66.4,2022-09-23T19:00:27.714Z,2022-09-23T19:00:31Z,3799276325,155,,3799276333,212,3799276337,1,,3799276335,213,5.7,3799276331,141,31.5,3799276329,140,64.9,3799276327,56,Center,,,,45.5,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587181,3,44,1,0,7,z9phg19papi9f5fd6qxzr836,1,33,79.4,2022-09-23T19:00:31.073Z,2022-09-23T19:00:32Z,3799276371,56,Back,3799276373,285,3799276389,233,5,,,,,,,,,,,,,,,,,31u2tk3aha04kwphoucf4ze5m,J. van der Avert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587175,5,44,1,0,7,bqm1bnp1bh2apyudlz1o1whr3,0,67,20.6,2022-09-23T19:00:31.074Z,2022-09-23T19:50:25Z,3799276407,233,3,3799276353,56,3799276355,286,,,,,,,,,,,,,,,,,Right,2072f0p9ful9u577gdvo89yw9,K. Kostons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587183,4,8,1,0,8,z9phg19papi9f5fd6qxzr836,1,30.6,90.2,2022-09-23T19:00:32.311Z,2022-09-23T19:52:22Z,3799276409,15,,3799276375,56,,,,,,,,,,,,,,,,,,,Back,31u2tk3aha04kwphoucf4ze5m,J. van der Avert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463587197,5,49,1,0,9,z9phg19papi9f5fd6qxzr836,1,18.1,94.4,2022-09-23T19:00:33.359Z,2022-09-23T19:52:27Z,,,,,,,,,,,,,,,,,,,,,,,,,cjuzhcgsj4mwwr4evn823hivp,Elso Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
