id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2508725113,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-02-17T18:23:23.351Z,2023-02-17T18:59:08Z,4037569339,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, zhnev5uetomme6rpisaa7wiy, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, 8j8encc4aqkh07ydce6hiaokp, 3p95pudljhqzrnegmko7z56uh, d6rg9ntx9qa2eh8yiflbke1ux, qgusrrldd48qxku8yna03ap5, a3pwwwba6td400zwqjpbf6pnu, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, alimpjocr7xtxu21sumg3b2l1, e74wy7br5zhkds5s73ip0tg4, 30uqa3kfm23ickjssfhmwgdm1, 4o1150mpv9nz55cwj9b0vblk9, a69sa0h7lgpmlav961cpejbe2, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",4037569349,194,b3gyml6d5i3lqxsnh072nhuqd,4037569343,59,"1, 17, 5, 12, 4, 2, 27, 13, 10, 8, 34, 3, 6, 7, 9, 14, 18, 21, 23, 29, 30, 38",4037569347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037631159,197,917,4037569345,130,8,4037569351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037569341,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508725155,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-02-17T18:23:31.617Z,2023-02-17T19:16:21Z,4037569545,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037569555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037569551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037569543,30,"7j7stqaomy8pnmzangrsyfahh, 7e78647fbcn7noga5qlz46xux, cjuzhcgsj4mwwr4evn823hivp, ab8p14hbfeph28j3ig36nzob9, 8zsx2ykxkcusmsvbj8bsjk445, 4d9yng69t6qbzfukdhcp0j1ii, cktdin60q1omaa4gmjp08o76y, 6gzpefxqcz2v4z95bnecilfpx, 7plnzzirl3q10vucy37p7b6ui, awxjnhn762q09xe59hozfjsa1, 7kntrrc80dcadt8umvqf6qfe2, pd5ksvrqxmxsuvfeenz0fqzu, f5pgdha5h37xytbk1zq8q710, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, dsgea9ruo8blm2ppu19y1vod0, 70qjuubp69zw3d3p0hvunmi8l, c3dzl73x1uypbb71x5dwf98iy, 37gw14qso08iq31lr2gerhb84, 31u2tk3aha04kwphoucf4ze5m, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 1evsz02au0pu4a1tmzn5s27hm",4037569553,194,8zsx2ykxkcusmsvbj8bsjk445,4037569549,130,8,4037569547,59,"1, 16, 28, 15, 21, 6, 11, 10, 19, 27, 7, 22, 3, 4, 5, 8, 9, 12, 13, 14, 23, 24, 31",4037631473,197,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737549,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-02-17T19:00:37.908Z,2023-02-17T19:05:00Z,4037633457,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737405,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-02-17T19:00:37.908Z,2023-02-17T19:00:38Z,4037632859,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737427,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50.1,49.9,2023-02-17T19:00:38.008Z,2023-02-17T19:00:41Z,4037632949,56,Back,4037632953,141,34.6,4037632959,279,S,4037632957,213,3.5,4037632955,212,30.3,4037632951,140,23.0,,,,,,,7plnzzirl3q10vucy37p7b6ui,P. Doesburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737437,4,1,1,0,3,z9phg19papi9f5fd6qxzr836,0,24.2,31.8,2023-02-17T19:00:41.816Z,2023-02-17T21:13:43Z,4037633025,141,78.1,4037633021,56,Center,4037633027,212,60.9,4037633019,155,,4037633023,140,73.9,4037633029,213,0.5,4037633031,1,,,,,8zsx2ykxkcusmsvbj8bsjk445,T. van Huizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737559,3,1,1,0,4,cv5ftekuejf0ryxvd5h2my47r,0,36.3,27,2023-02-17T19:00:42.657Z,2023-02-17T19:12:01Z,4037649731,141,31.8,4037649735,213,0.4,4037649727,56,Back,4037649729,140,44.6,4037649733,212,9.3,4037649725,3,,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737493,5,1,1,0,9,z9phg19papi9f5fd6qxzr836,1,63.1,72.9,2023-02-17T19:00:47.880Z,2023-02-17T21:14:26Z,4037633239,140,72.8,4037633237,56,Left,4037633243,212,12.2,4037633245,213,0.6,4037633241,141,82.9,,,,,,,,,,awxjnhn762q09xe59hozfjsa1,Ş. Çetin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508737497,6,50,1,0,11,z9phg19papi9f5fd6qxzr836,1,64.8,82.4,2023-02-17T19:00:49.479Z,2023-02-17T19:12:28Z,4037633261,286,,4037672329,233,77,4037633259,56,Left,,,,,,,,,,,,,,,,7kntrrc80dcadt8umvqf6qfe2,J. Pinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508741757,77,7,1,0,11,cv5ftekuejf0ryxvd5h2my47r,1,35.2,17.6,2023-02-17T19:00:49.480Z,2023-02-17T19:12:28Z,4037672281,233,6,4037654663,285,,4037654661,56,Back,,,,,,,,,,,,,,,,3p95pudljhqzrnegmko7z56uh,R. Sedláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
