id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value
2526032013,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-31T16:57:44.758Z,2023-03-31T17:58:35Z,4149918831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4150036487,197,486,4149918839,194,ip62fljz9ng6sil4krcq8dm1,4149918835,130,4,4149918829,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, bzf3k4wvqvx1tl1mx960wjv85, afdwdm1rkz1ir3c0tukfh3jhm, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, f2snk84xy67ergwrwoblgt2ad, azt0ll196snbxy38eqw7mtln9, etwawuknprhxhmjk1tyq38e6t, 8loz5cz4zynb8plfusi3ewd79, 1o51op6w576yo6t585wkwistm, akfbttkeqfd8pzhe93ra674kp, bmbzc4jvazdiuddsbnceyauei, arrbpgnwbguhyumc8c1u4jsut, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, g2e3oq7zuglwqsf7vqcs055g, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y",4149918837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149918833,59,"1, 5, 12, 10, 6, 21, 15, 17, 33, 11, 7, 2, 4, 8, 18, 22, 23, 26, 28, 30, 34, 39",4149918841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526033249,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-03-31T17:01:50.868Z,2023-03-31T18:13:42Z,4149924461,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, a49001euf7xwpx5wodembjbo5, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 14csdlb8p0tnj6zqrs148ct1w, d1dq7upxtawnps3wljz6wf9jo, dmtsvsqvdoqqtmrset0uz0and, 48sqqhgtmfmpqb3602iirspd6, ebnm8xj9pggemio5qay9pcc0l, cx3fqj7odbuc6i0kppcie4jmy, c46xp363o8m76eswzfmlsel4a, bs14utcyx2am6s46cuv52nf56, bdtti3sckhcppilsisgu7well, 673zq55hik8gvoj5ednuemg2x, 4lnhhxtl72v8wlss3xgrrbr2t, 9vu68zcajmrqmkkchmpdrebu2, 2ylw573o2rkvuczi9nm5t7hed, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",4149924469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149924465,59,"1, 20, 23, 18, 4, 22, 39, 28, 14, 17, 7, 3, 5, 9, 11, 21, 25, 26, 27, 35, 36, 46, 40",4149924471,194,6ylzm57bvpufg3cenadtv7qhh,4149924467,130,2,4149924473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149924463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4150037239,197,16350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056253,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-03-31T18:00:46.875Z,2023-03-31T18:00:47Z,4150040031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056259,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-03-31T18:00:46.875Z,2023-03-31T18:00:49Z,4150040081,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056325,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50.2,2023-03-31T18:00:46.975Z,2023-03-31T18:00:56Z,4150040343,213,3.1,4150040339,141,50.0,4150040335,56,Back,4150040337,140,23.6,4150040345,279,S,4150040341,212,27.6,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056361,4,1,1,0,9,dac758ef858jbq7pcb3gfwite,0,43.7,53.7,2023-03-31T18:00:55.904Z,2023-03-31T18:00:58Z,4150040507,212,47.7,4150040505,141,11.3,4150040509,213,5.6,4150040501,56,Right,4150040499,155,,4150040503,140,79.9,4150040511,1,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056375,3,1,1,0,12,1fttb31hnskynpku8qd09yhm8,0,18.1,83.2,2023-03-31T18:00:59.115Z,2023-03-31T18:52:09Z,4150040561,141,69.0,4150040565,213,5.9,4150040555,3,,4150040557,56,Back,4150040563,212,25.0,4150040559,140,40.1,,,,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056397,5,8,1,0,16,dac758ef858jbq7pcb3gfwite,1,57.6,27.4,2023-03-31T18:01:03.042Z,2023-03-31T18:01:03Z,4150040683,56,Center,,,,,,,,,,,,,,,,,,,,,,afdwdm1rkz1ir3c0tukfh3jhm,S. Cestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056483,6,1,1,0,18,dac758ef858jbq7pcb3gfwite,1,68.4,39.2,2023-03-31T18:01:05.504Z,2023-03-31T18:01:10Z,4150041129,212,29.2,4150041125,140,49.3,4150041127,141,70.5,4150041131,213,2.3,4150041123,56,Back,,,,,,,,,,bzf3k4wvqvx1tl1mx960wjv85,A. Ouahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526056493,7,1,1,0,23,dac758ef858jbq7pcb3gfwite,1,51.5,73.2,2023-03-31T18:01:10Z,2023-03-31T18:01:11Z,4150041183,212,14.7,4150041185,213,3.6,4150041179,140,38.7,4150041181,141,64.6,4150041175,56,Back,,,,,,,,,,e8si4ph9te020gpicg3k2k3u2,R. Roosken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
