id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2468409011,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-07T17:08:23.565Z,2022-10-07T17:58:18Z,3824949427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824949423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824949419,59,"1, 19, 12, 18, 4, 21, 11, 15, 33, 17, 29, 2, 5, 8, 22, 26, 27, 28, 32, 34, 39, 40",3824949417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824949415,30,"dmsmbn9a1qucwf100o3v77nbp, armxucjqaulvwfxyufovg3je1, e8si4ph9te020gpicg3k2k3u2, arrbpgnwbguhyumc8c1u4jsut, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, etwawuknprhxhmjk1tyq38e6t, sbxnlkg50itbqkpuh8wnwk45, azt0ll196snbxy38eqw7mtln9, f2snk84xy67ergwrwoblgt2ad, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, 4dk7h575fifmw2lhslevhmhux, bmbzc4jvazdiuddsbnceyauei, 5r73kuy4vdv1epvmzrhb6nskq, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y, f0pr9jllied6o876bo544he6s",3824949425,194,ip62fljz9ng6sil4krcq8dm1,3825083731,197,486,3824949421,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468413755,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-07T17:16:41.873Z,2022-10-07T17:59:58Z,3824974617,194,440ry78r7c0ntspgph192c0r9,3824974613,130,8,3824974619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824974607,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 1n0syrrxf9x7neh3tn19sc89h, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, ds0hd4ezvb5rw6l95rhbxtq1g, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, 440ry78r7c0ntspgph192c0r9, 1j33nixshgkkdwjjnuafknahh, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 5curv1gquatwkxsin86fghvkk, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, g16sstb2lz1ru2hsba2ml6ju, 7dj1tr37jtrr32cyw6r1dukus",3825086979,197,2125,3824974609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824974615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824974611,59,"1, 27, 28, 21, 22, 20, 33, 23, 35, 10, 11, 3, 4, 5, 7, 8, 9, 14, 16, 17, 18, 32, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435645,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-10-07T18:01:55.772Z,2022-10-07T18:01:55Z,3825091395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435651,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-07T18:01:55.772Z,2022-10-07T18:01:58Z,3825091415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435697,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,50,2022-10-07T18:01:55.966Z,2022-10-07T18:02:00Z,3825091667,213,2.9,3825091669,279,S,3825091663,141,60.6,3825091665,212,26.1,3825091659,56,Back,3825091661,140,26.0,,,,,,,etwawuknprhxhmjk1tyq38e6t,N. Laursen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435735,4,1,1,0,4,dac758ef858jbq7pcb3gfwite,1,26.8,59.9,2022-10-07T18:02:00.616Z,2022-10-07T18:02:03Z,3825091831,141,31.0,3825091825,155,,3825091827,56,Center,3825091829,140,67.8,3825091835,213,5.9,3825091837,1,,3825091833,212,47.3,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435743,5,44,1,0,7,dac758ef858jbq7pcb3gfwite,1,64.6,29.6,2022-10-07T18:02:03.039Z,2022-10-07T18:02:04Z,3825091893,233,3,3825091869,286,,3825091867,56,Center,,,,,,,,,,,,,,,,azt0ll196snbxy38eqw7mtln9,S. Armenteros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435723,3,44,1,0,7,xcevba75jfkrg4s6tl89zl3y,0,35.4,70.4,2022-10-07T18:02:03.040Z,2022-10-07T18:02:05Z,3825091917,233,5,3825091787,56,Back,3825091789,285,,,,,,,,,,,,,,,,,1n0syrrxf9x7neh3tn19sc89h,J. Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435763,6,1,1,0,8,dac758ef858jbq7pcb3gfwite,1,67.8,31,2022-10-07T18:02:04.297Z,2022-10-07T18:02:05Z,3825091971,56,Center,3825091975,141,53.4,3825091969,3,,3825091977,212,15.4,3825091979,213,1.4,3825091973,140,69.9,,,,,,,azt0ll196snbxy38eqw7mtln9,S. Armenteros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468435795,7,1,1,0,9,dac758ef858jbq7pcb3gfwite,1,69.9,53.4,2022-10-07T18:02:05.608Z,2022-10-07T18:02:07Z,3825092127,213,5.1,3825092123,141,34.8,3825092119,56,Center,3825092125,212,13.5,3825092121,140,74.5,,,,,,,,,,6p6sdikmka45csxfw0i0q0l3p,E. Hansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
