id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2471639983,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-14T17:11:30.835Z,2022-10-14T18:08:11Z,3842216919,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, emaf4mjxn2255qlcn1pcxn36x, 3xza88l7s8dlki9kleqwz2puy, 2an4s7uuqa9a6sl7vutznc7o5, 6nd0ifv6ljza9nauxcpejqzft, ekur9x1kzp8wq0lwfwev0b0bu, 4j9ug0ng9dhx6xwhdwx6fafx0, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, 5gunbyh0bjzutryox97ihxot1, cg6es3riwivh8kbgtmi72q0ut, 7oo6h3pq8wv5rgp1dkaolrhg4, f48jetdaq8dttcdo11mugaxnt, f07j2ge60cbdp3bcys4cx18iy, 8gkh6rsfo2tsrsiirv05bm1yi",3842216931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842216929,194,89plvrt8pzppcclh4axvii0ru,3842216921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842319979,197,490,3842216925,130,8,3842216923,59,"1, 2, 5, 6, 3, 24, 19, 18, 9, 10, 11, 8, 12, 14, 16, 22, 25, 27, 29, 36",3842216927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471641967,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-14T17:15:34.879Z,2022-10-14T18:47:01Z,3842227877,59,"1, 34, 24, 20, 2, 5, 8, 21, 7, 9, 10, 11, 14, 17, 23, 25, 26, 27, 28, 30, 33, 35, 45",3842227873,30,"4xjwsmhvtnq3f2bgyd4mjqq96, 9l5hp0tmizix8z6h5b5vqvhm1, dineetneurorxpx1yv0v8tega, f49vqdy6topqx2b3ku5cixd2i, 5dxleurgfe6483pe7qvyc00es, b1zeqxuwoyzx1eukf18ptdgq, cp732f8tqz91xeahijtd35rd, 7fhe8ij85yc4gz6v3zuq62l05, 4nz928h6p0nl8p161dxg55pn8, b1yxo0olp9c2ufh1l1qxsef9x, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, 7a1f6wedz8jtcvn58d5pomm8k, b4a2wu8fdbrh5sirpv34hoewa, axhjtqfa2xxud2tdle8zfxrkl, 9oajgqqc9gkgbcz090it0tlhw, 408icqrc0uwh4ln5e3xl7fbe2, 3d75ox2l88yv2ofgta30kby8k, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, eybrr6zz7x6d1ftc7u4vphn85, 1hpmrfb0mbmevf9edj0o0bv56",3842319903,197,16592,3842227875,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842227879,130,12,3842227881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842227885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842227883,194,b1yxo0olp9c2ufh1l1qxsef9x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659919,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-14T18:03:57.511Z,2022-10-14T18:03:57Z,3842328631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659929,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-14T18:03:57.511Z,2022-10-14T18:03:58Z,3842328679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659965,3,1,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,50,50,2022-10-14T18:03:57.611Z,2022-10-14T18:04:01Z,3842328879,212,20.8,3842328881,213,2.7,3842328883,279,S,3842328873,56,Back,3842328877,141,63.0,3842328875,140,32.1,,,,,,,bdpso3uk915bg1tr1d7s0p7je,M. de Waal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660005,4,1,1,0,4,e8hiwrw6ocxm5iht6sp7jiv19,1,32.2,61.8,2022-10-14T18:04:01.597Z,2022-10-14T18:04:05Z,3842329133,140,69.5,3842329137,212,46.1,3842329141,1,,3842329135,141,26.1,3842329131,56,Center,3842329129,157,,3842329139,213,5.7,,,,f49vqdy6topqx2b3ku5cixd2i,G. Siereveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660011,5,1,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,0,69.5,26.1,2022-10-14T18:04:05.324Z,2022-10-14T18:04:06Z,3842329183,212,17.4,3842329185,213,5.9,3842329179,140,84.8,3842329181,141,16.4,3842329175,168,,3842329173,3,,3842329177,56,Right,,,,b1yxo0olp9c2ufh1l1qxsef9x,T. Verheydt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660053,3,49,1,0,12,59t7flioj4w4mpwnrwbm0m8ck,1,31.7,87.5,2022-10-14T18:04:10.004Z,2022-10-14T18:04:10Z,,,,,,,,,,,,,,,,,,,,,,,,,1falkoydwxoiazskcoalwll62,F. Di Michele Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660059,4,1,1,0,12,59t7flioj4w4mpwnrwbm0m8ck,0,31.7,87.5,2022-10-14T18:04:10.300Z,2022-10-14T18:04:10Z,3842329459,56,Left,3842329469,213,0.3,3842329461,140,64.1,3842329471,1,,3842329455,155,,3842329465,141,100.0,3842329467,212,35.4,,,,1falkoydwxoiazskcoalwll62,F. Di Michele Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471660063,5,5,1,0,13,59t7flioj4w4mpwnrwbm0m8ck,0,51.2,101.6,2022-10-14T18:04:10.652Z,2022-10-14T18:07:10Z,3842330209,233,6,3842329487,347,,3842329485,56,Left,,,,,,,,,,,,,,,,1falkoydwxoiazskcoalwll62,F. Di Michele Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
