id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/15/value
2507525743,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-13T18:22:58.071Z,2023-02-13T19:09:50Z,4031172243,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4031172245,194,cla6c6izphee9prb80c15baei,4031204799,197,2830,4031172235,30,"1otm71j1169bt3ivgo2vlj2tw, d9ewnngnsfc0s4hcs282hayhg, 9yvaqepplk8s4cjqjbtyb24gk, d785q9rpqlyuyswv8f9fx4cno, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, 8tukt8jsmzkblxxs5w85x4dii, cla6c6izphee9prb80c15baei, 7uwe0kxpzg271d8ocms7l2kno, eukc9fng5jfasmr9i814nq8t0, 8npu0cbqjrhwv5km1w29kh016, pxaq5i4ce7ccg0x04msi0b8, 2x0hbry9gpcq5cbujdee5u904, wlltloe6hbe8hin3hix0366s, vrkanoideipif70wo4adb5lg, 4u12cln8rmtkwlu5q36ypjl2i, 8mkrj5bnkyhx8kutc4656cy96, 1jr23fmrmezgiaq7k63pro07o, 3bepi58wwope38a478y7jwlxw",4031172247,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4031172237,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4031172241,130,8,4031172239,59,"1, 2, 5, 10, 3, 4, 7, 6, 9, 8, 11, 21, 14, 15, 23, 16, 18, 20, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507525751,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-02-13T18:23:01.219Z,2023-02-13T19:47:36Z,4031172303,194,8z4wdv767cv7ddqgrkz5txsrt,4031172305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4031204745,197,451,4031172301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4031172293,30,"a8fr8gzw2n7gyl4kb58xjtknp, b1zeqxuwoyzx1eukf18ptdgq, 8z4wdv767cv7ddqgrkz5txsrt, 7fhe8ij85yc4gz6v3zuq62l05, 5dxleurgfe6483pe7qvyc00es, 9oajgqqc9gkgbcz090it0tlhw, 4nz928h6p0nl8p161dxg55pn8, b4a2wu8fdbrh5sirpv34hoewa, bdpso3uk915bg1tr1d7s0p7je, eybrr6zz7x6d1ftc7u4vphn85, 12y6tmd1yr04c0ed2klslpwb9, 9knokmhy9zckjq0gv7txx9zsa, cp732f8tqz91xeahijtd35rd, 5l4fkm9a0pvfi9qiy6gipf71m, 7a1f6wedz8jtcvn58d5pomm8k, axhjtqfa2xxud2tdle8zfxrkl, dineetneurorxpx1yv0v8tega, 17oeipaq6y7pvs42fpx9oy9uy, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, 9l5hp0tmizix8z6h5b5vqvhm1, 1hpmrfb0mbmevf9edj0o0bv56",4031172299,130,8,4031172297,59,"39, 5, 4, 21, 2, 25, 7, 17, 10, 35, 26, 6, 8, 11, 14, 23, 24, 28, 30, 33, 34, 45",4031172295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531153,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-13T19:01:36.543Z,2023-02-13T19:01:36Z,4031206875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531159,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-02-13T19:01:36.543Z,2023-02-13T19:01:39Z,4031206887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531181,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,49.9,50.4,2023-02-13T19:01:36.643Z,2023-02-13T19:01:40Z,4031206979,212,29.6,4031206977,141,68.1,4031206981,213,2.7,4031206973,56,Back,4031206983,279,S,4031206975,140,24.1,,,,,,,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531205,4,1,1,0,3,2xlnfgrl6r18ftv38unwp7h4s,0,29.8,65.4,2023-02-13T19:01:40.427Z,2023-02-13T19:03:58Z,4031207107,1,,4031207095,155,,4031207101,141,25.6,4031207105,213,5.8,4031207103,212,55.1,4031207099,140,75.5,4031207097,56,Center,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531211,3,44,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,1,27.3,81.5,2023-02-13T19:01:43.793Z,2023-02-13T19:01:45Z,4031207121,285,,4031207119,56,Back,4031207135,233,5,,,,,,,,,,,,,,,,9oajgqqc9gkgbcz090it0tlhw,F. van Breemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531209,5,44,1,0,7,2xlnfgrl6r18ftv38unwp7h4s,0,72.7,18.5,2023-02-13T19:01:43.794Z,2023-02-13T19:01:46Z,4031207175,233,3,4031207117,286,,4031207115,56,Right,,,,,,,,,,,,,,,,7uwe0kxpzg271d8ocms7l2kno,J. van Duiven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531215,4,1,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,0,30.1,88.6,2023-02-13T19:01:44.334Z,2023-02-13T19:01:46Z,4031207151,212,4.1,4031207143,3,,4031207149,141,88.9,4031207145,56,Back,4031207147,140,34.0,4031207153,213,0.0,,,,,,,9oajgqqc9gkgbcz090it0tlhw,F. van Breemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531251,5,4,1,0,9,e8hiwrw6ocxm5iht6sp7jiv19,1,34.9,90.9,2023-02-13T19:01:45.578Z,2023-02-13T19:01:53Z,4031207311,13,,4031207319,286,,4031207317,152,,4031207313,294,,4031207321,233,6,4031207315,56,Back,,,,,,,12y6tmd1yr04c0ed2klslpwb9,J. Sleegers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531249,6,4,1,0,9,2xlnfgrl6r18ftv38unwp7h4s,0,65.1,9.1,2023-02-13T19:01:45.579Z,2023-02-13T19:01:55Z,4031207331,233,5,4031207297,13,,4031207301,152,,4031207299,56,Right,4031207305,285,,4031207401,294,,,,,,,,eukc9fng5jfasmr9i814nq8t0,E. Geerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531319,6,1,1,0,33,e8hiwrw6ocxm5iht6sp7jiv19,1,31.8,90.9,2023-02-13T19:02:10.351Z,2023-02-13T19:02:16Z,4031207721,213,4.1,4031207715,140,22.2,4031207709,5,,4031207713,56,Back,4031207711,152,,4031207717,141,71.5,4031207719,212,16.6,,,,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531325,7,1,1,0,40,e8hiwrw6ocxm5iht6sp7jiv19,0,25.9,64.2,2023-02-13T19:02:16.752Z,2023-02-13T19:02:18Z,4031207731,155,,4031207741,213,0.1,4031207737,141,68.5,4031207739,212,45.8,4031207743,1,,4031207735,140,69.4,4031207733,56,Center,,,,9oajgqqc9gkgbcz090it0tlhw,F. van Breemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531333,7,8,1,0,43,2xlnfgrl6r18ftv38unwp7h4s,1,29.8,31,2023-02-13T19:02:19.692Z,2023-02-13T19:02:35Z,4031207777,56,Back,4031207791,15,,,,,,,,,,,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531341,8,1,1,0,44,2xlnfgrl6r18ftv38unwp7h4s,0,35.6,6.2,2023-02-13T19:02:20.954Z,2023-02-13T19:02:22Z,4031207819,3,,4031207823,140,52.6,4031207825,141,29.1,4031207821,56,Center,4031207829,213,0.7,4031207827,212,23.7,,,,,,,8tukt8jsmzkblxxs5w85x4dii,D. Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531343,8,43,1,0,45,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-02-13T19:02:21.999Z,2023-02-13T19:02:42Z,4031208237,144,49,,,,,,,,,,,,,,,,,,,,,,b4a2wu8fdbrh5sirpv34hoewa,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531381,9,1,1,0,46,e8hiwrw6ocxm5iht6sp7jiv19,1,47,67.9,2023-02-13T19:02:22.703Z,2023-02-13T19:02:30Z,4031208043,213,2.1,4031208041,212,18.8,4031208037,140,38.3,4031208035,56,Back,4031208039,141,92.1,,,,,,,,,,b4a2wu8fdbrh5sirpv34hoewa,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531407,10,1,1,0,54,e8hiwrw6ocxm5iht6sp7jiv19,1,68,84.8,2023-02-13T19:02:30.895Z,2023-02-13T19:02:50Z,4031208179,212,8.2,4031208177,141,96.6,4031208371,210,15,4031208181,213,1.4,4031208173,56,Left,4031208175,140,69.6,,,,,,,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531409,11,15,1,1,0,e8hiwrw6ocxm5iht6sp7jiv19,1,68.7,57.6,2023-02-13T19:02:36.976Z,2023-02-13T19:02:51Z,4031208287,233,10,4031208375,29,,4031208373,76,,4031208381,102,54.2,4031208389,147,50,4031208387,146,98.9,4031208191,56,Center,4031208383,103,3.2,12y6tmd1yr04c0ed2klslpwb9,J. Sleegers,,4031208271,20,4031208385,215,4031208377,55,10,4031208187,22,4031208189,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531421,10,10,1,1,0,2xlnfgrl6r18ftv38unwp7h4s,1,2.2,48.8,2023-02-13T19:02:37.076Z,2023-02-13T19:02:44Z,4031208231,182,,4031208291,233,11,4031208233,56,Back,4031208229,179,,4031208227,177,,,,,,,,,,,1otm71j1169bt3ivgo2vlj2tw,K. Peersman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531419,9,52,1,1,2,2xlnfgrl6r18ftv38unwp7h4s,1,2.2,48.8,2023-02-13T19:02:39.333Z,2023-02-13T19:02:41Z,,,,,,,,,,,,,,,,,,,,,,,,,1otm71j1169bt3ivgo2vlj2tw,K. Peersman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531447,11,1,1,1,13,2xlnfgrl6r18ftv38unwp7h4s,1,8.6,51.9,2023-02-13T19:02:49.898Z,2023-02-13T19:02:51Z,4031208409,123,,4031208413,140,20.4,4031208415,141,73.8,4031208411,56,Back,4031208419,213,0.9,4031208417,212,19.4,,,,,,,1otm71j1169bt3ivgo2vlj2tw,K. Peersman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531481,12,1,1,1,14,2xlnfgrl6r18ftv38unwp7h4s,1,21.5,72.6,2023-02-13T19:02:51.388Z,2023-02-13T19:03:51Z,4031208601,212,20.8,4031208597,140,22.8,4031208599,141,42.1,4031208603,213,4.8,4031208595,56,Back,,,,,,,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531489,13,1,1,1,20,2xlnfgrl6r18ftv38unwp7h4s,1,31.5,51.3,2023-02-13T19:02:57.066Z,2023-02-13T19:03:00Z,4031208665,212,8.2,4031208663,141,39.4,4031208659,56,Back,4031208667,213,4.8,4031208661,140,32.5,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531503,14,1,1,1,23,2xlnfgrl6r18ftv38unwp7h4s,1,31.7,35.4,2023-02-13T19:03:00.059Z,2023-02-13T19:03:02Z,4031208721,140,35.4,4031208717,56,Back,4031208733,213,4.9,4031208729,212,20.0,4031208725,141,6.5,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531521,15,1,1,1,25,2xlnfgrl6r18ftv38unwp7h4s,1,35.3,6.5,2023-02-13T19:03:02.362Z,2023-02-13T19:03:05Z,4031208771,213,2.1,4031208763,56,Back,4031208769,212,21.0,4031208767,141,32.5,4031208765,140,24.5,,,,,,,,,,8tukt8jsmzkblxxs5w85x4dii,D. Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531539,16,1,1,1,28,2xlnfgrl6r18ftv38unwp7h4s,1,25.4,31.8,2023-02-13T19:03:05.226Z,2023-02-13T19:03:10Z,4031208845,212,20.1,4031208843,141,61.2,4031208839,56,Back,4031208841,140,23.1,4031208847,213,1.7,,,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531563,17,1,1,1,33,2xlnfgrl6r18ftv38unwp7h4s,1,23.1,61.2,2023-02-13T19:03:10.074Z,2023-02-13T19:03:14Z,4031208957,213,1.0,4031208951,140,31.2,4031208949,56,Back,4031208953,141,79.0,4031208955,212,14.8,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531587,18,1,1,1,38,2xlnfgrl6r18ftv38unwp7h4s,1,38.3,85.6,2023-02-13T19:03:14.714Z,2023-02-13T19:03:40Z,4031209073,141,63.3,4031209075,212,18.8,4031209069,56,Back,4031209077,213,4.1,4031209071,140,27.7,,,,,,,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531623,19,1,1,1,41,2xlnfgrl6r18ftv38unwp7h4s,1,28.6,60.8,2023-02-13T19:03:17.818Z,2023-02-13T19:03:24Z,4031209185,56,Back,4031209187,140,34.8,4031209189,141,79.3,4031209193,213,1.1,4031209191,212,14.2,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531629,20,1,1,1,47,2xlnfgrl6r18ftv38unwp7h4s,1,50.7,82.7,2023-02-13T19:03:24.474Z,2023-02-13T19:03:26Z,4031209215,212,20.0,4031209209,56,Left,4031209213,141,89.6,4031209217,213,0.2,4031209211,140,69.2,,,,,,,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531653,21,1,1,1,49,2xlnfgrl6r18ftv38unwp7h4s,1,69.2,89.6,2023-02-13T19:03:25.994Z,2023-02-13T19:03:29Z,4031209321,141,97.4,4031209325,213,2.2,4031209323,212,6.8,4031209319,140,65.2,4031209317,56,Left,,,,,,,,,,8npu0cbqjrhwv5km1w29kh016,S. Colyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531675,22,1,1,1,53,2xlnfgrl6r18ftv38unwp7h4s,1,69.9,79.7,2023-02-13T19:03:29.594Z,2023-02-13T19:03:33Z,4031209459,213,4.0,4031209457,212,11.3,4031209451,56,Center,4031209453,140,63.0,4031209455,141,66.9,,,,,,,,,,e1islmeew98wa2ge0dicloay2,J. Seelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531683,23,1,1,1,56,2xlnfgrl6r18ftv38unwp7h4s,1,63,65.8,2023-02-13T19:03:33.194Z,2023-02-13T19:13:17Z,4031209501,213,4.7,4031209495,140,63.9,4031209497,141,14.6,4031209499,212,34.8,4031209493,56,Right,4031209503,1,,,,,,,,cla6c6izphee9prb80c15baei,M. Tielemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531687,24,1,1,1,58,2xlnfgrl6r18ftv38unwp7h4s,0,63.6,14.3,2023-02-13T19:03:34.730Z,2023-02-13T19:03:36Z,4031209525,212,15.0,4031209527,213,0.5,4031209523,141,25.5,4031209519,56,Center,4031209521,140,75.9,,,,,,,,,,d9ewnngnsfc0s4hcs282hayhg,L. Comenencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531691,12,49,1,1,59,e8hiwrw6ocxm5iht6sp7jiv19,1,26.1,78.2,2023-02-13T19:03:35.554Z,2023-02-13T19:03:35Z,,,,,,,,,,,,,,,,,,,,,,,,,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507531723,13,1,1,2,0,e8hiwrw6ocxm5iht6sp7jiv19,1,28.3,85.4,2023-02-13T19:03:37.041Z,2023-02-13T19:03:40Z,4031209657,140,31.4,4031209663,213,1.0,4031209659,141,93.6,4031209661,212,6.5,4031209655,56,Back,,,,,,,,,,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
