id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2484898271,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-11-12T18:31:26.646Z,2022-11-12T19:03:51Z,3912028303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912028311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912028295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3912028293,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 11ngumxajbizagbzpm5kompxx, zihddqvp0sjni8stcio8bgmh, 8hjakiipmhtwr07v6h0d414gl, 42lgdybjew0zrd18mmwwcpbhm, egmubn4rsudpbk05qfv2qlvit, 48wvdjjo0z1j2bac42n9t5jv9, 8im7pgnph2au11blma5pewe09, 1xblfsj8ec5jp17vnhibrk2jt, 2rlckdzkm4d6dsqwutkvhm95h, 3hax3hy9n2wyp1ovvhd6zdk6i, cyquj9h6hjwbyp0b68b149qfo, 2gfp8pe55n7oa0mcu5ygi54a, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, eaaxvzqox27ea3u2j9d6gcd90, 1icurh5jrnw1e6jdgqxjnhdnu",3912140659,197,17171,3912028297,59,"1, 2, 17, 29, 3, 20, 10, 22, 8, 9, 33, 4, 5, 6, 7, 14, 15, 18, 21, 23, 27, 30",3912028299,130,2,3912028309,194,2psxvq4l1g9fzgt00cfks96fp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484898335,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-11-12T18:31:32.235Z,2022-11-12T19:19:30Z,3912028653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912028641,59,"21, 44, 20, 10, 4, 3, 6, 8, 9, 26, 7, 1, 5, 11, 14, 15, 17, 23, 27, 29, 31, 36",3912028649,194,c9shc6t28oroqthopifjvg9ux,3912028639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3912138545,197,536,3912028637,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, c9pmoa9m23jh5emy6w4olm3xm, 7to5mb4x91kjhbd9tb0nqz74l, 8tepha2kd43sp9jtafxuf209h, 7f7zwd6c14rr59u9al3naenkl, 49xsd6e4oyjrhtwsdbdm4rj84, 4qj88r9cjfbu05ly92vfhpi39, c9shc6t28oroqthopifjvg9ux, 3epda2hg43s8uxvf9xno74d4a, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, ma3my4q4wln06xyl1z3v9fmy, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 1s50ua48peo4wd0o7unmps06h, 2wuprdfbbn9mo0paqr5tm7bop, bgzkdepav40x6focwuaf9qxre, 2ngb4008t58dvor5qnh1nj6ga, 6eccwl9cpgmq7pp6d90lbi6wa",3912028645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912028643,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918451,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-11-12T19:02:09.147Z,2022-11-12T19:02:10Z,3912145247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918419,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-11-12T19:02:09.147Z,2022-11-12T19:02:09Z,3912145097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918499,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,49.8,50,2022-11-12T19:02:09.247Z,2022-11-12T19:02:13Z,3912145467,213,3.2,3912145461,140,26.6,3912145469,279,S,3912145463,141,47.0,3912145459,56,Back,3912145465,212,24.4,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918579,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,1,28.4,48.2,2022-11-12T19:02:13.368Z,2022-11-12T19:02:19Z,3912145901,213,0.4,3912145891,157,,3912145897,141,86.0,3912145899,212,59.6,3912145893,56,Left,3912145903,1,,3912145895,140,79.6,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918591,5,44,1,0,8,b94pf87be9ojdgnrs5mst80un,1,77.4,83.4,2022-11-12T19:02:17.232Z,2022-11-12T19:02:20Z,3912145963,233,3,3912145943,56,Left,3912145945,286,,,,,,,,,,,,,,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918551,3,44,1,0,8,7rmv5ns2rj7bn4otpkur0mx0x,0,22.6,16.6,2022-11-12T19:02:17.233Z,2022-11-12T19:02:20Z,3912145757,56,Back,3912146007,233,5,3912145759,285,,,,,,,,,,,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918583,4,49,1,0,10,7rmv5ns2rj7bn4otpkur0mx0x,1,6.3,3.5,2022-11-12T19:02:19.457Z,2022-11-12T19:02:19Z,,,,,,,,,,,,,,,,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918623,6,1,1,0,10,b94pf87be9ojdgnrs5mst80un,0,79.6,86,2022-11-12T19:02:19.655Z,2022-11-12T19:02:21Z,3912146099,56,Left,3912146107,213,6.1,3912146101,140,92.9,3912146097,3,,3912146103,141,82.7,3912146105,212,14.1,,,,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918695,5,1,1,0,11,7rmv5ns2rj7bn4otpkur0mx0x,1,5.4,2,2022-11-12T19:02:21.026Z,2022-11-12T19:02:25Z,3912146453,1,,3912146451,213,0.0,3912146449,212,31.7,3912146447,141,4.3,3912146441,157,,3912146445,140,35.6,3912146443,56,Back,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918759,6,1,1,0,16,7rmv5ns2rj7bn4otpkur0mx0x,1,35.6,4.3,2022-11-12T19:02:25.329Z,2022-11-12T19:02:28Z,3912146747,140,24.3,3912146749,141,17.6,3912146753,213,2.5,3912146751,212,14.9,3912146745,56,Back,,,,,,,,,,3epda2hg43s8uxvf9xno74d4a,A. van der Heide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918773,7,1,1,0,19,7rmv5ns2rj7bn4otpkur0mx0x,0,29.2,2.9,2022-11-12T19:02:28.497Z,2022-11-12T19:02:29Z,3912146823,56,Back,3912146833,213,0.4,3912146831,212,23.6,3912146827,140,49.6,3912146829,141,17.4,,,,,,,,,,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918787,7,8,1,0,21,b94pf87be9ojdgnrs5mst80un,1,55.2,79.6,2022-11-12T19:02:30.343Z,2022-11-12T19:02:30Z,3912146895,56,Left,,,,,,,,,,,,,,,,,,,,,,11ngumxajbizagbzpm5kompxx,M. Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918833,8,1,1,0,22,7rmv5ns2rj7bn4otpkur0mx0x,1,31.5,17,2022-11-12T19:02:31.521Z,2022-11-12T19:02:33Z,3912147107,56,Back,3912147109,140,41.5,3912147113,212,18.2,3912147115,213,1.0,3912147111,141,38.8,,,,,,,,,,4qj88r9cjfbu05ly92vfhpi39,N. Vossebelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918885,9,1,1,0,24,7rmv5ns2rj7bn4otpkur0mx0x,1,41.5,39.7,2022-11-12T19:02:33.441Z,2022-11-12T19:02:37Z,3912147385,213,2.6,3912147383,212,24.1,3912147377,56,Back,3912147379,140,21.5,3912147381,141,57.0,,,,,,,,,,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918911,10,1,1,0,27,7rmv5ns2rj7bn4otpkur0mx0x,1,21.7,60.3,2022-11-12T19:02:37.040Z,2022-11-12T19:02:39Z,3912147515,212,11.4,3912147513,141,73.2,3912147509,140,28.6,3912147517,213,0.9,3912147505,56,Back,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484918945,11,1,1,0,29,7rmv5ns2rj7bn4otpkur0mx0x,1,28.6,73.2,2022-11-12T19:02:38.912Z,2022-11-12T19:02:41Z,3912147711,212,13.5,3912147705,56,Back,3912147707,140,40.4,3912147713,213,5.9,3912147709,141,65.4,,,,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919001,12,1,1,0,32,7rmv5ns2rj7bn4otpkur0mx0x,1,38.9,70.2,2022-11-12T19:02:41.200Z,2022-11-12T19:02:44Z,3912147931,56,Left,3912147937,212,25.2,3912147939,213,0.8,3912147933,140,55.4,3912147935,141,97.2,,,,,,,,,,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919025,13,1,1,0,35,7rmv5ns2rj7bn4otpkur0mx0x,1,55.8,97.1,2022-11-12T19:02:44.288Z,2022-11-12T19:02:46Z,3912148047,140,34.6,3912148049,141,86.0,3912148053,213,3.5,3912148045,56,Back,3912148051,212,23.5,,,,,,,,,,bzsoq42nf6sgdh9oe64n7rnfu,B. Limbombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919065,14,1,1,0,37,7rmv5ns2rj7bn4otpkur0mx0x,1,34.8,83.8,2022-11-12T19:02:46.400Z,2022-11-12T19:02:49Z,3912148237,1,,3912148231,141,34.8,3912148233,212,33.6,3912148235,213,4.6,3912148227,56,Back,3912148229,140,30.8,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919081,15,1,1,0,40,7rmv5ns2rj7bn4otpkur0mx0x,1,30.8,31.9,2022-11-12T19:02:49.248Z,2022-11-12T21:29:32Z,3912148321,140,33.6,3912148327,213,4.9,3912148323,141,4.1,3912148325,212,19.1,3912148319,56,Back,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919097,16,1,1,0,41,7rmv5ns2rj7bn4otpkur0mx0x,0,33.7,4.7,2022-11-12T19:02:50.544Z,2022-11-12T19:02:51Z,3912148409,212,32.3,3912148413,1,,3912148407,141,32.2,3912148405,140,58.8,3912148411,213,0.6,3912148403,56,Center,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919125,8,49,1,0,43,b94pf87be9ojdgnrs5mst80un,1,47.3,70.2,2022-11-12T19:02:52.887Z,2022-11-12T19:02:52Z,,,,,,,,,,,,,,,,,,,,,,,,,11ngumxajbizagbzpm5kompxx,M. Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919205,9,1,1,0,45,b94pf87be9ojdgnrs5mst80un,1,54.3,80.6,2022-11-12T19:02:55.014Z,2022-11-12T19:02:59Z,3912148951,212,10.8,3912148945,56,Left,3912148953,213,1.5,3912148949,141,96.5,3912148947,140,55.0,,,,,,,,,,11ngumxajbizagbzpm5kompxx,M. Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919211,10,3,1,0,49,b94pf87be9ojdgnrs5mst80un,0,63.2,96.3,2022-11-12T19:02:58.903Z,2022-11-12T19:02:59Z,3912148999,211,,3912148983,56,Left,3912148985,286,,,,,,,,,,,,,,,,,1xblfsj8ec5jp17vnhibrk2jt,G. Bosiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919251,17,4,1,0,50,7rmv5ns2rj7bn4otpkur0mx0x,1,33.6,3,2022-11-12T19:02:59.824Z,2022-11-12T19:03:02Z,3912149255,233,11,3912149259,286,,3912149201,13,,3912149207,152,,3912149203,294,,3912149205,56,Back,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919255,11,4,1,0,50,b94pf87be9ojdgnrs5mst80un,0,66.4,97,2022-11-12T19:02:59.825Z,2022-11-12T19:03:03Z,3912149229,152,,3912149227,56,Left,3912149225,294,,3912149223,13,,3912149231,285,,3912149277,233,17,,,,,,,1xblfsj8ec5jp17vnhibrk2jt,G. Bosiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484919325,18,1,1,0,56,7rmv5ns2rj7bn4otpkur0mx0x,1,29.9,5.6,2022-11-12T19:03:05.889Z,2022-11-12T19:03:07Z,3912149605,141,19.7,3912149607,212,12.1,3912149601,140,22.8,3912149609,213,2.2,3912149587,5,,3912149591,152,,3912149597,56,Back,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
