id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2510443405,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-02-20T18:05:55.186Z,2023-02-20T19:00:21Z,4046602851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046602847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046602843,59,"1, 8, 2, 24, 15, 16, 10, 32, 39, 20, 18, 26, 28, 3, 14, 17, 21, 23, 31, 36, 41",4046602841,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4046602849,194,6nd0ifv6ljza9nauxcpejqzft,4046684135,197,490,4046602839,30,"8jml2tgzk1am30cy4gkgx0wd1, 4j9ug0ng9dhx6xwhdwx6fafx0, bdb33nwcpd2jufn9ggtl7gvzd, 4mhahoh3a6rir882ug9hdb5nu, 5fcaaack3wbn6nfdx1qoqoafp, 5gunbyh0bjzutryox97ihxot1, 6nd0ifv6ljza9nauxcpejqzft, 4nkd85hpwiiqtieuslhcrc2ga, cgsirikez39wlx8lhu1uo00yd, rxblyjf8pcsdgdvy24zgnefp, 3xza88l7s8dlki9kleqwz2puy, cjff8fu812lennnunqljgddnu, c066582sb3qfs7c0472rw371m, d5g7rl9a83vu3cyyzvu5yveqy, 41es2x265ddlzqjqa6wb9vey2, 5v3sd56kh9pmvzk6wczhs9o4q, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 1olyaqfnnl0sb4vsfxyi7j2z9, 8gkh6rsfo2tsrsiirv05bm1yi, 7axjsuhjx027j0qw89zv6vw2c",4046602845,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510444191,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-02-20T18:08:13.981Z,2023-02-20T19:03:13Z,4046683921,197,2842,4046607621,130,8,4046607619,59,"1, 2, 5, 8, 3, 14, 11, 6, 10, 7, 9, 17, 15, 16, 25, 21, 23, 18, 31, 24, 19, 12",4046607617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4046607623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046607627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4046607615,30,"ebqj8v33xv3otev2pycc6xomh, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, 1s6yn52hlqtmmz4lerscf457u, 2tu58roj0u0vpaqcaz266a415, c3mpk7pjhma4lwkjl8v5mhox6, 5nhideyjwp2347ryi1n9wfq50, c2d9oidweb7cj1g39jwuugro4, d7ml58kwwpetvnw46qja9ru5m, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, enyk37znns1ie2djrh4y3uck4, asvxbmdd5j5tlz2fo1jpcrrx0, deb7ysp5fwiouttlarstuxgyc, ah3d8xugrx3pqaqxcmg06iyok, a6vduk9b8pcf250he49x1vitw, 721sqdm51rybsfytf68tagq38, ed5sclhs7op7a2mdvetub4dwq, et56bifus2obkmtcwzhqpzxn8, 1kuswan9lk455u02x1ff389re, dodkgckgbecal0vivr1jf0hzo, 81lcssd0e5g5rerdpyjlrkkyc",4046607625,194,c3akpx5mnexpkslo0sqqezsru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458937,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-02-20T19:01:42.758Z,2023-02-20T19:01:42Z,4046685063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458947,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-02-20T19:01:42.758Z,2023-02-20T19:01:45Z,4046685101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458951,3,1,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,49.9,50,2023-02-20T19:01:42.858Z,2023-02-20T19:01:46Z,4046685115,140,25.6,4046685119,212,25.6,4046685121,213,3.1,4046685123,279,S,4046685113,56,Back,4046685117,141,52.8,,,,,,,rxblyjf8pcsdgdvy24zgnefp,E. Ómarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458959,4,1,1,0,3,59t7flioj4w4mpwnrwbm0m8ck,1,25.6,52.8,2023-02-20T19:01:46.650Z,2023-02-20T19:01:50Z,4046685165,1,,4046685161,212,48.6,4046685163,213,5.5,4046685155,56,Right,4046685159,141,4.0,4046685153,155,,4046685157,140,59.4,,,,5fcaaack3wbn6nfdx1qoqoafp,C. Martina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458963,5,1,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,1,65.4,4.6,2023-02-20T19:01:50.649Z,2023-02-20T19:01:53Z,4046685175,56,Right,4046685183,213,0.3,4046685181,212,19.5,4046685177,140,83.2,4046685179,141,12.6,,,,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458969,6,1,1,0,10,59t7flioj4w4mpwnrwbm0m8ck,1,83.2,12.6,2023-02-20T19:01:53.065Z,2023-02-20T19:01:55Z,4046685211,140,81.5,4046685217,213,1.9,4046685213,141,20.4,4046685215,212,5.6,4046685209,56,Right,,,,,,,,,,cgsirikez39wlx8lhu1uo00yd,T. Boere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458971,7,1,1,0,12,59t7flioj4w4mpwnrwbm0m8ck,1,87.8,18.2,2023-02-20T19:01:55.514Z,2023-02-20T19:13:59Z,4046685233,213,1.8,4046685221,2,,4046685229,141,31.6,4046685227,140,85.5,4046685231,212,9.4,4046685225,56,Center,,,,,,,4j9ug0ng9dhx6xwhdwx6fafx0,E. Banzuzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510458983,8,61,1,0,16,59t7flioj4w4mpwnrwbm0m8ck,1,86.8,44.2,2023-02-20T19:01:59.212Z,2023-02-20T19:14:30Z,4046685277,56,Center,,,,,,,,,,,,,,,,,,,,,,rxblyjf8pcsdgdvy24zgnefp,E. Ómarsson,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
