id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2484289551,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-11-11T18:11:09.634Z,2022-11-11T19:03:55Z,3908850861,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 3p95pudljhqzrnegmko7z56uh, alimpjocr7xtxu21sumg3b2l1, a69sa0h7lgpmlav961cpejbe2, 40l3vtezw1ofwk2occi4z5w45, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, d6rg9ntx9qa2eh8yiflbke1ux, 3jyb1qtjsf7li8zunui2qpq3u, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 5et3jsqqhg08ykfqgdniq8fhm, 4o1150mpv9nz55cwj9b0vblk9, 2aaznohtrdkfpf446r3m5itey, 6xxqoump892rybgmvw743p4ic, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje",3908926477,197,917,3908850865,59,"1, 17, 5, 16, 4, 2, 8, 13, 9, 23, 7, 3, 6, 10, 11, 12, 14, 19, 21, 22, 24, 29, 30",3908850873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908850869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908850863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908850867,130,8,3908850871,194,alimpjocr7xtxu21sumg3b2l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484292113,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-11-11T18:18:07.245Z,2022-11-11T21:23:20Z,3908863863,130,8,3908863859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908863867,194,1l34qvjvar8qec3kbrg4rew2d,3908925975,197,1504,3908863861,59,"1, 13, 25, 8, 3, 6, 14, 10, 9, 32, 11, 46, 5, 7, 18, 19, 21, 22, 23, 24, 27, 36, 42",3908863857,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 1l34qvjvar8qec3kbrg4rew2d, 9hz7j1p4f0d2hxyz2bdkbyk0l, 8cox96ikk1k4c24f0y5ef45x, amasl6wz90pv9kkbx3kihj7bp, 75o7fx1uwk6pavxbnqqx28y51, 5i0e7e59vav8ynqzt7qrvitt6, 7dw3mexdcnel375y16vfl0g2y, 88csh50wwpanzfdvu7ia3x1ih, 2e3xge66bzxtyj88sw7gdi4us, daz1m0r5u8f0085jv25bdnoid, bw7s1zgz97p8szhn4shwkx2w9, 35uvcvkv4nd0jbsov3xosjsut, b9apqidquztaojf6e3my6v7bp, ckx9rplhgmncmcxs0a1z7n6qd, bhn0paq89a5keakgitoyn2hw4, 47autoxmcbr5z7o6d8998esph, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 39f4hnokkp81ucrkx5bo5sjdg, f4rb3nes422yxsznjzwx0kwlw",3908863865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908863869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304831,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-11-11T19:01:29.640Z,2022-11-11T19:01:29Z,3908930329,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304839,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-11-11T19:01:29.640Z,2022-11-11T19:01:32Z,3908930353,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304849,3,1,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,50,49.7,2022-11-11T19:01:29.742Z,2022-11-11T19:53:32Z,3908930397,56,Back,3908930413,212,13.4,3908930423,279,S,3908930407,141,61.8,3908930419,213,2.5,3908930403,140,39.9,,,,,,,7dw3mexdcnel375y16vfl0g2y,J. Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304911,4,1,1,0,6,bk5ltsueqmeng29eovd8m2tml,0,30.5,54.8,2022-11-11T19:01:36.312Z,2022-11-11T19:09:50Z,3908930703,141,80.6,3908930707,213,0.3,3908930697,155,,3908930699,56,Left,3908930701,140,78.8,3908930709,1,,3908930705,212,53.7,,,,9hz7j1p4f0d2hxyz2bdkbyk0l,F. Heerkens,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304927,3,1,1,0,9,cv5ftekuejf0ryxvd5h2my47r,0,26.8,16.1,2022-11-11T19:01:39.167Z,2022-11-11T19:01:40Z,3908930763,3,,3908930767,140,35.4,3908930771,212,10.7,3908930765,56,Back,3908930773,213,0.6,3908930769,141,24.6,,,,,,,qgusrrldd48qxku8yna03ap5,K. de Boer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304951,5,50,1,0,12,bk5ltsueqmeng29eovd8m2tml,1,64.5,75.2,2022-11-11T19:01:42.605Z,2022-11-11T19:01:44Z,3908930911,286,,3908930973,233,4,3908930909,56,Center,,,,,,,,,,,,,,,,1l34qvjvar8qec3kbrg4rew2d,Pol Llonch,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304961,4,7,1,0,12,cv5ftekuejf0ryxvd5h2my47r,1,35.5,24.8,2022-11-11T19:01:42.606Z,2022-11-11T19:49:18Z,3908930969,233,5,3908930945,285,,3908930943,56,Back,,,,,,,,,,,,,,,,a69sa0h7lgpmlav961cpejbe2,D. Huisman,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304965,5,49,1,0,13,cv5ftekuejf0ryxvd5h2my47r,1,39.7,23.1,2022-11-11T19:01:43.182Z,2022-11-11T19:49:21Z,,,,,,,,,,,,,,,,,,,,,,,,,a69sa0h7lgpmlav961cpejbe2,D. Huisman,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484304971,6,1,1,0,14,cv5ftekuejf0ryxvd5h2my47r,1,39.2,21.6,2022-11-11T19:01:43.806Z,2022-11-11T19:49:24Z,3908931015,213,3.6,3908931011,141,11.6,3908931007,56,Back,3908931013,212,15.0,3908931009,140,26.5,,,,,,,,,,a69sa0h7lgpmlav961cpejbe2,D. Huisman,,,,,,,,,,,,,,,,,,,,,,,,,,,
