id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/16/value
2531623157,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0,0,2023-04-10T11:36:25.026Z,2023-04-10T12:31:11Z,4179576025,197,5289,4179576015,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4179576023,194,52vsiwiaphq4xtgpsqy48dzp,4179576013,30,"2kaqdxzo9y5n7c4zipsnayxn9, 1ncet6wg9tne9oif8vkgsc8kq, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, bx5qa3vn26qdi3mr2ckt1wmw9, 9hg60gdc7h6dwo1qi4c7pc9nt, 97pv7d7lbkovwn9gcpf0tpnmx, dlgueejo95xoqfugtpgc3i2nd, a8opuarwq9byw73nhfgvo9nca, 5k2hgogp2g5ivgdnq99ejp27e, 52vsiwiaphq4xtgpsqy48dzp, 22b36b6injrhmx386pk0q5oet, 1jp22ouky3tqtk04bvbfao7l6, 9utpsxqh8654yuyk4a5rx15ux, 7b63i2sks616o2xjiqtcdd756, 6rlri1tk9p3sk79r16owqw74k, 5t58neiqhud2d4h64owu8fwiy, bwzftrovpa0418aapl98og7l6, azcq4fv6zcfzasm9do7rmxppm, 8cjgce68a2vla1ebamgac4nx0",4179576021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179576017,59,"1, 32, 19, 23, 15, 2, 18, 10, 80, 17, 7, 5, 6, 8, 11, 16, 22, 24, 29, 39",4179576027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179576019,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531623471,1,34,16,0,0,bsykw9d70ffqe9atosc92n1e9,1,0,0,2023-04-10T11:36:53.209Z,2023-04-10T13:44:45Z,4179577527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4179577539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179577537,197,8051,4179577529,59,"30, 2, 20, 8, 5, 4, 14, 21, 9, 29, 10, 1, 3, 7, 15, 16, 17, 18, 27, 28",4179577535,194,bjqtzq0xcvtmbn54orj7rn5xx,4179577533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179577525,30,"2o5etqath4k9qaliho4op0hd5, aeq6jlhgxpnkywoc20kp8tvu2, 6o1kdj6orb69f9ilwimxlprvu, eyq4y2syfou2qo5a795rmjhpm, 4iqkcwtg7gw8r22x27k4d49hw, 28foaur1tv999b2t8t0no9aeh, c18ruk8qqfggqv7s0mzyq6yhg, 115owbh8c39gfwcja2wxuweay, 7w9hhlq31pw5r4xwrjtk6yrbp, 60xm53o64nszavcsgfu5xzjyt, bjqtzq0xcvtmbn54orj7rn5xx, cktx8pichvlnbdxizrosxckph, 8csmi6krrz8ju4085n6dgekt1, abz6occh9zmu2tcsejm5uiyg9, c5487d4s89hhsne317nbsvdh, 3zuh395w50880ztwfafqisrmd, bnjysriuqd4qe0fmh2ld8yk2c, 894tj8rg0i6kl4zvlok803949, b82n3xu4x2xwjl1witk6w7mc5, 4z3w46k9n0yocg319dcewwz8q",4179577531,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659889,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0,0,2023-04-10T12:30:13.451Z,2023-04-10T12:30:16Z,4179768643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659887,2,32,1,0,0,bsykw9d70ffqe9atosc92n1e9,1,0,0,2023-04-10T12:30:13.451Z,2023-04-10T12:30:13Z,4179768617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659895,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.3,50.5,2023-04-10T12:30:13.597Z,2023-04-10T13:19:44Z,4179768675,212,21.8,4179768679,279,S,4179768677,213,3.1,4179768669,56,Back,4179768673,141,52.6,4179768671,140,29.6,,,,,,,5k2hgogp2g5ivgdnq99ejp27e,Í. Þorvaldsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659915,4,1,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,1,34.6,52.8,2023-04-10T12:30:16.043Z,2023-04-10T13:19:55Z,4179768769,56,Center,4179768777,213,0.0,4179768771,140,50.1,4179768775,212,16.3,4179768773,141,53.7,,,,,,,,,,52vsiwiaphq4xtgpsqy48dzp,M. Henriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659923,5,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,1,50.1,53.7,2023-04-10T12:30:16.819Z,2023-04-10T12:30:17Z,4179768825,141,60.2,4179768829,213,2.5,4179768827,212,7.8,4179768823,140,44.0,4179768821,56,Back,,,,,,,,,,5k2hgogp2g5ivgdnq99ejp27e,Í. Þorvaldsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531659993,6,1,1,0,4,c7jgkxx1czv5etn7snf1r6p2m,1,44,60.2,2023-04-10T12:30:17.772Z,2023-04-10T13:20:20Z,4179769215,212,42.1,4179769213,141,14.6,4179769211,140,71.1,4179769207,155,,4179769219,1,,4179769209,56,Right,4179769217,213,5.5,,,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660001,7,1,1,0,9,c7jgkxx1czv5etn7snf1r6p2m,0,83.6,8.8,2023-04-10T12:30:23.283Z,2023-04-10T12:30:40Z,4179769255,56,Right,4179769455,286,,4179769253,155,,4179769449,236,,4179769251,2,,4179769261,212,2.9,4179769259,141,12.2,4179769451,233,3,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,4179769257,140,85.3,4179769263,213,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660023,3,12,1,0,9,bsykw9d70ffqe9atosc92n1e9,1,19.7,89.3,2023-04-10T12:30:23.383Z,2023-04-10T12:30:25Z,4179769419,185,,4179769475,233,7,4179769421,56,Back,,,,,,,,,,,,,,,,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
