id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2473130387,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-16T16:48:12.381Z,2022-10-16T18:11:03Z,3850101707,130,4,3850101711,194,6m2pk6odyb3atayt6u8cifahh,3850101713,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850101709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850101703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850101705,59,"22, 19, 3, 4, 2, 17, 6, 23, 9, 7, 10, 1, 5, 11, 16, 18, 20, 21, 25, 26, 29, 35",3850101701,30,"7w5ivtmbqzi4hfte330r1a505, 29m8py8czo6w0zf2arwolirjd, 4jqgl7x5ewke1u0sy2cbkqfhl, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 3kx4mltrob4yta5g6kr2u8ic5, baakmd4ndnulbl9npvmq90mvp, 7joybllup4h9oe6zfhcepjy6t, 9c2i7ddl2uh7kuhwq62klkyui, 6hrp4zuxh40i3tccmk5s0j5xx, 6m2pk6odyb3atayt6u8cifahh, a91pmdnyzx1i7vx3l19hj4jx1, dafbvyorudvujxw7zswicykmh, 8ty68f4i1lwjdktycd2oy5a6t, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, p7vw4thx5wzo49h6hfabcq5m, 1ekkj2b713kjnugsk4dz50q1h, 47l204bkq2qqjhtazusr0019m, 2zkaf848fjcdhuii8783pkm7e, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3850382841,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473139051,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-10-16T17:00:01.191Z,2022-10-16T18:04:40Z,3850144759,30,"am19rcub89k9bleldiqps7845, cvw6enlkjfnrtysck783raf6y, 6db1q8hud1d8u2q3lxzfixzze, 8znaym62oghri26gdn8o6fz84, 934ldgpefo90za10cq49k0o6i, 3r6elcuru7no13hrfczmwbmy1, 6jhavdnaitqn6ydme8a526aui, f07qmqesi1rpw7eapoz9rb0gk, 5zwa237gtyf2mlrmo7tlkqnoq, a46irqckxabod18j2c0qfixre, 7y0acvcg9km8dz51t5ndy23md, 1wf757j0e3v3bdpbc9z2tav3d, 9aj2e1c30c8i3h6iff0k4dmac, bhkrpr3gxc5xx0b0dinla5muh, 36q7nfs7t68aeg3z54rnr31pm, 4w7a5n358oifbqkyftop0rtka, 2r0rasrm8fxczvujua8a8r1m1, 89dofd1p8ftdgy1u8jlyi58lx, 51tih9z7sxlb4vj3j7tm1ewgl, 3fvaph4p7n0i1nwhhtlpayzh0",3850364075,197,1517,3850144763,59,"1, 24, 28, 34, 4, 2, 14, 33, 9, 8, 29, 5, 6, 7, 10, 11, 17, 18, 22, 38",3850144769,194,934ldgpefo90za10cq49k0o6i,3850144761,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850144765,130,11,3850144767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850144771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183083,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2022-10-16T18:01:41.812Z,2022-10-16T18:01:41Z,3850381421,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183215,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-10-16T18:01:41.812Z,2022-10-18T06:38:29Z,3850382041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183123,3,1,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,50.3,49.6,2022-10-16T18:01:41.848Z,2022-10-18T06:54:02Z,3850381597,212,26.1,3853265975,178,,3850381599,213,3.7,3850381593,140,28.7,3850381601,279,S,3850381591,56,Back,3850381595,141,30.7,,,,a46irqckxabod18j2c0qfixre,K. Goudmijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183131,4,1,1,0,2,dqk062lu0vm8epvytbm6r4mmf,0,28.2,29.6,2022-10-16T18:01:44.593Z,2022-10-18T06:54:06Z,3850381647,56,Back,3853266017,178,,3850381653,212,3.5,3850381651,141,32.5,3850381655,213,0.6,3850381649,140,31.0,3850381645,155,,,,,3r6elcuru7no13hrfczmwbmy1,S. Horemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183233,3,61,1,0,2,d0zdg647gvgc95xdtk1vpbkys,1,69,59.7,2022-10-16T18:01:44.704Z,2022-10-18T06:54:11Z,3853266073,388,,3850382125,56,Center,,,,,,,,,,,,,,,,,,,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183239,4,5,1,0,6,d0zdg647gvgc95xdtk1vpbkys,0,101.2,79.6,2022-10-16T18:01:48.647Z,2022-10-18T06:54:16Z,3850382149,56,Left,3850382549,233,5,3850382151,346,,,,,,,,,,,,,,,,,9c2i7ddl2uh7kuhwq62klkyui,B. Brobbey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183185,5,5,1,0,6,dqk062lu0vm8epvytbm6r4mmf,1,-1.2,20.4,2022-10-16T18:01:48.647Z,2022-10-18T06:54:16Z,3850381899,346,,3850381897,56,Back,3850382513,233,4,,,,,,,,,,,,,,,,cvw6enlkjfnrtysck783raf6y,N. Markelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473183427,6,1,1,0,29,dqk062lu0vm8epvytbm6r4mmf,0,4.3,43.3,2022-10-16T18:02:11.656Z,2022-10-18T06:54:20Z,3850383163,213,6.1,3850383169,74,,3850383159,141,30.1,3850383153,124,,3850383161,212,61.8,3850383165,1,,3850383155,56,Center,3850383157,140,62.5,am19rcub89k9bleldiqps7845,S. van Gassel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
