id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/13/value
2455701913,1,34,16,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-09-04T11:33:44.868Z,2022-09-04T12:26:37Z,3757361571,59,"44, 27, 7, 3, 5, 4, 33, 26, 17, 9, 10, 29, 1, 6, 8, 13, 15, 19, 22, 23, 34",3757361575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757361577,194,9hvw1v4douz0kst032a9l853p,3757361567,30,"awih1xkabe5o6afn6d85ilxw5, etzj9ltadjsvkmahib7hor90q, 8wb6zb0imo0295asm428cur55, axgbibg0wdlir6tsrru6rpwph, 1tj9gmnm02s8f12zwzvuwnoph, 9hvw1v4douz0kst032a9l853p, 7jtag81mvpom3bfgezx8txbdh, 7m3uhmmzizwmpk64dw750pn11, dc4n5ylytswddlvd82snkb90q, amvonu36at4dg7ksi1ioczi3u, aie09n600h7ozeg6zl6anithx, 3hpv677ua2y88yx55iujzqpgq, bpvq84v7wwz759mgykvsy3pat, 34258m1cvslz8r6d17nv4b90q, aqjwz3wm0it916o2vb5tz9vxl, 9hybzhhut4ac2xinqk7kzzpwp, 4swz47sf9k2qu5v001pnjz816, 60fbyywnjiz6l8n7gmi2mjld5, ejv587h08dn1hgxhfgib3reqy, 73k8ok0kpb9xb6yhpmfhzir55, 3o6woe2uh6754hw803v86l1t6",3757552017,197,482,3757361579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757361569,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757361573,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455702529,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-04T11:34:35.996Z,2022-09-04T12:28:13Z,3757364637,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757554665,197,493,3757364627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757364631,130,4,3757364625,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, 6dd248q0adq6su677bw2kk2c5, 5qvy65ckiigykkowpyco05zv9, 570htztcvfsu947xw6fvtzmc5, 61a5bh5xw947nv4mxx62gqaqx, a76yp8gkkg6frtuhh3d6l46i, 9p6nlczeycd0ai4dahjxnf8ph, 76n4eg1xu5qvf9bkwy4p8jsut, cudl1cjc8kxshfbhatms7aooa, enimk3ibb10vk3f8vrmmhq7oq, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, brij3tiox17hyfm63ulhg5sr9, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 8inyievyp1az6q3dtlkpynf56, 4fiks6jvfxzbs9k0s050vmfbo, 6h0fuh0aamz86pf25qebm0fvu, bqqq27wy9bk31ssgapksci4t1",3757364635,194,9p6nlczeycd0ai4dahjxnf8ph,3757364633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757364629,59,"22, 28, 24, 10, 4, 5, 71, 20, 19, 7, 16, 1, 2, 6, 8, 9, 11, 21, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455742903,2,32,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-09-04T12:32:43.767Z,2022-09-07T06:17:16Z,3757570225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455742911,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-04T12:32:43.767Z,2022-09-04T12:32:46Z,3757570257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455742945,3,1,1,0,0,4vd2t5schmvvufrfib7f2vjdf,1,50.2,50.4,2022-09-04T12:32:43.833Z,2022-09-07T06:28:18Z,3757570419,213,2.8,3757570413,140,25.5,3757570411,56,Back,3763586641,178,,3757570421,279,S,3757570415,141,64.0,3757570417,212,27.5,,,,aie09n600h7ozeg6zl6anithx,T. Halilović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455742993,4,1,1,0,3,4vd2t5schmvvufrfib7f2vjdf,1,25.5,64,2022-09-04T12:32:46.880Z,2022-09-07T06:28:19Z,3757570707,1,,3757570705,213,5.5,3757570701,141,4.7,3757570699,140,66.6,3757570697,56,Right,3757570703,212,59.1,3763586647,178,,3757570695,155,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743001,5,61,1,0,6,4vd2t5schmvvufrfib7f2vjdf,1,66.6,4.7,2022-09-04T12:32:50.282Z,2022-09-07T06:28:59Z,3757570737,56,Right,3763586929,388,,3763586927,15,,,,,,,,,,,,,,,,,dc4n5ylytswddlvd82snkb90q,S. van Hooijdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743065,4,5,1,0,7,8iawijq7s9s6d85mjz8wdslki,1,30.1,101.6,2022-09-04T12:32:51.443Z,2022-09-07T06:29:06Z,3757571091,233,6,3757571049,56,Back,3757571051,347,,,,,,,,,,,,,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743013,6,5,1,0,7,4vd2t5schmvvufrfib7f2vjdf,0,69.9,-1.6,2022-09-04T12:32:51.443Z,2022-09-07T06:29:06Z,3757570811,347,,3757571115,233,4,3757570809,56,Right,,,,,,,,,,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455742983,3,43,1,0,8,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-04T12:32:52.067Z,2022-09-04T12:32:55Z,3757570641,56,Back,3757571001,144,44,3757570643,285,0,,,,,,,,,,,,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743087,5,1,1,0,11,8iawijq7s9s6d85mjz8wdslki,1,30.2,100,2022-09-04T12:32:55.409Z,2022-09-07T06:29:16Z,3757571199,213,3.5,3757571201,1,,3757571193,140,10.6,3757571191,56,Back,3757571195,141,89.7,3757571197,212,22.0,3757571189,107,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
