id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,keyPass,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2518651937,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-03-11T19:14:23.654Z,2023-03-11T20:00:43Z,4090005305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4090005301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4090005297,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 20, 15, 14, 30, 18, 13, 17, 19, 16, 12",4090005293,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 8n9t52eeli3s39r8ujjhjt7je, 5gs7jd1eigk4jisxbr9a1yvp, ubuh5wgnl0o5bn3wirdmectm, 2nwthqvbk70e2qo35dgp35979, 6ovzd9akutufagsd8kmxmsei2, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, tgu7kztdu9azmvirwu8rrip6, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, 4cbhx91p3l265b2cejzd07gbu, 6vqc5d718gbqobb9o3a40jlqt, 673xny9ozqe978emdytscm5pm, c6i4usq34m3389rtbqptahrai, dficbkp6sp4kw7xihaxneozpx, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu, cixzy9hl7ks4maugc5zc9ievp",4090005299,130,8,4090189577,197,2359,4090005295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4090005303,194,5gs7jd1eigk4jisxbr9a1yvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518661529,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-11T19:25:27.904Z,2023-03-11T20:09:51Z,4090191263,197,16860,4090057143,194,4idru0svqcqjpi03b4jhqyd3p,4090057139,130,8,4090057133,30,"84yhv0iilunn0vllz1r5fe7l5, cgsmk5437f466uoqvol7devze, 5gyjq8tsjxk396qt4hqlwn3dh, 4ecptuxoyx485mmhrubuscgyd, 2ez3q7gik3lm5kp1cunfol52h, d8cxurdt9g5gezqlfwae7ooru, czh4r9efdbw4fvdux0enl127e, 98fjpfhrww2qdifsi8viybaol, b2uznyb9b8fxsy57450mbmwru, 4idru0svqcqjpi03b4jhqyd3p, dvof4p3jx1gi6i9uelbmudl62, d3qx3gwypipcl2azrj9ing9ud, 4212luiyivgvje1vm1ojieicq, eqjelc731e1xrp95bpysx0pka, 9bzwr8qhl6547tjrsjsity4x6, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, dotvgi9g50m2axfw4isamd1ck, 1txv3b9y7h3du9d5bbblg0vai, 3hhca66jtxt3c1iw10nfmhtnu, 45vh3c99keqayr9hj0r6x0ei2",4090057137,59,"16, 3, 32, 8, 6, 20, 42, 15, 9, 21, 17, 2, 10, 13, 14, 18, 22, 24, 26, 27, 33, 53",4090057145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4090057141,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4090057135,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687365,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-11T20:00:42.693Z,2023-03-11T20:00:42Z,4090197651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687369,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-03-11T20:00:42.693Z,2023-03-13T22:28:51Z,4090197667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687393,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50,50,2023-03-11T20:00:42.895Z,2023-03-14T02:37:24Z,4090197787,279,S,4090197783,212,4.5,4097130989,178,,4090197781,141,48.8,4090197785,213,3.3,4090197777,56,Back,4090197779,140,45.8,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687407,4,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,45.6,48.8,2023-03-11T20:00:43.654Z,2023-03-14T02:37:37Z,4097131073,178,,4090197873,213,3.0,4090197865,56,Back,4090197869,141,52.1,4090197867,140,31.5,4090197871,212,15.0,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687423,5,1,1,0,3,6hsriqr3ybvyg94w2k19oal50,1,31.5,52.1,2023-03-11T20:00:46.504Z,2023-03-14T02:37:46Z,4090197959,1,,4090197953,141,82.6,4090197947,56,Left,4090197957,213,0.5,4097131125,178,,4090197951,140,70.1,4090197955,212,45.5,4090197945,155,,2ez3q7gik3lm5kp1cunfol52h,D. Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687425,6,44,1,0,7,6hsriqr3ybvyg94w2k19oal50,1,70.6,82.8,2023-03-11T20:00:49.873Z,2023-03-14T12:04:43Z,4090197965,56,Left,4090198013,233,3,4090197967,286,,,,,,,,,,,,,,,,,dvof4p3jx1gi6i9uelbmudl62,K. Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687429,3,44,1,0,7,89w5c6pw7vn0dxypi61tt0g4k,0,29.4,17.2,2023-03-11T20:00:49.874Z,2023-03-14T02:37:57Z,4090197975,285,,4090198045,233,6,4090197973,56,Back,,,,,,,,,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687451,7,1,1,0,7,6hsriqr3ybvyg94w2k19oal50,0,69.9,83.1,2023-03-11T20:00:49.953Z,2023-03-14T12:04:43Z,4097131279,388,,4090198107,212,2.7,4090198103,140,71.9,4090198109,213,5.6,4092142871,168,,4090198099,3,,4090198101,56,Left,4090198105,141,80.6,dvof4p3jx1gi6i9uelbmudl62,K. Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687433,4,61,1,0,7,89w5c6pw7vn0dxypi61tt0g4k,1,28.8,17,2023-03-11T20:00:49.955Z,2023-03-14T02:38:12Z,4097131413,388,,4090197993,56,Back,4097131411,15,,,,,,,,,,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
