id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value
2455190773,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-09-03T17:09:59.695Z,2022-09-03T18:00:16Z,3754646059,59,"1, 2, 5, 6, 3, 4, 10, 8, 9, 7, 11, 18, 15, 13, 21, 20, 14, 19, 17, 22, 30, 16, 12",3754868129,197,2359,3754646055,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 6w59kdfilru1152bjutstu2fp, 5gs7jd1eigk4jisxbr9a1yvp, ubuh5wgnl0o5bn3wirdmectm, 723av2redj2ej6livx0g81wwl, 8n9t52eeli3s39r8ujjhjt7je, 6q77vt9bp8dsq48pa97mfzsa1, dficbkp6sp4kw7xihaxneozpx, 2nwthqvbk70e2qo35dgp35979, tgu7kztdu9azmvirwu8rrip6, aklhi0hr28nidjlkw1sokp785, 530w8musao16dfntha5ykpuga, 4cbhx91p3l265b2cejzd07gbu, 49pcpdulrofklvwsde6ohkkq, e8zpc22dwlmgkkwoqpgwxsn2t, 5bm516z74pbsyfemsathj3umt, 5iyutg9qg6bfnwuieghj5wktm, 6ovzd9akutufagsd8kmxmsei2, bj5pc70owet6hnvsycv3jt5yi, 7jpreaads35pnnfqbn7hmrmy, cixzy9hl7ks4maugc5zc9ievp",3754646063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754646057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3754646067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754646061,130,4,3754646065,194,5gs7jd1eigk4jisxbr9a1yvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455193895,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-09-03T17:13:02.739Z,2022-09-03T17:59:14Z,3754662291,30,"7dg8woqlx67ch0ji3ujhgb52i, eayvrkzzkk0xu4c5rrxgzlroq, a02jtmvlc1tlstvt96pa1hisq, 6jqn5grsuhuo5at81pzahr6xh, 8ozlo6qrdavr86guhclwvh84q, e3akocgpppdty3ayxty1gf6xh, dbkr1w2xlwnyssid1tv0jlujt, a21sngx9u0boxf3n6u5qbkdlh, c5jk0pvcvqddy0xiqv6qkesph, 1sb4655mgzrdohlltyk9fqlzp, 10ijtddqmzbhx3qtlhbyn4rca, 3kbhgmnf6bhfgut0jxf4m2sfe, 3dc82sro077by40u3qdmhw0r9, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, nw48ayorxrpxwcxbdhxy44k4, 792zq4joba1qgt0lusvrjantg, 8oetnmi8kejwwy37rhlelw2ne",3754662297,130,4,3754662301,194,e3akocgpppdty3ayxty1gf6xh,3754662299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754662295,59,"1, 24, 5, 21, 3, 4, 6, 8, 9, 7, 34, 10, 11, 15, 16, 20, 22, 23, 25, 33",3754871753,197,16727,3754662303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754662293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233041,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-09-03T18:00:26.349Z,2022-09-03T18:00:26Z,3754875941,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233055,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2022-09-03T18:00:26.349Z,2022-09-05T02:23:33Z,3754875987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233089,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50.1,49.7,2022-09-03T18:00:26.464Z,2022-09-05T03:59:02Z,3754876157,212,18.2,3754876151,140,32.8,3754876155,141,51.6,3754876159,213,3.1,3760091397,178,,3754876161,279,S,3754876147,56,Back,,,,c5jk0pvcvqddy0xiqv6qkesph,H. Veerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233117,4,1,1,0,3,6g9qrm72224jrk6tkxxxi8a9n,1,34.5,48.7,2022-09-03T18:00:29.536Z,2022-09-05T03:59:08Z,3760091503,178,,3754876261,56,Back,3754876267,212,13.7,3754876269,213,5.0,3754876265,141,29.7,3754876263,140,38.8,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233133,5,1,1,0,4,6g9qrm72224jrk6tkxxxi8a9n,1,37.7,31.5,2022-09-03T18:00:31.284Z,2022-09-05T03:59:13Z,3754876353,56,Back,3754876361,213,2.2,3760091571,178,,3754876359,212,11.5,3754876355,140,31.0,3754876357,141,44.9,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233171,6,1,1,0,7,6g9qrm72224jrk6tkxxxi8a9n,1,29.4,47.5,2022-09-03T18:00:33.409Z,2022-09-05T03:59:17Z,3754876549,140,35.3,3754876547,56,Back,3760091665,178,,3754876553,212,11.1,3754876551,141,61.1,3754876555,213,1.0,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233205,7,1,1,0,9,6g9qrm72224jrk6tkxxxi8a9n,1,32.1,56.9,2022-09-03T18:00:35.378Z,2022-09-05T03:59:22Z,3754876713,56,Back,3760091749,178,,3754876717,141,53.3,3754876715,140,5.8,3754876721,213,3.2,3754876719,212,27.7,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233243,8,1,1,0,11,6g9qrm72224jrk6tkxxxi8a9n,0,6,53.3,2022-09-03T18:00:38.128Z,2022-09-05T03:59:29Z,3754876915,140,53.5,3754876919,212,50.4,3754876921,213,6.1,3760091843,178,,3754876917,141,42.2,3754876911,155,,3754876913,56,Center,3754876923,1,,7dg8woqlx67ch0ji3ujhgb52i,F. Stanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
