id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536639323,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-04-21T16:50:06.640Z,2023-04-21T18:28:14Z,4206267467,130,4,4206267469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206267471,194,a21sngx9u0boxf3n6u5qbkdlh,4206267473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206267463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206267461,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, e3akocgpppdty3ayxty1gf6xh, c9epkro6fot3km9zak1kswfhm, dbkr1w2xlwnyssid1tv0jlujt, a21sngx9u0boxf3n6u5qbkdlh, 5shfqpd5fj05qrp1jlzd08ftg, c5jk0pvcvqddy0xiqv6qkesph, 1sb4655mgzrdohlltyk9fqlzp, 3kbhgmnf6bhfgut0jxf4m2sfe, f15kg1dhysflr9u8igyvhxkdm, emuhqfrh7daavple8wlrljhm1, 7qzban9gm72aznhn11qyxwtg4, 6jqn5grsuhuo5at81pzahr6xh, bdurpi6c2ipwtcuyndq0e6ve2, eayvrkzzkk0xu4c5rrxgzlroq, 6bklt91zc5vietmdc8r31zl2i, ca8qw8jztjxwxuc2foa6dfckq, 8oetnmi8kejwwy37rhlelw2ne, 10ijtddqmzbhx3qtlhbyn4rca, 6m158yzashjy4y3dcbresua22",4206267465,59,"1, 3, 5, 4, 31, 6, 8, 17, 9, 7, 10, 12, 19, 20, 21, 22, 24, 26, 28, 33, 34, 38",4206414903,197,2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536639973,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-04-21T16:52:19.649Z,2023-04-21T17:58:46Z,4206270641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206270645,130,4,4206270639,30,"ail0unvzd0b9ur7j0l8hk0y51, ca5n8516u8m6c41u61bbjjbop, eyx1wga1fue6lb5a0ak5f32i2, 8o13oyr0lqkr5sw7j9ekdan6x, 4736oz9r0evpmkd3qumivl239, blzp9qbpturqntnisbkg0ddlg, 9wgpudcet9m8doz9ezbjxzkrt, 7pz3qz589b7v3pkb9h0hv73l5, lfp411vh3vtjbvd6xra4jpp1, 4qyx713hq3c6d5lwdfp98jd1x, 9gsuha7f2ldpqo091yrlykvyt, 7rvlba00jv66w7wtdmk178a95, 7r2ifipuieqiar5n00o2j5uj9, 8jbjkt4wc1dmqaoxn76mct84q, 426st78oi43eortpbfkuxw72t, ae7ij4u0xy9iru6qvdw2i9fu2, 8ylvnl689iweg2r9d0ioj771m, aifho67q5citg1vdjyts477bp, dzs8vty5afl2y7ddjh3ausclx, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, c6ufljjgl050g9xn7e9ma7hg4",4206270643,59,"12, 24, 27, 6, 3, 33, 8, 21, 9, 19, 25, 1, 4, 7, 10, 14, 15, 17, 18, 28, 30, 31, 39",4206270651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206415105,197,12539,4206270649,194,8o13oyr0lqkr5sw7j9ekdan6x,4206270647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667675,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-04-21T18:00:08.004Z,2023-04-21T18:00:09Z,4206418415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667659,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-04-21T18:00:08.004Z,2023-04-24T00:39:20Z,4206418347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667679,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50,50,2023-04-21T18:00:08.009Z,2023-04-24T14:09:26Z,4206418421,141,62.4,4206418419,140,33.0,4206418425,213,2.7,4206418417,56,Back,4217593761,178,,4206418423,212,19.7,4206418427,279,S,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667709,4,1,1,0,2,6g9qrm72224jrk6tkxxxi8a9n,0,33.5,61.5,2023-04-21T18:00:10.231Z,2023-04-24T14:09:34Z,4206418625,56,Right,4217594207,178,,4206418623,155,,4206418633,213,5.6,4206418627,140,71.4,4206418629,141,14.6,4206418635,1,,4206418631,212,51.0,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667717,5,44,1,0,5,6g9qrm72224jrk6tkxxxi8a9n,1,68.8,16.6,2023-04-21T18:00:13.147Z,2023-04-24T15:28:10Z,4206418653,286,,4206418651,56,Right,4206418669,233,3,,,,,,,,,,,,,,,,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667715,3,44,1,0,5,ears40cp6opsgvhsy0dgyszpd,0,31.2,83.4,2023-04-21T18:00:13.148Z,2023-04-24T14:09:38Z,4209622223,233,5,4206418647,56,Back,4206418649,285,,,,,,,,,,,,,,,,,7pz3qz589b7v3pkb9h0hv73l5,D. van Kaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667739,6,1,1,0,5,6g9qrm72224jrk6tkxxxi8a9n,0,71.4,14.6,2023-04-21T18:00:13.194Z,2023-04-24T15:28:10Z,4206418803,141,1.7,4217594669,388,,4206418801,140,100.0,4206418805,212,32.0,4206418807,213,6.0,4206418799,56,Right,4206418797,3,,,,,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667749,4,5,1,0,8,ears40cp6opsgvhsy0dgyszpd,1,-0.4,98.4,2023-04-21T18:00:16.842Z,2023-04-24T14:09:49Z,4206418867,346,,4206418877,233,7,4206418865,56,Back,,,,,,,,,,,,,,,,7pz3qz589b7v3pkb9h0hv73l5,D. van Kaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
