id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/12/value,qualifier/16/value,qualifier/19/value
2442780711,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-08-06T17:51:43.180Z,2022-08-06T18:58:24Z,3688860983,197,534,3688590445,130,10,3688590441,59,"1, 2, 5, 24, 4, 23, 33, 8, 20, 29, 11, 6, 7, 9, 12, 13, 15, 17, 21, 22, 26, 34, 35",3688590447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688590449,194,e8wfxueczkhrj92rytelw5vx1,3688590439,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688590437,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, b23be312oxcbusvpjnnriukq2, aoucm7e5muqfucbv1g4e8hh49, 7797kpi7lkhc9dasfxuv9h7f9, e8wfxueczkhrj92rytelw5vx1, 93cf9npj6wl6vrxw7hetf6ok5, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, btfanvej91yogqzfml4vmsmei, cibkxflm2k8if2jg9m5lpxkut, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",3688590451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442780759,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-06T17:51:48.312Z,2022-08-06T19:32:57Z,3688590651,194,c2an5ksdu6jbap3x3jp3z9c5x,3688590649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688590647,130,10,3688590653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688991215,197,16382,3688590643,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688590641,30,"9q90ls3k1i2739wd6a20fku6t, 6gabdz53gxhyp8dv6x5the4t1, 6lyedmu2vuf7jig3jmhz9b4ve, 8p47d0e54hgl7d86vur1m5nmx, c2an5ksdu6jbap3x3jp3z9c5x, aafz6q5ggn9e6m5hprc71lgph, eu6pfkiah7otafyryg6ll7y09, 3mp92d5s002hi523kl4zmgrft, 1p0xp2onnys7jlru55vfgf1pm, 6mjm5cwe46jhi3wwpf1icf65l, 28o7vv0jud22hmg4h649yozqh, 1s7vp9ovsa1jo7tu7nisykn9x, b33sm106xc7g3h4bcqtawja7e, 9gsuha7f2ldpqo091yrlykvyt, df5rxx2r305pdtf28967fuxyi, 395y7yj6o1xwr6uaxs4sjnjdh, 4octqavtgpv5u1rnpss898nah, ebqj8v33xv3otev2pycc6xomh, 790v7fu7f2s40e160mlrb6dt6, 1s6yn52hlqtmmz4lerscf457u, 9wo8twcbs1jnqzdy0c6y8adey",3688590645,59,"1, 5, 15, 17, 24, 33, 8, 26, 9, 7, 10, 2, 6, 11, 19, 28, 29, 31, 32, 38, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830643,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-08-06T19:00:53.058Z,2022-08-08T07:44:37Z,3688866627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830663,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-06T19:00:53.058Z,2022-08-06T19:00:55Z,3688866703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830693,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,49.7,49.6,2022-08-06T19:00:53.182Z,2022-08-08T18:55:37Z,3688866823,140,34.7,3688866833,279,S,3688866821,56,Back,3688866825,141,42.6,3688866829,213,3.4,3694531195,178,,3688866827,212,16.5,,,,7797kpi7lkhc9dasfxuv9h7f9,L. Daneels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830719,4,1,1,0,2,ed5nwjz5za3oyi20nxzgqivmx,1,34.7,42.6,2022-08-06T19:00:55.279Z,2022-08-08T18:56:14Z,3694531835,178,,3688866965,213,2.0,3688866961,141,76.5,3688866959,140,24.1,3688866963,212,25.6,3688866957,56,Back,,,,,,,b23be312oxcbusvpjnnriukq2,Y. Oukili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830729,5,1,1,0,4,ed5nwjz5za3oyi20nxzgqivmx,0,24.8,84.3,2022-08-06T19:00:57.744Z,2022-08-08T18:56:20Z,3688867009,141,100.0,3688867007,140,28.5,3688867005,56,Back,3688867013,213,1.2,3694531951,178,,3688867011,212,11.7,,,,,,,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830797,3,5,1,0,5,ccpscwdcm65czscrun048ecn5,1,75.4,-1.2,2022-08-06T19:00:58.991Z,2022-08-08T18:56:26Z,3688867351,347,,3688867393,233,7,3688867349,56,Right,,,,,,,,,,,,,,,,6gabdz53gxhyp8dv6x5the4t1,H. ter Avest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830777,7,5,1,0,5,ed5nwjz5za3oyi20nxzgqivmx,0,24.6,101.2,2022-08-06T19:00:58.991Z,2022-08-08T18:56:26Z,3688867241,347,,3688867413,233,3,3688867239,56,Back,,,,,,,,,,,,,,,,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442830775,6,43,1,0,7,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-08-06T19:01:00.199Z,2022-08-06T19:01:11Z,3688867229,141,82.0,3688867227,140,29.7,3688867225,56,Back,3688867233,213,4.8,3688867743,144,1,3688867231,212,5.9,,,,,,,181us5vol7crxrmejhkqau3t,T. Lutonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
