id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479747963,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-30T18:59:59.808Z,2022-10-30T20:03:49Z,3885153447,130,17,3885153453,197,11586,3885153441,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, eb1rih67f03kwljbge37id1ck, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 5ecklu1u6t21rhh8fh4zoq2cq, 8zz5lnxo7twq8ntb7e0qfvbv9, 8o0a3k1bbim9y2kd6ljyoiwpg, 87d73x3gkomc4soukr5uweqc5, 72xzl0yjdetvqp2n1pmzyqvze, aspoedbe2vkfbqaz67fc2ftg5, 7t9bynn5mbmy3b0v9cduifxex, 7xw0h0pegzhoix5hb4hipj2l1, d7ml58kwwpetvnw46qja9ru5m, 14xb29tv90y8uataijmh03rah, 39bcswfqnpa07b4afevezejo4, e2nb1takpw6q7f6txp8xbfkk5",3885153455,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885153449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3885153443,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3885153451,194,8zz5lnxo7twq8ntb7e0qfvbv9,3885153445,59,"16, 28, 12, 31, 21, 2, 6, 26, 45, 7, 99, 1, 5, 8, 15, 18, 38, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479749631,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-10-30T19:03:21.195Z,2022-10-30T20:23:51Z,3885161987,130,8,3885161991,194,9tc6mprxpu2rc5ptlp5ljw7h1,3885161981,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, 5u6h6cptsad9e6n4uv76q0fl5, cefs6b83ei4gcyuscfopw32ay, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, 9tgbdheyuooa8cfz06l577end, 5jywyphhwu9j4bphz0720kb9, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, cl2mi40x3gjsan1iifpbwec4p, 4114auk4o8n6higc918qymc4p, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, 1v75zo1ivju4o2xwgwn9az88a, 8yo1cv2wlhnk1lu50cu3iul79, ex7y8oe78ewwmibz41qbmwhxx",3885161989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3885161983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3885161993,197,3769,3885161985,59,"1, 2, 21, 8, 23, 51, 14, 16, 18, 24, 10, 11, 26, 34, 48, 55, 61, 99",3885161995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779435,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-30T20:01:15.233Z,2022-10-31T03:43:04Z,3885325813,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779443,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-10-30T20:01:15.233Z,2022-10-30T20:01:17Z,3885325823,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779479,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,49.7,49.9,2022-10-30T20:01:15.311Z,2022-10-31T05:39:36Z,3886039139,178,,3885326023,140,35.7,3885326029,213,3.0,3885326031,279,S,3885326025,141,52.4,3885326027,212,14.8,3885326021,56,Back,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779489,4,1,1,0,1,920raeoumft3q2wmvc296uceo,0,40.1,49.7,2022-10-30T20:01:16.986Z,2022-10-31T10:05:50Z,3885326095,140,67.5,3885326093,56,Left,3885326099,212,45.7,3885326101,213,0.9,3886039683,178,,3885326103,1,,3885326091,155,,3885326097,141,100.0,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779617,3,5,1,0,5,7zibyotq1x1hq6pmgibhr0e6s,1,32.2,-2,2022-10-30T20:01:21.170Z,2022-10-31T05:39:52Z,3885326609,233,5,3885326607,347,,3885326605,56,Back,,,,,,,,,,,,,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779493,5,5,1,0,5,920raeoumft3q2wmvc296uceo,0,67.8,102,2022-10-30T20:01:21.170Z,2022-10-31T05:39:52Z,3885326107,56,Left,3885326109,347,,3885326613,233,3,,,,,,,,,,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779637,4,1,1,0,19,7zibyotq1x1hq6pmgibhr0e6s,0,32.3,0,2022-10-30T20:01:34.623Z,2022-10-31T10:05:50Z,3885326731,140,65.2,3885326729,56,Right,3885326737,213,0.1,3885326727,107,,3885326735,212,34.9,3885326739,1,,3885326733,141,6.2,,,,1h9jdj5ag99myeoirxzh92od1,R. De Laet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779645,6,1,1,0,21,920raeoumft3q2wmvc296uceo,0,39.9,90.5,2022-10-30T20:01:36.746Z,2022-10-31T10:05:50Z,3886040209,178,,3885326795,212,15.0,3885326789,56,Left,3885326793,141,83.2,3885326791,140,53.4,3885326797,213,5.9,3885326787,3,,,,,ae26s08xs4l50sfm0r6jbsley,S. Andreou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779665,5,1,1,0,23,7zibyotq1x1hq6pmgibhr0e6s,1,46.2,10.3,2022-10-30T20:01:38.932Z,2022-10-31T10:05:49Z,3885326897,141,16.5,3885326901,213,0.3,3885326891,3,,3886041083,388,,3885326893,56,Right,3885326899,212,15.0,3885326895,140,59.9,,,,cefs6b83ei4gcyuscfopw32ay,A. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779705,6,1,1,0,25,7zibyotq1x1hq6pmgibhr0e6s,1,57.3,17.2,2022-10-30T20:01:40.904Z,2022-10-31T10:05:49Z,3885327121,213,1.5,3885327117,141,74.8,3885327111,155,,3885327119,212,39.2,3885327113,56,Center,3885327115,140,58.1,3886041173,178,,3885327123,1,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779715,7,1,1,0,31,7zibyotq1x1hq6pmgibhr0e6s,1,59,77.8,2022-10-30T20:01:46.659Z,2022-10-31T10:05:47Z,3885327187,141,95.9,3885327191,213,0.8,3885327189,212,16.7,3885327183,56,Left,3885327185,140,69.7,3886041263,178,,,,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779735,8,1,1,0,32,7zibyotq1x1hq6pmgibhr0e6s,1,67.4,98.3,2022-10-30T20:01:48.152Z,2022-10-31T10:05:47Z,3885327305,140,54.0,3886041771,178,,3885327309,212,16.7,3885327303,56,Left,3885327311,213,3.7,3885327307,141,85.0,,,,,,,5u6h6cptsad9e6n4uv76q0fl5,S. Vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779747,9,1,1,0,35,7zibyotq1x1hq6pmgibhr0e6s,1,54.9,91.7,2022-10-30T20:01:50.474Z,2022-10-31T10:05:47Z,3885327375,213,3.7,3885327367,56,Back,3885327373,212,14.7,3885327369,140,42.9,3885327371,141,80.6,3886041823,178,,,,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779775,10,1,1,0,36,7zibyotq1x1hq6pmgibhr0e6s,1,44.8,91.2,2022-10-30T20:01:52.028Z,2022-10-31T10:05:46Z,3885327511,56,Back,3885327517,212,21.2,3886042003,178,,3885327515,141,62.7,3885327513,140,36.5,3885327519,213,4.3,,,,,,,cefs6b83ei4gcyuscfopw32ay,A. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779787,11,1,1,0,39,7zibyotq1x1hq6pmgibhr0e6s,1,34.8,68.7,2022-10-30T20:01:55.186Z,2022-10-31T10:05:45Z,3885327575,141,41.2,3885327573,140,29.6,3885327579,213,4.4,3885327571,56,Back,3886042333,178,,3885327577,212,19.5,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779817,12,1,1,0,41,7zibyotq1x1hq6pmgibhr0e6s,1,28.7,47.5,2022-10-30T20:01:57.226Z,2022-10-31T10:05:45Z,3885327691,212,25.0,3886042417,178,,3885327687,140,39.4,3885327685,56,Back,3885327693,213,5.2,3885327689,141,14.7,,,,,,,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779851,13,1,1,0,44,7zibyotq1x1hq6pmgibhr0e6s,1,34.9,25.4,2022-10-30T20:01:59.986Z,2022-10-31T10:05:44Z,3886042477,178,,3885327845,141,56.0,3885327849,213,1.6,3885327843,140,34.7,3885327841,56,Back,3885327847,212,20.8,,,,,,,1h9jdj5ag99myeoirxzh92od1,R. De Laet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779877,14,1,1,0,48,7zibyotq1x1hq6pmgibhr0e6s,1,36.7,65,2022-10-30T20:02:03.290Z,2022-10-31T10:05:43Z,3885327961,140,46.0,3885327959,56,Back,3885327967,213,1.1,3885327965,212,21.2,3885327963,141,92.6,3886042569,178,,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479779897,15,1,1,0,50,7zibyotq1x1hq6pmgibhr0e6s,1,46.1,93.2,2022-10-30T20:02:05.915Z,2022-10-31T10:05:42Z,3885328103,213,5.2,3886042671,178,,3885328097,140,52.3,3885328095,56,Center,3885328099,141,74.2,3885328101,212,14.5,,,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
