id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478307755,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-10-28T17:57:59.700Z,2022-10-28T18:52:52Z,3877471313,130,4,3877471317,194,25ey2mcvgwz6ls2612os5hzv9,3877471309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3877471321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877471311,59,"1, 5, 21, 10, 23, 18, 6, 16, 9, 7, 11, 2, 4, 8, 15, 17, 28, 39",3877471315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3877471319,197,1947,3877471307,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, 3k4ulxeya73ac9foemis7p6mt, evktllmp3l6mfb6o4im0ag0ve, 92x3r5pxmvkgaxups0gdrvq39, mlqit2c8my1ewqy6avrfhf8q, b6hva6wki38za3hipscirr4h6, 25ey2mcvgwz6ls2612os5hzv9, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, 9svafwvk8lle1ex1m2y279905, zd582wgzhdcz8n6oipywt3vt, calut2wcnvfps97uj7dartf4l, bkdtlerryn5f6iwvk5fcrku7d, 5egzwt11xlx1vz5dk9yu29q1g, cxuqd5jlug75nm2blahmxek2c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308417,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-10-28T18:00:46.672Z,2022-10-28T18:53:43Z,3877474507,197,3313,3877474503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3877474495,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 7wh91ajt4v3w9kfdpp5hf5mmt, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, 14w9q2mu6yq235ic55fxs0w2y, an7okg1fciccqu6300k8phisq, 43nbjlhluajhnansrk7xmirkk, 561pn6ha3pwbofjt8gbqhj0iy, 7zmgaactx19n77j9fl08pahyi",3877474499,59,"26, 23, 5, 17, 46, 2, 28, 8, 18, 34, 11, 4, 7, 10, 22, 25, 35, 40",3877474497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3877474509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877474501,130,8,3877474505,194,a8k3ubqsi0duc3g4u5jnvcoa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347087,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-10-28T18:55:25.962Z,2022-10-28T18:56:43Z,3877679257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347081,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-10-28T18:55:25.962Z,2022-10-29T04:53:57Z,3877679239,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347095,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,49.3,50.3,2022-10-28T18:55:26.013Z,2022-10-29T05:15:33Z,3877679295,56,Back,3877679299,140,31.6,3877679303,212,19.0,3877679307,279,S,3877679301,141,56.1,3877679305,213,2.9,3878264767,178,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347127,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,1,32.5,52.2,2022-10-28T18:55:28.855Z,2022-10-29T09:06:05Z,3877679467,56,Right,3877679477,1,,3877679473,212,53.5,3878264787,178,,3877679475,213,5.7,3877679471,141,7.1,3877679465,155,,3877679469,140,74.3,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347141,5,1,1,0,4,b7jmo07lqav0wfe2mtlzyspak,1,63.4,10.5,2022-10-28T18:55:30.836Z,2022-10-29T09:06:04Z,3877679547,213,0.2,3877679543,141,16.4,3877679537,3,,3877679539,56,Right,3878264827,388,,3877679545,212,20.0,3877679541,140,82.1,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347163,6,1,1,0,6,b7jmo07lqav0wfe2mtlzyspak,1,76,19.7,2022-10-28T18:55:32.166Z,2022-10-29T09:06:04Z,3877679669,141,6.7,3877679665,56,Right,3877679671,212,8.9,3877679673,213,4.6,3877679667,140,74.8,3878264877,388,,3877679663,3,,,,,3nr55odndzunwlb658bsnlwx5,J. Ngoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347167,7,1,1,0,7,b7jmo07lqav0wfe2mtlzyspak,1,71.7,10.3,2022-10-28T18:55:33.565Z,2022-10-29T09:06:04Z,3877679699,213,0.3,3877679695,141,15.0,3877679691,56,Right,3878265033,178,,3877679689,155,,3877679697,212,12.7,3877679693,140,83.4,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347183,8,1,1,0,8,b7jmo07lqav0wfe2mtlzyspak,0,80.4,12.2,2022-10-28T18:55:34.948Z,2022-10-29T09:06:03Z,3878265095,388,,3877679781,212,5.8,3877679777,140,78.9,3877679773,3,,3877679779,141,4.0,3877679783,213,4.4,3877679775,56,Right,,,,3nr55odndzunwlb658bsnlwx5,J. Ngoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
