id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/19/value
2476226539,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-10-23T13:06:22.522Z,2022-10-23T14:00:50Z,3866408771,194,af8gj4w5eg8rdl4iq7fi8aa96,3866408775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866408773,197,8175,3866408767,130,12,3866408769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3866408761,30,"9ch1zw030nu94b2v7t9pzyqne, 9bnvh1i6mu45yvkz257c0x1at, 187qa5icsve3oak3t90r6rhsl, af8gj4w5eg8rdl4iq7fi8aa96, a52575bcqr3acuweauiyzsb56, 5oa6glaxweluggb6odyxb4uz9, 7sxsul4lzfxl1nzca1nq715re, 4e5jvz1t60a2l67c5a9r2qne, 8ic5et3o15rkxyebpxy6y4mhh, 8058605f3gip7nglewe7svqzu, 6cztmz0yq3ifdkkz4hpe47krt, apusqhva0hdbf7zqb3twgeoa2, 7xfg1orfd9uq3rqzzf6vvxu96, ageous8x40a5qja50md060ull, e44sv1k4belucgkkem7qtkpd6, 3j1vhujla834m422svmrdh3pw, cahevdu5yhhnh8qlj969b6dw, bpxafwc30rerxmgju6rcau8kp",3866408765,59,"1, 21, 18, 2, 99, 40, 15, 6, 12, 10, 27, 5, 9, 11, 14, 16, 17, 35",3866408763,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476243859,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-10-23T13:18:11.748Z,2022-10-23T18:57:21Z,3866507047,197,3190,3866507039,59,"1, 18, 25, 23, 5, 2, 22, 24, 11, 8, 7, 10, 16, 17, 27, 29, 31, 33",3866507035,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, c517lc5fmsd9ugk638s2o9iad, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 2cc5y9hjnc8nqrh58ojz6ajth, 18pgjfpl9s8qy32mblzygsyc5, 1khy4w78z012p8z20gcp0nrvt, 9hiut57u02lly1nfdixef8bth, 8fs5klbsyx06c5ds9s1i3xu96, 7dnxkce4kn8qchaavv6e4tm21, cxa3j4u8eh5w947p1iba47yfo, 1d2fpmtdglpqwyhnc657n77it, 6dq0jj1p2nozaqiqxlt95cd1w, b9wew8z92aj36vvxfj3q7kxcl, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx",3866507037,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3866507043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3866507045,194,9hiut57u02lly1nfdixef8bth,3866507041,130,17,3866507049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297855,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-10-23T14:02:05.531Z,2022-10-23T14:02:05Z,3866788903,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297869,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-10-23T14:02:05.531Z,2022-10-24T05:05:54Z,3866788957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297919,3,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,50,50,2022-10-23T14:02:05.621Z,2022-10-24T05:18:10Z,3866789193,56,Back,3869294801,178,,3866789199,212,7.1,3866789195,140,43.9,3866789197,141,54.6,3866789201,213,2.7,3866789203,279,S,,,,8058605f3gip7nglewe7svqzu,M. Mouandilmadji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297989,4,1,1,0,2,jb4xejoxjfk5a0a50bo8hvst,1,45.2,50.2,2022-10-23T14:02:07.549Z,2022-10-24T08:49:16Z,3866789517,56,Back,3869294811,178,,3866789523,212,28.2,3866789519,140,44.8,3866789525,213,4.7,3866789521,141,8.8,,,,,,,7sxsul4lzfxl1nzca1nq715re,S. Lahssaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298047,5,1,1,0,5,jb4xejoxjfk5a0a50bo8hvst,0,52.5,7.3,2022-10-23T14:02:11.455Z,2022-10-24T08:49:15Z,3866789723,141,0.0,3866789727,213,6.1,3869294875,178,,3866789725,212,29.1,3866789721,140,79.6,3866789719,56,Right,,,,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298243,3,5,1,0,8,8y3iucyxguipljcmf87a11bk9,1,19.9,101.8,2022-10-23T14:02:13.850Z,2022-10-24T05:18:27Z,3866790689,233,6,3866790613,56,Back,3866790615,347,,,,,,,,,,,,,,,,,8fs5klbsyx06c5ds9s1i3xu96,Hong Hyun-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298055,6,5,1,0,8,jb4xejoxjfk5a0a50bo8hvst,0,80.1,-1.8,2022-10-23T14:02:13.850Z,2022-10-24T05:18:28Z,3866789755,347,,3866789753,56,Right,3866790693,233,3,,,,,,,,,,,,,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298319,4,1,1,0,14,8y3iucyxguipljcmf87a11bk9,1,22.2,100,2022-10-23T14:02:20.169Z,2022-10-24T08:49:15Z,3866790957,213,4.0,3866790947,107,,3866790953,141,86.2,3866790949,56,Back,3866790955,212,12.9,3866790951,140,14.5,,,,,,,c517lc5fmsd9ugk638s2o9iad,Núrio Fortuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
