id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,qualifier/15/value
2442780413,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-06T17:51:17.841Z,2022-08-06T18:59:08Z,3688588919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3688588925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688588911,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, 3k4ulxeya73ac9foemis7p6mt, 25ey2mcvgwz6ls2612os5hzv9, 92x3r5pxmvkgaxups0gdrvq39, mlqit2c8my1ewqy6avrfhf8q, b6hva6wki38za3hipscirr4h6, cne8uwbnrwbwqjpj3pme1kbmx, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, zd582wgzhdcz8n6oipywt3vt, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, bkdtlerryn5f6iwvk5fcrku7d, 5gzobg231vp6fnjrrh6k49qz9, 8lqiyhgp90sxu9bzmaa1o3t62",3688588923,197,1947,3688588915,59,"1, 5, 21, 16, 23, 18, 6, 14, 9, 7, 11, 2, 8, 10, 15, 17, 20, 28",3688588917,130,4,3688588913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3688588921,194,25ey2mcvgwz6ls2612os5hzv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442781659,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-08-06T17:53:26.399Z,2022-08-07T14:32:18Z,3688595493,59,"49, 2, 94, 44, 16, 3, 23, 17, 24, 13, 8, 6, 11, 20, 21, 26, 32, 85",3688595503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688595495,130,12,3688595497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3688595491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3688595501,197,6067,3688595499,194,6xam5bquregefbepxd9rwfdh,3688595489,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, iexm93yyblnrtx8d6rqqrdux, di9k6xr6j4arjoltl7s9yp6cq, 6xam5bquregefbepxd9rwfdh, 6q2k8vf5j1lxcz83fituqb310, 7vv4ef3y8swdekozwaent3ai1, 5j13tgvpwi7m3y6rjd8q08tt5, 7a6hqi5iy91onh9u7l7t88tbe, ai5p5wgft6c09bjbldz9sfeac, 39tod1iad3ztq17qveh8pwp9l, 1a9u2g4hynrz2e93sz1evhpzp, f0ean6buvvp9l4rh1ayvnnill, 5oe0z2pxkgmdt2y3e69u8kb9w, 2fbq6ac2mma2tyjc2kqrpfms4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442822923,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-06T18:46:09.255Z,2022-08-07T03:47:53Z,3688821799,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442822929,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-08-06T18:46:09.255Z,2022-08-06T18:46:11Z,3688821821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442822955,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,50.3,49.9,2022-08-06T18:46:09.355Z,2022-08-07T04:02:39Z,3688821947,141,52.5,3688821945,140,31.4,3688821943,56,Back,3690404897,178,,3688821955,213,3.1,3688821957,279,S,3688821953,212,19.9,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442822963,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,0,38.3,50.9,2022-08-06T18:46:11.283Z,2022-08-07T08:44:13Z,3688821999,212,38.9,3690405019,178,,3688822001,213,5.6,3688821991,157,,3688821997,141,12.8,3688821995,140,65.9,3688822003,1,,3688821993,56,Right,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443139805,1173,67,1,0,3,b7jmo07lqav0wfe2mtlzyspak,1,64,18.6,2022-08-06T18:46:12.760Z,2022-08-07T09:11:11Z,3690546185,233,1523,,,,,,,,,,,,,,,,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443139801,1523,67,1,0,3,ecj1gmc7pqcjo4sc9hvghj5u3,0,36,81.4,2022-08-06T18:46:12.761Z,2022-08-07T08:44:12Z,3690546199,233,1173,,,,,,,,,,,,,,,,,,,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442823047,6,1,1,0,3,b7jmo07lqav0wfe2mtlzyspak,1,64.2,16.3,2022-08-06T18:46:12.814Z,2022-08-07T09:11:11Z,3688822529,212,9.0,3688822527,141,5.8,3690405245,178,,3688822525,140,69.4,3688822531,213,5.4,3688822523,56,Right,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443119293,925,43,1,0,5,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-08-06T18:46:14.914Z,2022-08-07T06:02:01Z,3690546239,144,83,3690457103,399,104658,,,,,,,,,,,,,,,,,,,iexm93yyblnrtx8d6rqqrdux,V. Boone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
