id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2449488511,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T18:28:13.975Z,2022-08-22T02:09:54Z,3724258549,194,25ey2mcvgwz6ls2612os5hzv9,3724258547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3724258541,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3724258553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724258539,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, cne8uwbnrwbwqjpj3pme1kbmx, mlqit2c8my1ewqy6avrfhf8q, 56sjqxlsf5iitgww0hogez8ph, 92x3r5pxmvkgaxups0gdrvq39, 3eywxsna9qzi1egis1uj4l6mt, b6hva6wki38za3hipscirr4h6, evktllmp3l6mfb6o4im0ag0ve, 1df9uegp2hsbc4813no3mdvx1, 25ey2mcvgwz6ls2612os5hzv9, 1vhz040atckd3pnzwbky5uuvp, 9svafwvk8lle1ex1m2y279905, zd582wgzhdcz8n6oipywt3vt, calut2wcnvfps97uj7dartf4l, bkdtlerryn5f6iwvk5fcrku7d, 8lqiyhgp90sxu9bzmaa1o3t62, cxuqd5jlug75nm2blahmxek2c",3724258543,59,"1, 5, 14, 18, 30, 23, 7, 6, 10, 22, 16, 2, 4, 8, 15, 17, 28, 39",3724258551,197,1947,3724258545,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449489231,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-21T18:30:19.338Z,2022-08-21T22:39:27Z,3724262765,59,"1, 32, 11, 8, 23, 2, 55, 7, 25, 45, 10, 9, 14, 20, 22, 24, 33, 39",3724262775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724262761,30,"6qlfe04qjldj3rkeeme6gdi39, 9qm1adecprlczxw7ldbpvoi51, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, bxcrdkrcljgx6l4o0uy4rom3t, 6z1isgjrlx4gbcjp5ekawdi39, 1ezai0a0n3xem17lwhtxwaml1, auqy1bigw2a1owxg441wojzyt, 7y2fbdkqsz35hgsib6rail1hx, 96xomdtz505yoaz35i5bb8f84, 50tfyk5k7qkm1kwv9rrneriwa, 21545vwheo9a30u5hgnsrecmi, 12c7rhdjh6rja1d2j45n3exyi, 2aemkadh3bhtgm5db8r89pvit, e2z19y8is5m24brpa3gzn02qx, 9kywhmzih4xhuz5d1rrxjcpd6, 5ujoracvgg00kzd0a8rh8oa1h, dd711ekg0nlaosmsy2lz13syy",3724262763,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3724262769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3724262771,194,auqy1bigw2a1owxg441wojzyt,3724262767,130,6,3724262773,197,6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508725,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-21T19:00:39.532Z,2022-08-21T19:00:40Z,3724372655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508705,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T19:00:39.532Z,2022-08-22T04:39:12Z,3724372545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508789,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,49.8,50.4,2022-08-21T19:00:39.620Z,2022-08-22T05:04:31Z,3724372957,141,50.7,3724372961,213,3.1,3724372963,279,S,3724372959,212,15.2,3724372953,56,Back,3725693981,178,,3724372955,140,35.3,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508813,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,0,31.2,53.9,2022-08-21T19:00:42.526Z,2022-08-22T12:55:28Z,3724373109,140,72.3,3724373115,213,5.6,3724373101,155,,3724373117,1,,3724373111,141,0.0,3725693995,178,,3724373105,56,Right,3724373113,212,57.0,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508979,3,5,1,0,7,2nhn3ikl1ciq34w3hcp883d6p,1,24,101.2,2022-08-21T19:00:47.089Z,2022-08-22T05:04:32Z,3724374075,233,5,3724374061,56,Back,3724374063,347,,,,,,,,,,,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449508817,5,5,1,0,7,b7jmo07lqav0wfe2mtlzyspak,0,76,-1.2,2022-08-21T19:00:47.089Z,2022-08-22T05:04:32Z,3724374083,233,3,3724373121,56,Right,3724373123,347,,,,,,,,,,,,,,,,,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509021,4,1,1,0,18,2nhn3ikl1ciq34w3hcp883d6p,1,18,100,2022-08-21T19:00:58.008Z,2022-08-22T12:55:27Z,3724374303,56,Back,3724374301,107,,3724374307,141,90.5,3724374309,212,24.2,3724374311,213,6.0,3724374313,1,,3724374305,140,39.9,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449838077,1415,43,1,0,20,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T19:00:59.738Z,2022-08-22T11:05:47Z,3726139743,144,67,3726132637,233,1518,,,,,,,,,,,,,,,,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449838073,1518,43,1,0,20,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-21T19:00:59.739Z,2022-08-22T11:05:47Z,3726139731,144,67,3726132653,233,1415,,,,,,,,,,,,,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509027,5,61,1,0,20,2nhn3ikl1ciq34w3hcp883d6p,0,39.4,91.4,2022-08-21T19:00:59.772Z,2022-08-22T12:55:27Z,3724374329,56,Back,3725694009,178,,,,,,,,,,,,,,,,,,,,7y2fbdkqsz35hgsib6rail1hx,Igor Vetokele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449751057,848,43,1,0,20,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T19:00:59.778Z,2022-08-22T11:03:03Z,3726132379,144,67,3725708859,233,863,,,,,,,,,,,,,,,,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449751055,863,43,1,0,20,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-21T19:00:59.779Z,2022-08-22T11:03:02Z,3725708869,233,848,3726132375,144,67,,,,,,,,,,,,,,,,,,,50tfyk5k7qkm1kwv9rrneriwa,J. Bernát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509025,6,61,1,0,20,b7jmo07lqav0wfe2mtlzyspak,0,64,10,2022-08-21T19:01:00.267Z,2022-08-22T12:55:27Z,3724374327,56,Right,3725694017,178,,,,,,,,,,,,,,,,,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449750645,862,43,1,0,21,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-21T19:01:01.204Z,2022-08-22T11:03:44Z,3726134013,144,82,3725707115,178,0,,,,,,,,,,,,,,,,,,,7y2fbdkqsz35hgsib6rail1hx,Igor Vetokele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509063,6,1,1,0,22,2nhn3ikl1ciq34w3hcp883d6p,1,39.5,92.4,2022-08-21T19:01:01.958Z,2022-08-22T12:55:26Z,3724374511,213,3.8,3724374505,140,31.7,3725694021,178,,3724374503,56,Back,3724374507,141,82.1,3724374509,212,10.8,,,,,,,96xomdtz505yoaz35i5bb8f84,N. Dorgeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449717987,833,61,1,0,22,2nhn3ikl1ciq34w3hcp883d6p,0,35.4,90.7,2022-08-21T19:01:02.290Z,2022-08-22T12:55:26Z,3725547121,56,Back,3725694025,178,,,,,,,,,,,,,,,,,,,,50tfyk5k7qkm1kwv9rrneriwa,J. Bernát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509065,7,1,1,0,23,b7jmo07lqav0wfe2mtlzyspak,1,64.8,15.1,2022-08-21T19:01:02.932Z,2022-08-22T12:55:25Z,3725694029,178,,3724374525,140,65.6,3724374527,141,14.1,3724374529,212,1.1,3724374531,213,5.6,3724374523,56,Right,,,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509067,8,49,1,0,24,b7jmo07lqav0wfe2mtlzyspak,1,69.3,16.1,2022-08-21T19:01:04.078Z,2022-08-22T12:55:25Z,,,,,,,,,,,,,,,,,,,,,,,,,1df9uegp2hsbc4813no3mdvx1,Alessio Da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509163,10,4,1,0,26,b7jmo07lqav0wfe2mtlzyspak,1,71.9,15.8,2022-08-21T19:01:05.564Z,2022-08-22T12:55:24Z,3724375201,233,7,3724375091,152,,3724375095,286,,3724375087,13,,3724375089,56,Right,3724375093,265,,,,,,,,1df9uegp2hsbc4813no3mdvx1,Alessio Da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509177,7,4,1,0,26,2nhn3ikl1ciq34w3hcp883d6p,0,28.1,84.2,2022-08-21T19:01:05.565Z,2022-08-22T12:55:23Z,3724375169,13,,3724375171,56,Back,3724375173,152,,3725694047,178,,3724375177,285,,3724375217,233,10,3724375175,265,,,,,50tfyk5k7qkm1kwv9rrneriwa,J. Bernát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449509115,9,43,1,0,29,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-21T19:01:09.282Z,2022-08-21T19:01:18Z,3724374801,56,Right,3724375401,144,61,,,,,,,,,,,,,,,,,,,evktllmp3l6mfb6o4im0ag0ve,Y. Malede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
