id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value
2499251569,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-21T16:04:12.205Z,2023-01-21T17:19:46Z,3987805079,30,"d0itp0eyxewvnm2shm0manw7p, 2rn8mnhlrtrbm6du97f54zckq, 3m13ipluel0m6cotha7n7vrop, czsmg1hjqbmzhz8x91y3b0yc5, 7y7wrtvktvxfki86p41ptoell, 2hj88r72bbwnhqx12tv13jmqx, 8thfkx6q306ewh6mlba8ztqzt, 92resfejh2m1oygglkjdk0u7d, 3zkgg98u1fvuospd2avl4qy2, 58qrdtv5emnvcojqkmnpx5ffu, 65js4yds9vyg0iyck8xh10frp, ew1thxs8j5mwwqh075kzsjq0a, mzrka1w28qc7vgr5xmcngqg9, 1yq8ig3ffq1j5imjci3g3tfdg, 99eumu17h5sxriw5vfczvdb6d, 973qhpd6czw3u8h0788uq9ez8, 9m3bkbdedtddfeix57rj2f7c9, b81lneik0objvk15uf6m4cewa",3987805081,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987805085,59,"1, 18, 7, 27, 88, 33, 23, 10, 17, 34, 68, 2, 11, 20, 28, 36, 77, 80",3987805093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987805091,197,8908,3988076873,194,2hj88r72bbwnhqx12tv13jmqx,3987805087,130,17,3987805089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499259261,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T16:10:03.531Z,2023-01-21T17:30:34Z,3987987855,194,8jc7tw0nw37trgyli0oyz1soa,3987843603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987843601,197,5434,3987843595,59,"21, 41, 23, 4, 66, 5, 14, 17, 9, 34, 36, 7, 8, 10, 11, 22, 24, 89",3987843591,30,"21ipfd9gxws9vqpw9002o8ve1, 84l7r4ud9ipuf9vc3ib5b4l0q, 5wn1xudozb4s78x0m8ch7vn8q, 52qemp1py9mm9unjvxaphv209, 5iuagsqdiiaadb5yuf7r4vzmc, bmbn4q2uorkgosgaig6migpux, 8jc7tw0nw37trgyli0oyz1soa, 3l1v52usaf9mmi9dwowdwv3e, 1gzgkjei16r4lt2fvcedy1jvt, a0ecz4nlxrr62dcwixtmjiwyy, 8d0ffyx2qnnp0limf5aou92ei, b13ly8cuyvgraih4y0wxuami2, enyx6hc9mfglu3w2robv9hd9m, 2xba9p5cocj599cltnabjes45, ez9zc94k1nj4qxjf2hrvj5dgq, 2jhi0lbbo65dsfv4ho9pmlgix, 8am2h5qc7296fima2r4wam63u, 9hnyebqut9tmn4q0m0y9n3kd1",3987843593,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987843599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987843597,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331417,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-21T17:16:10.623Z,2023-01-22T01:29:33Z,3988228653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331429,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:16:10.623Z,2023-01-21T17:16:13Z,3988228697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331435,3,1,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,50,50.3,2023-01-21T17:16:10.644Z,2023-01-22T02:34:02Z,3989261425,178,,3988228715,56,Back,3988228721,212,22.3,3988228723,213,3.1,3988228725,279,S,3988228717,140,28.8,3988228719,141,52.2,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331549,4,1,1,0,3,3ix9om1svhd6obl0mbk1otgop,0,25.3,50.1,2023-01-21T17:16:14.302Z,2023-01-22T07:20:18Z,3988396645,157,,3989261629,178,,3988229361,1,,3988229353,140,59.6,3988229351,56,Center,3988229355,141,32.2,3988229357,212,38.0,3988229359,213,6.0,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331503,3,44,1,0,6,2b57rbw94i9ohnbch52owvqtq,1,32.6,74.1,2023-01-21T17:16:16.692Z,2023-01-22T07:20:17Z,3988229071,285,,3988229069,56,Back,3988230449,233,5,,,,,,,,,,,,,,,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331551,5,44,1,0,6,3ix9om1svhd6obl0mbk1otgop,0,67.4,25.9,2023-01-21T17:16:16.693Z,2023-01-22T07:20:17Z,3988229367,286,,3988230467,233,3,3988229365,56,Center,,,,,,,,,,,,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331515,4,1,1,0,6,2b57rbw94i9ohnbch52owvqtq,1,31.6,74.2,2023-01-21T17:16:16.740Z,2023-01-22T07:20:17Z,3989261709,388,,3988229129,3,,3988229135,141,31.2,3988229131,56,Back,3988229137,212,29.3,3988229133,140,33.9,3988229139,213,4.8,,,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331519,5,49,1,0,7,2b57rbw94i9ohnbch52owvqtq,1,26.3,50.8,2023-01-21T17:16:18.555Z,2023-01-22T07:20:16Z,,,,,,,,,,,,,,,,,,,,,,,,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
