id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/12/value,assist,qualifier/16/value
2537219555,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-04-22T15:29:09.098Z,2023-04-22T15:29:08Z,4209304961,197,8173,4209304959,194,auqy1bigw2a1owxg441wojzyt,4209304955,130,8,4209304949,30,"6qlfe04qjldj3rkeeme6gdi39, 6z1isgjrlx4gbcjp5ekawdi39, bjhjz96omjukrg6tj3mny39t6, auqy1bigw2a1owxg441wojzyt, 9qm1adecprlczxw7ldbpvoi51, 9kywhmzih4xhuz5d1rrxjcpd6, f03fccqnepjczr841h0zqdeui, 7xs1rx9jos4ls85u362y9hqeh, 7y2fbdkqsz35hgsib6rail1hx, 2j8y06wuinnx87eetadj55zo5, dd711ekg0nlaosmsy2lz13syy, 12c7rhdjh6rja1d2j45n3exyi, 5zpg8fnqc4luuhlonsn5nbw4q, 2aemkadh3bhtgm5db8r89pvit, e2z19y8is5m24brpa3gzn02qx, bxcrdkrcljgx6l4o0uy4rom3t, 96xomdtz505yoaz35i5bb8f84, 1ezai0a0n3xem17lwhtxwaml1",4209304951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4209304953,59,"1, 2, 11, 7, 32, 24, 79, 8, 25, 5, 39, 14, 17, 20, 22, 23, 45, 55",4209304957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4209304963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537220291,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-04-22T15:29:28.375Z,2023-04-22T16:13:16Z,4209308479,59,"30, 21, 27, 99, 4, 70, 28, 14, 10, 20, 6, 3, 5, 7, 16, 23, 29, 52",4209308487,194,4e5jvz1t60a2l67c5a9r2qne,4209308475,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4209308483,130,11,4209308489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4209308485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4209651289,197,8175,4209308473,30,"7nlpu8ocv423vqaooks0hifze, 9bnvh1i6mu45yvkz257c0x1at, 6cztmz0yq3ifdkkz4hpe47krt, a52575bcqr3acuweauiyzsb56, 6iu350lkyhy6tcll5gfo4vy3u, bhytxjryyo8du8lf0xi0tzcb8, 89m2i076rpwreyl8h1o9kc6xg, e44sv1k4belucgkkem7qtkpd6, 8058605f3gip7nglewe7svqzu, 5jxclq9dzjbbqptbzz5jnwand, 4e5jvz1t60a2l67c5a9r2qne, 4fgrf40ajhehju4kav49vobca, apusqhva0hdbf7zqb3twgeoa2, 7ruin2kz9zjzba57tdbec7n4l, 3j1vhujla834m422svmrdh3pw, 1acbm9228tfggjx7htxjtcvrp, 6h8nr55ieqsaiscoxje2ihmhg, 20teoyeqpyu0ftatz045glfkk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285345,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-04-22T16:15:09.009Z,2023-04-22T16:15:12Z,4209659755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285333,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-04-22T16:15:09.009Z,2023-04-23T05:05:33Z,4209659687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285379,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,50,50,2023-04-22T16:15:09.075Z,2023-04-23T00:57:18Z,4209659961,279,S,4211599443,178,,4209659959,213,4.0,4209659951,56,Back,4209659955,141,33.1,4209659953,140,40.6,4209659957,212,15.1,,,,7y2fbdkqsz35hgsib6rail1hx,Igor Vetokele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285447,4,1,1,0,2,2nhn3ikl1ciq34w3hcp883d6p,1,41.5,40.8,2023-04-22T16:15:11.119Z,2023-04-23T07:48:21Z,4209660323,141,8.8,4209660327,213,5.3,4211599685,178,,4209660319,56,Right,4209660321,140,54.9,4209660325,212,25.9,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285455,5,61,1,0,5,2nhn3ikl1ciq34w3hcp883d6p,0,60.3,13.2,2023-04-22T16:15:14.497Z,2023-04-23T07:48:19Z,4209660353,56,Right,4211600491,178,,,,,,,,,,,,,,,,,,,,dd711ekg0nlaosmsy2lz13syy,T. Van den Keybus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285467,3,49,1,0,6,jb4xejoxjfk5a0a50bo8hvst,1,35.7,86.5,2023-04-22T16:15:15.580Z,2023-04-23T07:48:19Z,,,,,,,,,,,,,,,,,,,,,,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285507,4,1,1,0,8,jb4xejoxjfk5a0a50bo8hvst,1,27.8,89.7,2023-04-22T16:15:17.705Z,2023-04-23T07:48:19Z,4209660609,56,Back,4209660615,212,6.0,4209660611,140,29.6,4211601117,178,,4209660617,213,5.0,4209660613,141,81.4,,,,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285511,5,61,1,0,9,jb4xejoxjfk5a0a50bo8hvst,0,27.8,76.5,2023-04-22T16:15:18.580Z,2023-04-23T07:48:18Z,4209660627,56,Back,4211601507,178,,,,,,,,,,,,,,,,,,,,5jxclq9dzjbbqptbzz5jnwand,A. Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285509,6,49,1,0,10,2nhn3ikl1ciq34w3hcp883d6p,1,68.3,19.9,2023-04-22T16:15:19.660Z,2023-04-23T07:48:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537285525,7,1,1,0,10,2nhn3ikl1ciq34w3hcp883d6p,1,68.4,19.9,2023-04-22T16:15:19.704Z,2023-04-23T07:48:17Z,4209660713,213,5.0,4209660707,140,69.1,4211602183,178,,4209660709,141,16.5,4209660711,212,2.4,4209660705,56,Right,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
