id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/13/value,qualifier/17/value
2507128909,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-02-12T16:22:52.798Z,2023-02-12T17:37:18Z,4029045433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4029045443,197,16111,4029045439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4029045445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029045435,59,"16, 13, 11, 34, 20, 6, 22, 14, 10, 17, 77, 8, 9, 25, 30, 44, 51, 61",4029045431,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, cllq8xizuqut48xxqc3btz97u, 69ivqkcipxp15b7x5jl83ud49, 2bz8ey1mxuv6uo8duu7if6k4q, 464o8uslv6z2fdm269j97gt4a, d6r3vkalhudms84f6fs415wid, 187wxh3jjn8hqbu7fyw7wullh, 8bh749b5p635490hik1pj40yd, aplp0s17kil5g82uz5sicn622, bci3k14ed9oqcchpmtq37rnx1, a7sjrqjvm8jwm64a7dxpqjii2, eq5hfgqm32c7qmj6xwp7j9iqc, 3z1lfdoy92bq8airglbhx32tw",4029045437,130,13,4029045441,194,48f3zlksc3r230qb78c5emnyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507133459,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-02-12T16:28:25.823Z,2023-02-12T17:39:16Z,4029068231,194,6vh5n14h1knmx7yut84q2f2l1,4029068221,30,"6yegi163rq5fsloppfubi3sh5, 6t7ezta9mftdtk20pgxa30r85, 6vh5n14h1knmx7yut84q2f2l1, eb1rih67f03kwljbge37id1ck, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 5zdapzrncz7vch3yrgftfp5g, 8b95khn8h8qz3y4u4coajs5at, 93weoj4q60xtxdntko7hobg4q, 9n5wjnjloy0c2euwhsu9u1y39, 5np1ksd9qkmc511ihzvikhy0a, bf22is04tealb92h075c7u356, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, 7hdyeeejo7h9kvqt7x8jlrlec, bcfayigqu8oygm1xvpgl9akt1, 280b4j6oidfonglcbr2vlj59m, 3pr51w08wkrl03rpafmsouj85",4029068227,130,12,4029068235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029068233,197,9463,4029068229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4029068225,59,"1, 77, 30, 21, 4, 44, 25, 10, 9, 20, 18, 5, 16, 17, 23, 29, 32, 70",4029068223,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507178885,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-02-12T17:32:27.988Z,2023-02-13T05:14:28Z,4029313465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507178889,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-02-12T17:32:27.988Z,2023-02-12T17:32:30Z,4029313485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507178899,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50.1,50.1,2023-02-12T17:32:27.990Z,2023-02-13T07:33:59Z,4029313531,141,63.3,4029313537,279,S,4030492881,178,,4029313535,213,2.7,4029313529,140,33.0,4029313527,56,Back,4029313533,212,20.1,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507178951,4,1,1,0,1,1uk609mhtsfhokhaewjapb26,1,35.8,70.3,2023-02-12T17:32:29.898Z,2023-02-13T11:35:33Z,4029313851,141,95.0,4030492913,178,,4029313855,213,1.0,4029313849,140,46.3,4029313847,56,Back,4029313853,212,20.1,,,,,,,eb1rih67f03kwljbge37id1ck,M. Wasinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507178981,5,1,1,0,3,1uk609mhtsfhokhaewjapb26,0,48.6,96.9,2023-02-12T17:32:31.953Z,2023-02-13T11:35:33Z,4030492963,178,,4029314029,141,79.3,4029314023,155,,4029314031,212,26.9,4029314033,213,5.8,4029314025,56,Left,4029314027,140,71.5,,,,6vh5n14h1knmx7yut84q2f2l1,K. D'Haene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179019,3,1,1,0,6,5z1b7fuvpqe6vnigvopomvecu,1,26.6,25.9,2023-02-12T17:32:34.256Z,2023-02-13T11:35:32Z,4029314177,141,23.1,4029314171,3,,4029314175,140,32.2,4029314181,213,6.0,4030493017,178,,4029314179,212,6.2,4029314173,56,Back,,,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179023,4,49,1,0,7,5z1b7fuvpqe6vnigvopomvecu,1,31.6,26.1,2023-02-12T17:32:35.082Z,2023-02-13T11:35:32Z,,,,,,,,,,,,,,,,,,,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179029,5,50,1,0,7,5z1b7fuvpqe6vnigvopomvecu,1,28.7,25.2,2023-02-12T17:32:35.132Z,2023-02-13T11:16:14Z,4029314205,56,Back,4029314267,233,6,4030716109,285,,,,,,,,,,,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179033,6,7,1,0,7,1uk609mhtsfhokhaewjapb26,0,71.3,74.8,2023-02-12T17:32:35.970Z,2023-02-13T11:16:15Z,4030716119,286,,4030493183,178,,4029808177,383,,4029314221,56,Center,4029314253,233,5,,,,,,,,,,8b95khn8h8qz3y4u4coajs5at,F. Selemani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179045,6,1,1,0,9,5z1b7fuvpqe6vnigvopomvecu,1,29,26.4,2023-02-12T17:32:37.432Z,2023-02-13T11:35:31Z,4029314303,56,Back,4029314309,212,6.5,4029314305,140,23.2,4030493263,178,,4029314311,213,3.5,4029314307,141,23.1,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179117,7,1,1,0,11,5z1b7fuvpqe6vnigvopomvecu,1,21.3,26.5,2023-02-12T17:32:39.210Z,2023-02-13T11:35:30Z,4029314741,213,5.0,4029314737,141,5.2,4030493383,178,,4029314735,140,25.4,4029314739,212,15.1,4029314733,56,Back,,,,,,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507454709,1511,1,1,0,13,5z1b7fuvpqe6vnigvopomvecu,1,28.1,3.8,2023-02-12T17:32:41.900Z,2023-02-13T11:51:30Z,4030774259,141,18.5,4030774263,213,0.5,4030774257,140,45.4,4030774261,212,20.7,4030774267,178,,4030774255,56,Back,,,,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179121,8,50,1,0,15,5z1b7fuvpqe6vnigvopomvecu,1,41.8,11.6,2023-02-12T17:32:43.715Z,2023-02-13T11:35:28Z,4029314759,56,Back,4029314795,233,7,4029314761,286,,,,,,,,,,,,,,,,,464o8uslv6z2fdm269j97gt4a,O. Davida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
