id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value
2495336535,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-06T18:49:41.870Z,2023-01-06T19:46:04Z,3967175723,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, esvfsx8gxqw8h0codqz5xmnmc, 9rwn5wckqcb5inw1dhhmpj1t5, 4rwvkp9xlyv314ceglbauou6t, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, bk9fq3chnhmw3u36qz5vf1vjd, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, 7n75ohdnbi436je81n5f8f9m2, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl",3967175741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967175733,194,4fc3xit5tx2o583prbwhkq8d1,3967175727,59,"21, 4, 77, 3, 37, 22, 16, 27, 30, 91, 8, 7, 11, 12, 14, 19, 20, 26",3967175729,130,18,3967175731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3967175725,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3967175737,197,5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339001,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-06T19:02:11.033Z,2023-01-06T19:51:53Z,3967189709,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3967189713,130,13,3967189707,30,"bxcwnf87pf8ijzbxy70ewcfe1, bxudrqx99a3zv5gajdzxz38id, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, cllq8xizuqut48xxqc3btz97u, 69ivqkcipxp15b7x5jl83ud49, 6a0e28nxlyyw7ghe4wzumlzh1, 464o8uslv6z2fdm269j97gt4a, d6r3vkalhudms84f6fs415wid, 187wxh3jjn8hqbu7fyw7wullh, 2bz8ey1mxuv6uo8duu7if6k4q, eg2u042cthz9undb4xz0pu8rt, bci3k14ed9oqcchpmtq37rnx1, 504qkt70jvof5yzffmwwo5c5x, eq5hfgqm32c7qmj6xwp7j9iqc, 3z1lfdoy92bq8airglbhx32tw",3967189719,197,16111,3967189721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967189715,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3967189717,194,48f3zlksc3r230qb78c5emnyt,3967189711,59,"16, 21, 11, 34, 20, 6, 22, 14, 28, 17, 77, 8, 10, 13, 30, 38, 51, 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365187,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-06T19:49:37.034Z,2023-01-06T19:49:39Z,3967335583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365179,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-06T19:49:37.034Z,2023-01-07T03:27:22Z,3967335537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365223,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,49.9,50,2023-01-06T19:49:37.076Z,2023-01-07T03:46:19Z,3967659869,178,,3967335745,213,3.4,3967335747,279,S,3967335741,141,42.8,3967335739,140,31.6,3967335743,212,19.8,3967335737,56,Back,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365233,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,0,33.5,42.7,2023-01-06T19:49:39.791Z,2023-01-07T08:53:44Z,3967335785,56,Center,3967335789,141,67.5,3967659877,178,,3967335793,213,0.4,3967335787,140,67.4,3967335795,1,,3967335791,212,39.4,3967335783,157,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365251,3,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,26.9,28.8,2023-01-06T19:49:42.355Z,2023-01-07T08:53:43Z,3967335873,213,0.3,3967335863,3,,3967335869,141,39.7,3967659881,178,,3967335871,212,25.9,3967335865,56,Center,3967335867,140,50.5,,,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365287,5,1,1,0,8,5z1b7fuvpqe6vnigvopomvecu,1,50.8,59.2,2023-01-06T19:49:45.080Z,2023-01-07T08:53:43Z,3967336023,141,85.6,3967659887,178,,3967336027,213,1.3,3967336021,140,55.7,3967336019,56,Left,3967336017,3,,3967336025,212,18.7,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365289,6,1,1,0,12,5z1b7fuvpqe6vnigvopomvecu,0,53.9,94.8,2023-01-06T19:49:49.888Z,2023-01-07T08:53:42Z,3967336033,56,Left,3967336053,286,,3967336031,155,,3967336037,141,90.5,3967336035,140,61.6,3967336039,212,8.6,3967336041,213,5.9,3967659929,178,,corn6i066rh7c7veva0sm3oid,K. Laifis,3967336047,236,3967336049,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365285,4,74,1,0,12,2989v3kho9h5jaboe1nr7lx21,1,44.5,7.4,2023-01-06T19:49:49.910Z,2023-01-07T08:53:42Z,3967336013,285,,3967336063,233,6,3967659937,178,,3967336011,56,Back,,,,,,,,,,,,,esvfsx8gxqw8h0codqz5xmnmc,M. Smets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
