id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2438187375,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-07-22T17:49:20.883Z,2022-07-23T09:45:43Z,3664192367,130,13,3664192375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3664192373,197,3312,3664192371,194,18pgjfpl9s8qy32mblzygsyc5,3664192365,59,"33, 18, 17, 23, 5, 2, 22, 24, 9, 11, 34, 6, 16, 19, 21, 30, 31, 12",3664192361,30,"be0ws51ws5cm9wzmcp3ozmklx, 7s4ws0u4erq1jfobqpsj0aoes, 1d2fpmtdglpqwyhnc657n77it, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 2cc5y9hjnc8nqrh58ojz6ajth, 18pgjfpl9s8qy32mblzygsyc5, dgwhg6g9oys6as69cqcgyi9xx, 1khy4w78z012p8z20gcp0nrvt, 87ccrt89k5abyjisix22g08ut, ebx4h86svfnvegspalqgxqfah, cxa3j4u8eh5w947p1iba47yfo, 2igz499o21aihmkugktp3nyms, dnt7ahwfj8endqngxwfll1tjp, 9xhuc26auh42v6lnyrlupvzf8, eyvf8uu7jltbzalaov3qt1w5, ae4c4jk7e2f3ixtme0zwnex3o",3664192363,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3664192369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438189403,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-07-22T17:54:01Z,2022-07-22T18:43:32Z,3664202551,30,"bxcwnf87pf8ijzbxy70ewcfe1, a5jrqzijth7e3uxl4phi83sdm, 58t55r6jzo6bco6uf80pbkk8a, 187wxh3jjn8hqbu7fyw7wullh, 48f3zlksc3r230qb78c5emnyt, corn6i066rh7c7veva0sm3oid, 93hp5gm29ke90ugdimd9xf949, rmruexgp6l6ar57aq8xffg4q, 8bh749b5p635490hik1pj40yd, 1pg0b32xb9230zit0ndyd79ih, ajcblksnh113es9hzt7l5k8h5, bd52544djk7t61roc813rewdm, 2bz8ey1mxuv6uo8duu7if6k4q, 2gpt4ph0jpaaj49fnnmpdc1qt, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc, cllq8xizuqut48xxqc3btz97u, 3z1lfdoy92bq8airglbhx32tw",3664202553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3664202559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3664202555,59,"16, 3, 5, 8, 6, 34, 11, 26, 9, 19, 7, 4, 10, 15, 30, 51, 22, 61",3664202563,197,16111,3664202561,194,48f3zlksc3r230qb78c5emnyt,3664202557,130,8,3664202565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207369,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-07-22T18:46:09.996Z,2022-07-23T05:59:22Z,3664294485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207357,3,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-07-22T18:46:09.996Z,2022-07-22T18:46:10Z,3664294445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207379,4,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50.1,49.7,2022-07-22T18:46:10.117Z,2022-07-23T06:11:38Z,3664294563,56,Back,3664294569,212,15.3,3664294565,140,36.8,3664294571,213,2.7,3664818235,178,,3664294573,279,S,3664294567,141,58.8,,,,87ccrt89k5abyjisix22g08ut,T. Tissoudali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207385,5,1,1,0,3,8y3iucyxguipljcmf87a11bk9,1,42.3,61.1,2022-07-22T18:46:13.179Z,2022-07-23T09:47:30Z,3664294605,56,Left,3664294611,212,26.4,3664294613,213,1.1,3664294607,140,54.1,3664818275,178,,3664294609,141,95.4,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207401,6,1,1,0,5,8y3iucyxguipljcmf87a11bk9,1,47.8,95.4,2022-07-22T18:46:15.965Z,2022-07-23T09:47:29Z,3664294679,56,Back,3664294681,140,31.0,3664294683,141,93.5,3664294687,213,3.2,3664818313,178,,3664294685,212,17.7,,,,,,,1d2fpmtdglpqwyhnc657n77it,A. Hjulsager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207421,7,1,1,0,8,8y3iucyxguipljcmf87a11bk9,1,29,83.7,2022-07-22T18:46:18.765Z,2022-07-23T09:47:29Z,3664294781,213,4.2,3664294779,212,13.4,3664294773,56,Back,3664294777,141,67.0,3664294775,140,22.2,3664818337,178,,,,,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207431,8,1,1,0,11,8y3iucyxguipljcmf87a11bk9,1,22.9,57.2,2022-07-22T18:46:21.067Z,2022-07-23T09:47:28Z,3664294823,212,24.7,3664294821,141,21.2,3664294819,140,26.3,3664294825,213,4.9,3664294817,56,Back,3664818369,178,,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438207435,9,1,1,0,12,8y3iucyxguipljcmf87a11bk9,1,25.5,25.3,2022-07-22T18:46:22.453Z,2022-07-23T09:47:28Z,3664294869,213,0.4,3664294863,140,32.8,3664294867,212,8.3,3664294865,141,30.0,3664818401,178,,3664294857,56,Back,,,,,,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
