id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2453086775,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-08-29T16:42:28.494Z,2022-08-29T18:03:14Z,3743399693,30,"el98wqtf7w1ap9ei2bxqwtx3p, 87d9nk7nzy4blezcur66rz1ed, 2qauzcv74cd8uqfv2ibl52ymt, 4zve4017u2i3zvxlnjruv25t5, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, cn3ocv5r0d0un0no4wlxl5y39, 2rn90c44nbr991vxlj2nmwxqt, 3r9gdse50kyeq9ya1o3ul0e6t, 3ia1z3fooszynz9a81dn17oid, d2z22er0uqxu3w3h3ta36wh61, 4ktnru3pqurww9h9af7n2959l, wwdfv8zkkgplnpbz12pv8frp, 7s0xu9z5egw0sjf8qibdwa6s5, cfm1cx3wneiqljgyv0tthp0ph, bpvxqbiu11k4ivohi3798kxxx, a8ws0c0qiekoeqib6xxet0ixh, 8wh06x3xb8duroz673s3c43x1, 9rm0qaumcii8d9zqxkh9nq4lx, 6ub3gmmh58vvk9yk3f0osmp5h, aabvyjqpd63os1yzthx8ej6c5, 74fvkkk0hchgnfh0jzzfwqprd, 8nbnru9t2qxaotxw0hiaocdt5",3743399699,130,2,3743399701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743399695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3743399697,59,"1, 2, 22, 36, 23, 3, 11, 6, 18, 9, 21, 5, 7, 8, 13, 14, 15, 16, 17, 19, 24, 29, 32",3743533255,197,1511,3743399705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743399703,194,2rn90c44nbr991vxlj2nmwxqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453087545,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-08-29T16:44:10.160Z,2022-08-29T19:55:43Z,3743403961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3743537429,197,12043,3743403965,130,8,3743403969,194,81png9xvfr224o03vaksp6aqd,3743403963,59,"1, 18, 15, 6, 3, 5, 11, 8, 9, 10, 7, 2, 12, 14, 16, 19, 20, 21, 22, 31, 35",3743403971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743403967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743403959,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 3tzvbdszdrj1tayik9igbve8l, 1rjzsyc8yt25tyelzg820if2t, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112039,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-08-29T18:01:41.367Z,2022-08-29T18:01:41Z,3743536641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112049,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-08-29T18:01:41.367Z,2022-08-30T04:33:49Z,3743536677,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112065,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,49.9,49.9,2022-08-29T18:01:41.619Z,2022-08-30T03:42:30Z,3743536781,56,Back,3743536787,212,3.5,3743536789,213,2.0,3743536783,140,48.5,3743536791,279,S,3743536785,141,54.6,3744102651,178,,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112079,4,1,1,0,1,3czravw89omgc9o4s0w3l1bg5,1,48.6,54,2022-08-29T18:01:43.032Z,2022-08-30T03:42:40Z,3744102663,178,,3743536849,56,Center,3743536851,140,59.5,3743536857,213,0.7,3743536855,212,14.5,3743536853,141,67.2,,,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112083,5,50,1,0,3,3czravw89omgc9o4s0w3l1bg5,1,68.8,64.7,2022-08-29T18:01:44.821Z,2022-08-30T03:42:45Z,3743536869,56,Center,3743542181,233,3,3743536871,286,,,,,,,,,,,,,,,,,do5tibysnhbnbw18nwdo39kut,Álex Berenguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112087,3,7,1,0,3,82q9159y2u7mkfn3z6hy75r4o,0,31.2,35.3,2022-08-29T18:01:44.943Z,2022-08-30T03:43:09Z,3743859413,383,,3744102687,178,,3743536877,56,Back,3743536907,233,5,3743536879,285,,,,,,,,,,,87d9nk7nzy4blezcur66rz1ed,Joseba Zaldúa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453113007,36,61,1,0,3,3czravw89omgc9o4s0w3l1bg5,1,66.8,64.7,2022-08-29T18:01:44.999Z,2022-08-30T03:43:15Z,3744102695,178,,3743542489,56,Center,,,,,,,,,,,,,,,,,,,do5tibysnhbnbw18nwdo39kut,Álex Berenguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453112091,4,49,1,0,4,82q9159y2u7mkfn3z6hy75r4o,1,39.6,41.3,2022-08-29T18:01:45.770Z,2022-08-30T03:43:20Z,,,,,,,,,,,,,,,,,,,,,,,,,2rn90c44nbr991vxlj2nmwxqt,José Mari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
