id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,assist,qualifier/18/value
2498059229,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-01-16T18:52:06.909Z,2023-01-16T20:03:55Z,3981551549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3981551557,194,7s0xu9z5egw0sjf8qibdwa6s5,3981551551,59,"1, 20, 22, 4, 23, 3, 7, 24, 9, 8, 14, 2, 5, 10, 11, 12, 18, 19, 21, 26, 30",3981551553,130,6,3981637457,197,1511,3981551555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3981551547,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 9c2cfavuofg0yz3307nkgi0ut, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, wwdfv8zkkgplnpbz12pv8frp, aabvyjqpd63os1yzthx8ej6c5, 3ia1z3fooszynz9a81dn17oid, 7s0xu9z5egw0sjf8qibdwa6s5, 92b22xcwri3rokbvu09htjhwq, 2vvr0pc9xgoiq1pmxpjysyr8q, 4ktnru3pqurww9h9af7n2959l, bpvxqbiu11k4ivohi3798kxxx, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, 3r9gdse50kyeq9ya1o3ul0e6t, 6ub3gmmh58vvk9yk3f0osmp5h, d2z22er0uqxu3w3h3ta36wh61, 8h6je56fe74djcd3va7iq6yhg, 43f089ah382y8v0hnd83zjiay",3981551559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498059511,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-01-16T18:53:59.911Z,2023-01-16T19:58:45Z,3981552741,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3981552743,59,"13, 40, 23, 4, 3, 14, 21, 20, 9, 10, 18, 7, 1, 2, 5, 8, 11, 16, 17, 19, 28",3981552745,130,13,3981552747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3981552751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3981552739,30,"36bg0k385i4wwarffp6ak1syd, 6jq376l673aizjxxhhos2j52i, 7wjmaxqunpd84il1p5w4xwrmd, b69uny9udp3ab2zccwa0qnrh1, 2zn2o5lzchz7oattq9pnjr8wl, ewu1skobmxtz4f3z6dbnfm6dx, bkvvapojagxvj17nzk3oy8ct1, f0a2qk3jzxercn67bben5eled, 9ivrglgy0tibv881e1a93psr9, 1ore4ght7ls393tcpbmah9dcl, aziqdd6dqjjgr6ifmzve0cz4l, eo74fl3ctgkwbpsa099rkv6xh, c0pl96o1zkrgvukte9zefl591, 61j22wr5t5irba2v3v4l1rnro, elb74prcilvsqzn9jdznrjavp, 8axw2xc0dl8vsdub6nq4nhjo5, 1i9mqbswolg91evnmsrf5katx, e18oezz5jq7pf3h4azgv3ofrp, ac5f9msbvijksbq5s2ivwh979, a971j313ztjvcgojpg6u390b9, 8twklnbsk3tiyw713l06n340k",3981635155,197,281,3981552749,194,36bg0k385i4wwarffp6ak1syd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075685,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-01-16T20:02:23.579Z,2023-01-17T06:15:08Z,3981637811,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075683,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-01-16T20:02:23.579Z,2023-01-16T20:02:23Z,3981637805,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075691,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,50.1,50.1,2023-01-16T20:02:23.609Z,2023-01-17T07:30:47Z,3981637827,56,Back,3981963001,178,,3981637837,279,S,3981637831,141,52.4,3981637833,212,6.2,3981637835,213,2.9,3981637829,140,44.4,,,,9ivrglgy0tibv881e1a93psr9,L. Boyé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075699,4,1,1,0,1,4yg9ttzw0m51048doksv8uq5r,1,45,52.5,2023-01-16T20:02:25.314Z,2023-01-17T07:30:54Z,3981637887,140,28.9,3981637885,56,Back,3981963019,178,,3981637891,212,20.2,3981637889,141,68.7,3981637893,213,2.6,,,,,,,f0a2qk3jzxercn67bben5eled,Gumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075709,5,1,1,0,4,4yg9ttzw0m51048doksv8uq5r,0,33.7,68.8,2023-01-16T20:02:28.372Z,2023-01-17T07:30:59Z,3981963037,178,,3981637941,212,56.0,3981637927,56,Center,3981637945,213,6.2,3981637921,155,,3981637935,141,65.7,3981637931,140,87.0,3981637947,1,,b69uny9udp3ab2zccwa0qnrh1,Diego González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075719,3,52,1,0,10,82q9159y2u7mkfn3z6hy75r4o,1,10,28.9,2023-01-16T20:02:33.738Z,2023-01-17T07:31:05Z,3981963063,178,,3981810159,377,,,,,,,,,,,,,,,,,,,,el98wqtf7w1ap9ei2bxqwtx3p,J. Ledesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075733,4,1,1,0,11,82q9159y2u7mkfn3z6hy75r4o,1,11.5,28.6,2023-01-16T20:02:34.881Z,2023-01-17T07:31:09Z,3981963081,178,,3981638039,140,32.2,3981638047,1,,3981638035,123,,3981638045,213,1.1,3981638063,287,,3981638041,141,95.6,3981638043,212,50.5,el98wqtf7w1ap9ei2bxqwtx3p,J. Ledesma,3981638037,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075743,5,1,1,0,18,82q9159y2u7mkfn3z6hy75r4o,1,36.5,95.4,2023-01-16T20:02:42.103Z,2023-01-17T07:31:13Z,3981638117,213,4.7,3981638109,56,Back,3981963107,178,,3981638115,212,14.1,3981638111,140,36.3,3981638113,141,74.6,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
