id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2473893167,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-18T16:28:55.522Z,2022-10-18T17:59:26Z,3854064195,130,10,3854064193,59,"13, 22, 21, 6, 23, 2, 20, 5, 10, 19, 11, 1, 3, 4, 7, 8, 9, 12, 14, 15, 16, 17, 27",3854064191,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3854064199,194,9see13i1f0n1ju4uhs8sijutx,3854064197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854064189,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5lzbyj5i0cotpry4gneap8c89, cue88fm1v1ysfuwhql68czydx, 32sds4yk7ch30mng0gyzhdk9h, 9see13i1f0n1ju4uhs8sijutx, dkv5svrbfiq996qchro44dfpx, ch1lxxbn01at4jmkafy4uevh1, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, eiqt71z69beq7akuhot0foset, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 5l6e9nd0defapk1w2ucndowr9, bvbebtykj45j3luvemk8yc4ph, 8lg4tqh5bepeexbhghyr7pze2, 2o3bka7gokfjkej1f600ovbo5, aso41hpuq5oh825n83boc5x0q, entqiwoor6dhwqcg5s82krfth, 5mj2vxkh3pmkbwj139mp93n4l",3854064201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854246347,197,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473895197,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-18T16:32:33.980Z,2022-10-18T18:00:23Z,3854075577,130,8,3854075579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854075571,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, e40eqhxzzid2chfyxph37tuxh, ddvvwqxpsqqboupi3gx1ijhed, dfcbvsb7o18lavmonbp5ucwoa, 81png9xvfr224o03vaksp6aqd, uzzq2p3s1qnb3wv1pee3mcph, do5tibysnhbnbw18nwdo39kut, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, 7x2c4pr7hvku5zp0dnjcpy0yy, 8hm6d6395johhjsoe8jz6dcyd, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",3854075573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3854075575,59,"1, 18, 15, 6, 3, 4, 11, 23, 9, 8, 10, 5, 7, 12, 13, 14, 16, 17, 19, 20, 22, 24, 31",3854075581,194,81png9xvfr224o03vaksp6aqd,3854075583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3854248447,197,12043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926399,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-10-18T18:00:43.132Z,2022-10-18T18:00:43Z,3854249473,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926429,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-18T18:00:43.132Z,2022-10-19T01:57:41Z,3854249637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926425,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.3,50.3,2022-10-18T18:00:43.152Z,2022-10-19T05:41:24Z,3854249613,212,2.2,3854249611,141,47.8,3854249615,213,5.4,3855328821,178,,3854249617,279,S,3854249607,56,Center,3854249609,140,51.7,3854249619,278,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926465,4,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,51.3,49.5,2022-10-18T18:00:43.854Z,2022-10-19T05:41:24Z,3854249771,212,26.6,3854249773,213,4.5,3854249765,56,Back,3854249769,141,11.0,3854249767,140,46.7,3855328825,178,,,,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926475,5,1,1,0,4,3czravw89omgc9o4s0w3l1bg5,0,52.6,11.6,2022-10-18T18:00:47.241Z,2022-10-19T05:41:24Z,3854249823,140,66.4,3854249821,56,Right,3854249825,141,16.7,3855328829,178,,3854249827,212,14.9,3854249829,213,0.2,,,,,,,e9wu8g45hq2c1vp07jktx0set,De Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926455,3,49,1,0,5,1n1j0wsl763lq7ee1k0c11c02,1,35.7,76.4,2022-10-18T18:00:48.415Z,2022-10-19T05:41:25Z,,,,,,,,,,,,,,,,,,,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473926499,4,1,1,0,7,1n1j0wsl763lq7ee1k0c11c02,0,41.3,88.9,2022-10-18T18:00:50.936Z,2022-10-19T05:41:25Z,3855328843,178,,3854249991,212,7.2,3854249993,213,5.7,3854249989,141,83.5,3854249987,140,47.2,3854249985,56,Back,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474126489,1071,67,1,0,8,3czravw89omgc9o4s0w3l1bg5,1,54.3,16.8,2022-10-18T18:00:52.035Z,2022-10-19T06:31:18Z,3855356729,233,896,,,,,,,,,,,,,,,,,,,,,,9d5h5wxf44qu4fw3jk2pgis16,Dani Vivian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
