id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/13/value
2495341365,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2023-01-06T19:06:17.614Z,2023-01-06T20:15:14Z,3967203085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967203087,194,5b1q9bpe23j98eoy4fwi7ld5h,3967203089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967203079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967344233,197,1597,3967203083,130,4,3967203077,30,"20o2dr1mdk18xhxmkujzgak89, 8vmrboswsfyb5bfoq07s6susp, 5b1q9bpe23j98eoy4fwi7ld5h, e7del0ovpcpntqdgh8idxok4p, 5uig03vbbv71f0q31cp3vfbv9, eucssbf7wamb41y1gixfodivp, b2e12l3s3dxgyr8d2rk5qb9ey, 64ctdbd0w5ikj0fkcuu9jdbhm, afyga3n1mliw0btcuixt6xolx, 9z3aqwq5swt9qklwnzuhqcogl, 7yngrviue4iji7w0f9ql07j6x, 23zkmpw4902qf9xvd8z5wptcl, f1e3gi3dx3er2vz7loriw6e39, 96w1jlcwuci7kqqfskfsp6191, 5qgc6zjc38a5xjl35gs7h3vu1, bqrz2xmu25taby17bl7cycjqh, csqsdjsa4leo6z86qphjuectm, 9dc4qkvh0vk5kwymibji00kp, 7yieh5r0uzk6d6x9o060c2bfu, wlqj34ev5mucxtfx6j4tr9at, d6kzekcwqw0q8fq6wt6rmyusq, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8",3967203081,59,"25, 2, 14, 6, 24, 12, 4, 8, 7, 11, 16, 1, 3, 5, 9, 13, 15, 18, 19, 20, 21, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495347535,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-01-06T19:15:54.257Z,2023-01-07T01:07:26Z,3967237625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967237633,194,7s0xu9z5egw0sjf8qibdwa6s5,3967237627,59,"1, 20, 22, 4, 23, 3, 7, 24, 9, 8, 14, 2, 6, 10, 11, 12, 18, 19, 21, 26, 30",3967237631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967237629,130,8,3967344133,197,1511,3967237621,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 9c2cfavuofg0yz3307nkgi0ut, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, wwdfv8zkkgplnpbz12pv8frp, aabvyjqpd63os1yzthx8ej6c5, 3ia1z3fooszynz9a81dn17oid, 7s0xu9z5egw0sjf8qibdwa6s5, 92b22xcwri3rokbvu09htjhwq, 2vvr0pc9xgoiq1pmxpjysyr8q, 2rn90c44nbr991vxlj2nmwxqt, bpvxqbiu11k4ivohi3798kxxx, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, 3r9gdse50kyeq9ya1o3ul0e6t, 6ub3gmmh58vvk9yk3f0osmp5h, d2z22er0uqxu3w3h3ta36wh61, 8h6je56fe74djcd3va7iq6yhg, 43f089ah382y8v0hnd83zjiay",3967237635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371765,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-01-06T20:11:09.104Z,2023-01-06T20:11:10Z,3967367267,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371751,3,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2023-01-06T20:11:09.104Z,2023-01-07T05:49:53Z,3967367179,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371795,4,1,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,50.1,50.1,2023-01-06T20:11:09.139Z,2023-01-07T06:01:49Z,3967367423,213,2.7,3967367417,140,37.0,3967367415,56,Back,3967367421,212,15.4,3967728621,178,,3967367419,141,60.4,3967367425,279,S,,,,e7del0ovpcpntqdgh8idxok4p,Hugo Guillamón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371803,5,1,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,39,58.1,2023-01-06T20:11:09.899Z,2023-01-07T06:01:55Z,3967728727,178,,3967367469,140,36.5,3967367475,213,4.2,3967367467,56,Back,3967367473,212,5.6,3967367471,141,50.9,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371823,6,1,1,0,1,ba5e91hjacvma2sjvixn00pjo,1,37.3,54.6,2023-01-06T20:11:10.915Z,2023-01-07T06:02:00Z,3967728805,178,,3967367589,141,89.0,3967367587,140,42.2,3967367593,213,1.4,3967367585,56,Back,3967367591,212,24.0,,,,,,,5uig03vbbv71f0q31cp3vfbv9,E. Cömert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371833,7,1,1,0,3,ba5e91hjacvma2sjvixn00pjo,0,39.7,87.6,2023-01-06T20:11:12.517Z,2023-01-07T06:02:07Z,3967367647,141,69.6,3967367645,140,75.5,3967728935,178,,3967367651,212,39.5,3967367657,1,,3967367655,213,6.0,3967367641,157,,3967367643,56,Center,7yngrviue4iji7w0f9ql07j6x,Samuel Lino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371871,3,1,1,0,6,82q9159y2u7mkfn3z6hy75r4o,1,24,35.4,2023-01-06T20:11:15.601Z,2023-01-07T06:02:24Z,3967367867,3,,3967729261,388,,3967367881,213,5.4,3967367877,212,4.6,3967367869,56,Back,3967367873,141,30.4,3967367871,140,26.9,,,,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371877,4,61,1,0,7,82q9159y2u7mkfn3z6hy75r4o,0,27,30.4,2023-01-06T20:11:16.121Z,2023-01-07T06:02:34Z,3967367905,56,Back,3967729397,178,,,,,,,,,,,,,,,,,,,,aabvyjqpd63os1yzthx8ej6c5,Fede San Emeterio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371929,8,1,1,0,9,ba5e91hjacvma2sjvixn00pjo,1,67.8,78.7,2023-01-06T20:11:18.236Z,2023-01-07T06:02:41Z,3967368203,212,12.6,3967729471,178,,3967368201,141,97.3,3967368199,140,67.8,3967368197,56,Left,3967368205,213,1.6,,,,,,,64ctdbd0w5ikj0fkcuu9jdbhm,Ilaix Moriba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371935,9,61,1,0,12,ba5e91hjacvma2sjvixn00pjo,0,63.3,99.4,2023-01-06T20:11:21.548Z,2023-01-07T06:03:04Z,3967729863,178,,3967368235,56,Left,,,,,,,,,,,,,,,,,,,7yngrviue4iji7w0f9ql07j6x,Samuel Lino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372015,5,5,1,0,13,82q9159y2u7mkfn3z6hy75r4o,1,34.2,-1.6,2023-01-06T20:11:22.234Z,2023-01-07T06:03:07Z,3967368647,233,10,3967368623,347,,3967368621,56,Back,,,,,,,,,,,,,,,,aabvyjqpd63os1yzthx8ej6c5,Fede San Emeterio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495371943,10,5,1,0,13,ba5e91hjacvma2sjvixn00pjo,0,65.8,101.6,2023-01-06T20:11:22.234Z,2023-01-07T06:03:08Z,3967368671,233,5,3967368273,347,,3967368271,56,Left,,,,,,,,,,,,,,,,7yngrviue4iji7w0f9ql07j6x,Samuel Lino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372091,6,1,1,0,26,82q9159y2u7mkfn3z6hy75r4o,0,35,0,2023-01-06T20:11:35.647Z,2023-01-07T06:03:27Z,3967369067,213,0.3,3967369059,56,Right,3967369065,212,31.2,3967369057,107,,3967369069,1,,3967369061,140,63.0,3967369063,141,13.7,3967615953,189,,91lln39q4rzbp8z000p0evn4l,Iza Carcelén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372097,11,49,1,0,30,ba5e91hjacvma2sjvixn00pjo,1,33.6,86.3,2023-01-06T20:11:39.883Z,2023-01-07T06:03:36Z,,,,,,,,,,,,,,,,,,,,,,,,,5uig03vbbv71f0q31cp3vfbv9,E. Cömert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372155,12,1,1,0,33,ba5e91hjacvma2sjvixn00pjo,1,23.6,86.8,2023-01-06T20:11:42.262Z,2023-01-07T06:03:39Z,3967730307,178,,3967369397,212,27.8,3967369395,141,59.0,3967369399,213,3.9,3967369387,56,Back,3967369391,140,4.2,,,,,,,5uig03vbbv71f0q31cp3vfbv9,E. Cömert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372215,13,1,1,0,37,ba5e91hjacvma2sjvixn00pjo,1,4.6,59,2023-01-06T20:11:46.660Z,2023-01-07T06:03:42Z,3967730325,178,,3967369727,212,23.6,3967369725,141,92.6,3967369723,140,10.2,3967369721,56,Back,3967369729,213,1.3,,,,,,,20o2dr1mdk18xhxmkujzgak89,G. Mamardashvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372243,14,1,1,0,40,ba5e91hjacvma2sjvixn00pjo,1,10.3,91.9,2023-01-06T20:11:49.531Z,2023-01-07T06:03:53Z,3967369861,140,2.8,3967730503,178,,3967369863,141,60.0,3967369865,212,23.1,3967369859,56,Back,3967369867,213,4.4,,,,,,,5uig03vbbv71f0q31cp3vfbv9,E. Cömert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372269,15,1,1,0,43,ba5e91hjacvma2sjvixn00pjo,1,3.5,50.1,2023-01-06T20:11:52.358Z,2023-01-07T06:03:59Z,3967370003,56,Back,3967730545,178,,3967370009,212,26.0,3967370011,213,5.6,3967370007,141,26.6,3967370005,140,23.0,,,,,,,20o2dr1mdk18xhxmkujzgak89,G. Mamardashvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372327,16,1,1,0,44,ba5e91hjacvma2sjvixn00pjo,1,24.1,25.5,2023-01-06T20:11:53.981Z,2023-01-07T06:04:02Z,3967370299,141,5.8,3967370297,140,24.2,3967370295,56,Back,3967370301,212,13.4,3967370303,213,4.7,3967730597,178,,,,,,,,b2e12l3s3dxgyr8d2rk5qb9ey,Y. Musah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372369,17,1,1,0,49,ba5e91hjacvma2sjvixn00pjo,1,29,6.3,2023-01-06T20:11:58.149Z,2023-01-07T06:04:06Z,3967370579,56,Back,3967370581,140,21.8,3967370583,141,28.0,3967370587,213,2.0,3967370585,212,16.6,3967730669,178,,,,,,,,8vmrboswsfyb5bfoq07s6susp,Thierry Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372399,18,1,1,0,51,ba5e91hjacvma2sjvixn00pjo,1,21.8,28,2023-01-06T20:12:00.243Z,2023-01-07T06:04:13Z,3967730771,178,,3967370785,141,71.3,3967370787,212,29.6,3967370789,213,1.5,3967370783,140,24.5,3967370781,56,Back,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495372441,19,1,1,0,54,ba5e91hjacvma2sjvixn00pjo,1,24.5,71.3,2023-01-06T20:12:03.593Z,2023-01-07T06:04:16Z,3967370993,56,Back,3967370999,212,19.9,3967730849,178,,3967370997,141,90.6,3967371001,213,0.7,3967370995,140,38.8,,,,,,,5uig03vbbv71f0q31cp3vfbv9,E. Cömert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
