id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2537019619,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-22T13:15:01.217Z,2023-04-22T13:15:01Z,4208265257,59,"50, 26, 28, 8, 4, 32, 20, 16, 14, 9, 23, 56, 13, 15, 21, 22, 24, 47",4208265259,130,8,4208265263,194,f1rmwe24zg4697bqpc3z0y40l,4208265265,197,4826,4208265267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208265253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4208265261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208265249,30,"b1cn7i49cjjiifnfw6xu18xsk, 5q6s3r5ychv1d3r1tch4sot05, 937mkgz0gstvxyjiwfe9xiuzu, f1rmwe24zg4697bqpc3z0y40l, 6tqiy5a5cfpfm90j8r5udl8bu, 2eu3cz65piv0j91gi396p9ega, 8bhf6lrrabp5tw5m8krirsm7e, 71or1ne6d9zuo038qdt6vcvoq, e8whj7tdfmuk66shr30htmhud, 74p53a79q1tlis3a3gladqor9, 3tlocewlh3mb53wd0hk8nucbt, 5205uoqh3ity4jiv9i0tiekno, 4e1c6yk50fl8hnwv6u1132j85, f4m43umaxgf5apvbrm1nbrh1w, e4xeswr8cpdkmlhijuf7oonsa, b5j2ib54sum2pmzthjmfmr55h, 74fouzsgp25muot2pp6as5otl, 2gqq7q2f23bpdhnbradftoqok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537019723,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-04-22T13:15:06.596Z,2023-04-22T14:05:38Z,4208265851,130,13,4208265849,59,"1, 2, 33, 3, 5, 4, 42, 6, 10, 12, 24, 9, 11, 14, 16, 22, 23, 28",4208265847,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4208265861,197,2083,4208265853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208265841,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9r28zj6fz3z8dzojktwambsut, 5obqs1ezswoc3ns0c9k4qai8l, 2hhatd33vvokrbemn4echivhl, 1vfuzp09s9oj95ruav4ln9ch6, 3nwvlft28lt3fiirchylvwtm1, 8uch2zjj8vxmfi2l544j5ipxx, 2uids8ea8jv4r62psqj37x3e2, am8ws7w5mpzvbnb8bvvztbpwp, s2phyy6eoysnxu96rw2ivnx1, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9qeg65oa5skmypxvt73vckfrp, 9mgcugydtvdr5wk7qii9wpd2i, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui",4208265867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208265857,194,5obqs1ezswoc3ns0c9k4qai8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055509,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-22T14:00:16.938Z,2023-04-25T00:38:56Z,4208447753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055515,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-04-22T14:00:16.938Z,2023-04-22T14:00:21Z,4208447785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055561,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,50,50,2023-04-22T14:00:17.043Z,2023-04-25T11:14:54Z,4219209001,178,,4208448001,140,20.7,4208447999,56,Back,4208448007,213,3.1,4208448009,279,S,4208448005,212,30.8,4208448003,141,52.1,,,,e8whj7tdfmuk66shr30htmhud,J. Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055595,4,1,1,0,3,8rfydplrc9ki0sirqi0drcybk,0,27.5,52.4,2023-04-22T14:00:20.111Z,2023-04-25T11:14:57Z,4208448173,140,76.5,4208448175,141,20.6,4208448179,213,5.9,4208448177,212,55.8,4208448169,155,,4208448181,1,,4208448171,56,Right,4219209085,178,,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055629,3,1,1,0,6,8w89tsles26jm12aoelwvlttt,0,26,90.2,2023-04-22T14:00:23.241Z,2023-04-25T11:15:05Z,4208448331,140,37.8,4219209215,388,,4208448337,213,6.0,4208448335,212,12.8,4208448333,141,85.6,4208448327,3,,4208448329,56,Back,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055641,5,61,1,0,7,8rfydplrc9ki0sirqi0drcybk,0,70.1,19.5,2023-04-22T14:00:24.228Z,2023-04-25T11:15:09Z,4208448365,56,Right,4219209277,178,,,,,,,,,,,,,,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055677,4,49,1,0,8,8w89tsles26jm12aoelwvlttt,1,36.4,78.1,2023-04-22T14:00:25.838Z,2023-04-25T11:15:14Z,,,,,,,,,,,,,,,,,,,,,,,,,3nwvlft28lt3fiirchylvwtm1,P. Maghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055697,5,1,1,0,11,8w89tsles26jm12aoelwvlttt,0,34.6,83.3,2023-04-22T14:00:28.574Z,2023-04-25T11:15:17Z,4208448611,141,83.6,4208448607,56,Left,4208448613,212,16.3,4208448609,140,50.1,4208448615,213,0.0,4219209405,178,,,,,,,,3nwvlft28lt3fiirchylvwtm1,P. Maghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
