id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2545004147,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-05-07T10:15:07.846Z,2023-05-08T17:07:52Z,4257807691,30,"4905drgcc9husos98ppdup4gl, 6bejhzrjgg7dz6cp6s45rah91, a9352zsh3xr7rcxs0jmho7o8a, 6o9v88iiwvbulajrwpd7uvkr9, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, 932abz8zmqv4ilfnmq7m2ew9h, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, dp69i4w71wdxciwbgus5cmbpx, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, b7yfyzrvj7yjo48pu8faqnvft",4257807693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4257807701,194,4905drgcc9husos98ppdup4gl,4257807703,197,4778,4257807705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257807699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257807695,59,"1, 44, 3, 25, 6, 15, 7, 12, 27, 10, 33, 2, 9, 11, 19, 29, 31, 34",4257807697,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545004231,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-05-07T10:15:23.211Z,2023-05-07T11:09:45Z,4257808303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4257808301,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 937mkgz0gstvxyjiwfe9xiuzu, f1rmwe24zg4697bqpc3z0y40l, emuuuhvah1jtq2fqs9ybfovvu, 6tqiy5a5cfpfm90j8r5udl8bu, 8bhf6lrrabp5tw5m8krirsm7e, 71or1ne6d9zuo038qdt6vcvoq, e8whj7tdfmuk66shr30htmhud, 3je74tc5emuou6ckwdbscsbu, 3tlocewlh3mb53wd0hk8nucbt, f4m43umaxgf5apvbrm1nbrh1w, e4xeswr8cpdkmlhijuf7oonsa, 2gqq7q2f23bpdhnbradftoqok, b1cn7i49cjjiifnfw6xu18xsk, 7n8smc6fu5kcnmkm3bicgo36c, 74d8bp6aojtkglyiayd8u22ac, 5jseq3xwlmbbsb67inn5qpbtg",4257808311,194,f1rmwe24zg4697bqpc3z0y40l,4257808315,197,4826,4257808309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257808305,59,"13, 26, 28, 8, 18, 4, 20, 16, 14, 7, 23, 15, 21, 47, 50, 54, 55, 35",4257808317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257808307,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029585,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-05-07T11:02:01.615Z,2023-05-07T11:02:01Z,4257945343,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029589,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-05-07T11:02:01.615Z,2023-05-10T07:12:49Z,4257945381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029623,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.9,49.9,2023-05-07T11:02:01.625Z,2023-05-10T05:17:15Z,4257945573,213,3.2,4257945571,212,22.7,4257945565,56,Back,4257945575,279,S,4257945569,141,48.7,4265686979,178,,4257945567,140,28.3,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029775,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,1,27.7,58.8,2023-05-07T11:02:05.337Z,2023-05-10T05:18:03Z,4257946445,141,90.6,4257946449,213,0.5,4257946439,155,,4257946447,212,47.4,4265687365,178,,4257946443,140,67.9,4257946441,56,Left,4257946451,1,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029949,5,4,1,0,5,8b523ujgl21tbc01me65q0aoh,1,65,84.6,2023-05-07T11:02:07.406Z,2023-05-10T05:18:09Z,4257947271,152,,4257947289,233,3,4257947267,294,,4257947265,13,,4257947275,286,,4257947269,56,Left,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545029771,3,4,1,0,5,8rfydplrc9ki0sirqi0drcybk,0,35,15.4,2023-05-07T11:02:07.407Z,2023-05-10T05:18:08Z,4257947297,233,5,4257946397,285,,4257946395,152,,4265687389,178,,4257946389,13,,4257946393,56,Back,4257946391,294,,,,,5q6s3r5ychv1d3r1tch4sot05,S. Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030267,6,1,1,0,46,8b523ujgl21tbc01me65q0aoh,0,66.7,87.8,2023-05-07T11:02:48.073Z,2023-05-10T05:18:11Z,4257948927,2,,4257948929,5,,4262185389,224,,4257948933,152,,4257948931,155,,4257948943,213,5.4,4257948941,212,28.8,4265687415,178,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,4262185391,72,4257948937,140,83.2,4257948939,141,54.0,4257948935,56,Center,,,,,,,,,,,,,,,,,,,,,,,,
2545030287,4,12,1,0,47,8rfydplrc9ki0sirqi0drcybk,1,14,36.9,2023-05-07T11:02:48.941Z,2023-05-10T05:18:19Z,4257949057,140,9.0,4257949055,56,Back,4257949079,15,,4265687475,388,,4257949059,141,49.9,4257949061,212,10.3,4257949063,213,2.1,,,,937mkgz0gstvxyjiwfe9xiuzu,C. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
